tile,ns,nf,instance,llx,lly,urx,ury,center_x,center_y,leaf_count,bbox_source,expected_llx,expected_lly,expected_urx,expected_ury,dx,dy,status
0_0,0,0,u_core_gen_pd_row[0].gen_pd_col[0].u_pd,274.4,531.44,356.72,553.84,315.56,542.64,25,hier_leaf_aggregate,55.44,336.56,92.94,374.06,241.37,187.33,OUTSIDE_TILE_REGION
0_1,0,1,u_core_gen_pd_row[0].gen_pd_col[1].u_pd,253.12,423.92,306.32,464.24,279.72,444.08,25,hier_leaf_aggregate,55.44,374.06,92.94,411.56,205.53,51.27,OUTSIDE_TILE_REGION
0_2,0,2,u_core_gen_pd_row[0].gen_pd_col[2].u_pd,612.08,397.04,646.24,446.32,629.16,421.68,26,hier_leaf_aggregate,55.44,411.56,92.94,449.06,554.97,-8.63,OUTSIDE_TILE_REGION
0_3,0,3,u_core_gen_pd_row[0].gen_pd_col[3].u_pd,535.92,392.56,577.92,441.84,556.92,417.2,25,hier_leaf_aggregate,55.44,449.06,92.94,486.56,482.73,-50.61,OUTSIDE_TILE_REGION
0_4,0,4,u_core_gen_pd_row[0].gen_pd_col[4].u_pd,440.16,495.6,488.88,558.32,464.52,526.96,30,hier_leaf_aggregate,55.44,486.56,92.94,524.06,390.33,21.65,OUTSIDE_TILE_REGION
0_5,0,5,u_core_gen_pd_row[0].gen_pd_col[5].u_pd,487.76,423.92,533.68,473.2,510.72,448.56,25,hier_leaf_aggregate,55.44,524.06,92.94,561.56,436.53,-94.25,OUTSIDE_TILE_REGION
0_6,0,6,u_core_gen_pd_row[0].gen_pd_col[6].u_pd,124.88,423.92,166.88,473.2,145.88,448.56,31,hier_leaf_aggregate,55.44,561.56,92.94,599.06,71.69,-131.75,OUTSIDE_TILE_REGION
0_7,0,7,u_core_gen_pd_row[0].gen_pd_col[7].u_pd,198.8,414.96,251.44,450.8,225.12,432.88,25,hier_leaf_aggregate,55.44,599.06,92.94,636.56,150.93,-184.93,OUTSIDE_TILE_REGION
1_0,1,0,u_core_gen_pd_row[1].gen_pd_col[0].u_pd,267.12,504.56,360.08,540.4,313.6,522.48,25,hier_leaf_aggregate,92.94,336.56,130.44,374.06,201.91,167.17,OUTSIDE_TILE_REGION
1_1,1,1,u_core_gen_pd_row[1].gen_pd_col[1].u_pd,254.24,459.76,300.72,491.12,277.48,475.44,30,hier_leaf_aggregate,92.94,374.06,130.44,411.56,165.79,82.63,OUTSIDE_TILE_REGION
1_2,1,2,u_core_gen_pd_row[1].gen_pd_col[2].u_pd,609.84,397.04,666.96,450.8,638.4,423.92,26,hier_leaf_aggregate,92.94,411.56,130.44,449.06,526.71,-6.39,OUTSIDE_TILE_REGION
1_3,1,3,u_core_gen_pd_row[1].gen_pd_col[3].u_pd,565.6,401.52,617.68,432.88,591.64,417.2,25,hier_leaf_aggregate,92.94,449.06,130.44,486.56,479.95,-50.61,OUTSIDE_TILE_REGION
1_4,1,4,u_core_gen_pd_row[1].gen_pd_col[4].u_pd,428.96,509.04,492.24,558.32,460.6,533.68,26,hier_leaf_aggregate,92.94,486.56,130.44,524.06,348.91,28.37,OUTSIDE_TILE_REGION
1_5,1,5,u_core_gen_pd_row[1].gen_pd_col[5].u_pd,488.88,410.48,540.96,446.32,514.92,428.4,24,hier_leaf_aggregate,92.94,524.06,130.44,561.56,403.23,-114.41,OUTSIDE_TILE_REGION
1_6,1,6,u_core_gen_pd_row[1].gen_pd_col[6].u_pd,122.64,406.0,173.04,455.28,147.84,430.64,26,hier_leaf_aggregate,92.94,561.56,130.44,599.06,36.15,-149.67,OUTSIDE_TILE_REGION
1_7,1,7,u_core_gen_pd_row[1].gen_pd_col[7].u_pd,191.52,392.56,244.72,428.4,218.12,410.48,32,hier_leaf_aggregate,92.94,599.06,130.44,636.56,106.43,-207.33,OUTSIDE_TILE_REGION
2_0,2,0,u_core_gen_pd_row[2].gen_pd_col[0].u_pd,297.92,401.52,347.76,455.28,322.84,428.4,25,hier_leaf_aggregate,130.44,336.56,167.94,374.06,173.65,73.09,OUTSIDE_TILE_REGION
