timestamp,stage,status
"2026-07-08 00:27:08 CEST","source_gate","start"
"2026-07-08 00:27:08 CEST","source_gate","done"
"2026-07-08 00:27:08 CEST","import_mmmc","start"
"2026-07-08 00:27:12 CEST","import_mmmc","done"
"2026-07-08 00:27:12 CEST","post_import_gate","start"
"2026-07-08 00:27:12 CEST","post_import_gate","done"
"2026-07-08 00:27:12 CEST","post_import_tc_timing","start"
"2026-07-08 00:27:21 CEST","post_import_tc_timing","done"
"2026-07-08 00:27:21 CEST","floorplan","start"
"2026-07-08 00:27:25 CEST","floorplan","done"
"2026-07-08 00:27:25 CEST","io_placement","start"
"2026-07-08 00:27:25 CEST","io_placement","done"
"2026-07-08 00:27:25 CEST","ro_macro_placement","start"
"2026-07-08 00:27:25 CEST","ro_macro_placement","done"
"2026-07-08 00:27:25 CEST","pg_connectivity","start"
"2026-07-08 00:27:25 CEST","pg_connectivity","done"
"2026-07-08 00:27:25 CEST","pd_matrix_placement","start"
"2026-07-08 00:27:28 CEST","pd_matrix_placement","done"
"2026-07-08 00:27:28 CEST","phase_buffer_placement","start"
"2026-07-08 00:27:31 CEST","phase_buffer_placement","done"
"2026-07-08 00:27:31 CEST","row_infrastructure","start"
"2026-07-08 00:27:31 CEST","row_infrastructure","done"
"2026-07-08 00:27:31 CEST","placement","start"
"2026-07-08 00:31:30 CEST","placement","done"
"2026-07-08 00:31:30 CEST","cts","start"
"2026-07-08 00:38:13 CEST","cts","done"
"2026-07-08 00:38:13 CEST","route","start"
"2026-07-08 00:38:35 CEST","route","fail"
