tile,ns,nf,instance,llx,lly,urx,ury,center_x,center_y,leaf_count,bbox_source,expected_llx,expected_lly,expected_urx,expected_ury,dx,dy,status
0_0,0,0,u_core_gen_pd_row[0].gen_pd_col[0].u_pd,80.08,499.52,128.24,575.68,104.16,537.6,25,hier_leaf_aggregate,50.4,250.88,87.9,288.38,35.01,267.97,OUTSIDE_TILE_REGION
0_1,0,1,u_core_gen_pd_row[0].gen_pd_col[1].u_pd,151.2,517.44,240.24,575.68,195.72,546.56,25,hier_leaf_aggregate,50.4,288.38,87.9,325.88,126.57,239.43,OUTSIDE_TILE_REGION
0_2,0,2,u_core_gen_pd_row[0].gen_pd_col[2].u_pd,481.6,611.52,548.8,687.68,515.2,649.6,27,hier_leaf_aggregate,50.4,325.88,87.9,363.38,446.05,304.97,OUTSIDE_TILE_REGION
0_3,0,3,u_core_gen_pd_row[0].gen_pd_col[3].u_pd,476.56,598.08,534.24,638.4,505.4,618.24,25,hier_leaf_aggregate,50.4,363.38,87.9,400.88,436.25,236.11,OUTSIDE_TILE_REGION
0_4,0,4,u_core_gen_pd_row[0].gen_pd_col[4].u_pd,169.12,589.12,259.28,660.8,214.2,624.96,32,hier_leaf_aggregate,50.4,400.88,87.9,438.38,145.05,205.33,OUTSIDE_TILE_REGION
0_5,0,5,u_core_gen_pd_row[0].gen_pd_col[5].u_pd,270.48,593.6,316.4,687.68,293.44,640.64,25,hier_leaf_aggregate,50.4,438.38,87.9,475.88,224.29,183.51,OUTSIDE_TILE_REGION
0_6,0,6,u_core_gen_pd_row[0].gen_pd_col[6].u_pd,430.08,539.84,479.36,593.6,454.72,566.72,31,hier_leaf_aggregate,50.4,475.88,87.9,513.38,385.57,72.09,OUTSIDE_TILE_REGION
0_7,0,7,u_core_gen_pd_row[0].gen_pd_col[7].u_pd,384.16,512.96,436.8,584.64,410.48,548.8,24,hier_leaf_aggregate,50.4,513.38,87.9,550.88,341.33,16.67,OUTSIDE_TILE_REGION
1_0,1,0,u_core_gen_pd_row[1].gen_pd_col[0].u_pd,108.08,504.0,151.2,544.32,129.64,524.16,24,hier_leaf_aggregate,87.9,250.88,125.4,288.38,22.99,254.53,OUTSIDE_TILE_REGION
1_1,1,1,u_core_gen_pd_row[1].gen_pd_col[1].u_pd,151.76,508.48,239.68,535.36,195.72,521.92,31,hier_leaf_aggregate,87.9,288.38,125.4,325.88,89.07,214.79,OUTSIDE_TILE_REGION
1_2,1,2,u_core_gen_pd_row[1].gen_pd_col[2].u_pd,472.08,593.6,519.68,687.68,495.88,640.64,26,hier_leaf_aggregate,87.9,325.88,125.4,363.38,389.23,296.01,OUTSIDE_TILE_REGION
1_3,1,3,u_core_gen_pd_row[1].gen_pd_col[3].u_pd,460.32,584.64,532.0,633.92,496.16,609.28,26,hier_leaf_aggregate,87.9,363.38,125.4,400.88,389.51,227.15,OUTSIDE_TILE_REGION
1_4,1,4,u_core_gen_pd_row[1].gen_pd_col[4].u_pd,215.6,584.64,259.28,642.88,237.44,613.76,26,hier_leaf_aggregate,87.9,400.88,125.4,438.38,130.79,194.13,OUTSIDE_TILE_REGION
1_5,1,5,u_core_gen_pd_row[1].gen_pd_col[5].u_pd,286.72,593.6,319.2,678.72,302.96,636.16,25,hier_leaf_aggregate,87.9,438.38,125.4,475.88,196.31,179.03,OUTSIDE_TILE_REGION
1_6,1,6,u_core_gen_pd_row[1].gen_pd_col[6].u_pd,402.64,526.4,475.44,566.72,439.04,546.56,26,hier_leaf_aggregate,87.9,475.88,125.4,513.38,332.39,51.93,OUTSIDE_TILE_REGION
1_7,1,7,u_core_gen_pd_row[1].gen_pd_col[7].u_pd,360.64,508.48,440.16,544.32,400.4,526.4,31,hier_leaf_aggregate,87.9,513.38,125.4,550.88,293.75,-5.73,OUTSIDE_TILE_REGION
2_0,2,0,u_core_gen_pd_row[2].gen_pd_col[0].u_pd,83.44,450.24,146.72,508.48,115.08,479.36,25,hier_leaf_aggregate,125.4,250.88,162.9,288.38,-29.07,209.73,OUTSIDE_TILE_REGION
2_1,2,1,u_core_gen_pd_row[2].gen_pd_col[1].u_pd,145.6,454.72,188.16,517.44,166.88,486.08,25,hier_leaf_aggregate,125.4,288.38,162.9,325.88,22.73,178.95,OUTSIDE_TILE_REGION
2_2,2,2,u_core_gen_pd_row[2].gen_pd_col[2].u_pd,500.08,512.96,533.12,589.12,516.6,551.04,26,hier_leaf_aggregate,125.4,325.88,162.9,363.38,372.45,206.41,OUTSIDE_TILE_REGION
2_3,2,3,u_core_gen_pd_row[2].gen_pd_col[3].u_pd,471.52,450.24,524.16,512.96,497.84,481.6,25,hier_leaf_aggregate,125.4,363.38,162.9,400.88,353.69,99.47,OUTSIDE_TILE_REGION
2_4,2,4,u_core_gen_pd_row[2].gen_pd_col[4].u_pd,211.68,477.12,246.96,526.4,229.32,501.76,30,hier_leaf_aggregate,125.4,400.88,162.9,438.38,85.17,82.13,OUTSIDE_TILE_REGION
2_5,2,5,u_core_gen_pd_row[2].gen_pd_col[5].u_pd,239.68,472.64,292.32,544.32,266.0,508.48,25,hier_leaf_aggregate,125.4,438.38,162.9,475.88,121.85,51.35,OUTSIDE_TILE_REGION
