config,delay_ps,estimator,N,count,mean,std,min,max,median,rmse,mae,p90_ae,p99_ae
multihit_15_cal_nominal,20,conv_mean,1,1000,-2162.666666666667,4.549748952343969e-13,-2162.6666666666665,-2162.6666666666665,-2162.6666666666665,2162.6666666666665,2162.666666666667,2162.6666666666665,2162.6666666666665
multihit_15_cal_nominal,20,conv_mean,2,1000,-2162.666666666667,4.549748952343969e-13,-2162.6666666666665,-2162.6666666666665,-2162.6666666666665,2162.6666666666665,2162.666666666667,2162.6666666666665,2162.6666666666665
multihit_15_cal_nominal,20,conv_mean,3,1000,-2162.5671111111114,2.22501543950862,-2162.6666666666665,-2112.8888888888887,-2162.6666666666665,2162.568254599718,2162.5671111111114,2162.6666666666665,2162.6666666666665
multihit_15_cal_nominal,20,conv_mean,4,1000,-2162.666666666667,4.549748952343969e-13,-2162.6666666666665,-2162.6666666666665,-2162.6666666666665,2162.6666666666665,2162.666666666667,2162.6666666666665,2162.6666666666665
multihit_15_cal_nominal,20,conv_mean,5,1000,-2162.6368000000007,0.9444669278369451,-2162.6666666666665,-2132.8,-2162.6666666666665,2162.637006027595,2162.6368000000007,2162.6666666666665,2162.6666666666665
multihit_15_cal_nominal,20,conv_mean,6,1000,-2162.6168888888897,1.1125077197543005,-2162.6666666666665,-2137.777777777778,-2162.6666666666665,2162.6171747545172,2162.6168888888897,2162.6666666666665,2162.6666666666665
multihit_15_cal_nominal,20,conv_mean,7,1000,-2162.602666666667,1.1673045589162323,-2162.6666666666665,-2141.333333333333,-2162.6666666666665,2162.6029813886576,2162.602666666667,2162.6666666666665,2162.6666666666665
multihit_15_cal_nominal,20,conv_mean,8,1000,-2162.6293333333338,0.8343807898157248,-2162.6666666666665,-2144.0,-2162.6666666666665,2162.629494131829,2162.6293333333338,2162.6666666666665,2162.6666666666665
multihit_15_cal_nominal,20,conv_mean,9,1000,-2162.650074074075,0.5247038487982953,-2162.6666666666665,-2146.0740740740744,-2162.6666666666665,2162.65013766245,2162.650074074075,2162.6666666666665,2162.6666666666665
multihit_15_cal_nominal,20,conv_mean,10,1000,-2162.6666666666674,4.549748952343969e-13,-2162.666666666667,-2162.666666666667,-2162.666666666667,2162.666666666667,2162.6666666666674,2162.666666666667,2162.666666666667
multihit_15_cal_nominal,20,conv_mean,11,1000,-2162.6259393939404,0.7428301738557752,-2162.666666666667,-2149.0909090909095,-2162.666666666667,2162.626066841975,2162.6259393939404,2162.666666666667,2162.666666666667
multihit_15_cal_nominal,20,conv_mean,12,1000,-2162.6168888888897,0.7858731192263151,-2162.666666666667,-2150.222222222222,-2162.666666666667,2162.6170315352697,2162.6168888888897,2162.666666666667,2162.666666666667
multihit_15_cal_nominal,20,conv_mean,13,1000,-2162.609230769232,0.8106384614946323,-2162.666666666667,-2151.1794871794873,-2162.666666666667,2162.609382548283,2162.609230769232,2162.666666666667,2162.666666666667
multihit_15_cal_nominal,20,conv_mean,14,1000,-2162.6346666666673,0.5836522794581038,-2162.666666666667,-2152.0000000000005,-2162.666666666667,2162.634745346005,2162.6346666666673,2162.666666666667,2162.666666666667
multihit_15_cal_nominal,20,conv_mean,15,1000,-2162.6567111111117,0.3148223092789915,-2162.666666666667,-2152.711111111111,-2162.666666666667,2162.656734002857,2162.6567111111117,2162.666666666667,2162.666666666667
multihit_15_cal_nominal,50,conv_mean,1,1000,-2159.333333333333,4.549748952343969e-13,-2159.3333333333335,-2159.3333333333335,-2159.3333333333335,2159.333333333334,2159.333333333333,2159.3333333333335,2159.3333333333335
multihit_15_cal_nominal,50,conv_mean,2,1000,-2159.333333333333,4.549748952343969e-13,-2159.3333333333335,-2159.3333333333335,-2159.3333333333335,2159.333333333334,2159.333333333333,2159.3333333333335,2159.3333333333335
multihit_15_cal_nominal,50,conv_mean,3,1000,-2159.2817777777773,1.6303298159090345,-2159.3333333333335,-2107.777777777778,-2159.3333333333335,2159.2823926389287,2159.2817777777773,2159.3333333333335,2159.3333333333335
multihit_15_cal_nominal,50,conv_mean,4,1000,-2159.294666666666,1.2227473619317684,-2159.3333333333335,-2120.666666666667,-2159.3333333333335,2159.2950125240213,2159.294666666666,2159.3333333333335,2159.3333333333335
multihit_15_cal_nominal,50,conv_mean,5,1000,-2159.333333333333,4.549748952343969e-13,-2159.3333333333335,-2159.3333333333335,-2159.3333333333335,2159.333333333334,2159.333333333333,2159.3333333333335,2159.3333333333335
multihit_15_cal_nominal,50,conv_mean,6,1000,-2159.307555555555,0.8151649079545029,-2159.3333333333335,-2133.555555555556,-2159.3333333333335,2159.3077092690246,2159.307555555555,2159.3333333333335,2159.3333333333335
multihit_15_cal_nominal,50,conv_mean,7,1000,-2159.3112380952375,0.6987127782467124,-2159.3333333333335,-2137.238095238096,-2159.3333333333335,2159.3113510273915,2159.3112380952375,2159.3333333333335,2159.3333333333335
multihit_15_cal_nominal,50,conv_mean,8,1000,-2159.333333333333,4.549748952343969e-13,-2159.3333333333335,-2159.3333333333335,-2159.3333333333335,2159.333333333334,2159.333333333333,2159.3333333333335,2159.3333333333335
multihit_15_cal_nominal,50,conv_mean,9,1000,-2159.333333333333,4.549748952343969e-13,-2159.3333333333335,-2159.3333333333335,-2159.3333333333335,2159.333333333334,2159.333333333333,2159.3333333333335,2159.3333333333335
multihit_15_cal_nominal,50,conv_mean,10,1000,-2159.3023999999996,0.6913440829901794,-2159.333333333333,-2143.8666666666663,-2159.333333333333,2159.3025105631777,2159.3023999999996,2159.333333333333,2159.333333333333
multihit_15_cal_nominal,50,conv_mean,11,1000,-2159.3333333333326,4.549748952343969e-13,-2159.333333333333,-2159.333333333333,-2159.333333333333,2159.333333333333,2159.3333333333326,2159.333333333333,2159.333333333333
multihit_15_cal_nominal,50,conv_mean,12,1000,-2159.294666666666,0.7052465043452242,-2159.333333333333,-2146.444444444444,-2159.333333333333,2159.2947817216545,2159.294666666666,2159.333333333333,2159.333333333333
multihit_15_cal_nominal,50,conv_mean,13,1000,-2159.285743589743,0.7513292458537157,-2159.333333333333,-2147.435897435897,-2159.333333333333,2159.2858741725354,2159.285743589743,2159.333333333333,2159.333333333333
multihit_15_cal_nominal,50,conv_mean,14,1000,-2159.289142857142,0.6976628711498843,-2159.333333333333,-2148.2857142857138,-2159.333333333333,2159.289255451312,2159.289142857142,2159.333333333333,2159.333333333333
multihit_15_cal_nominal,50,conv_mean,15,1000,-2159.3127111111107,0.46089605532680644,-2159.333333333333,-2149.0222222222214,-2159.333333333333,2159.3127602500667,2159.3127111111107,2159.333333333333,2159.333333333333
multihit_15_cal_nominal,100,conv_mean,1,1000,-2104.0,0.0,-2104.0,-2104.0,-2104.0,2104.0,2104.0,2104.0,2104.0
multihit_15_cal_nominal,100,conv_mean,2,1000,-2104.0,0.0,-2104.0,-2104.0,-2104.0,2104.0,2104.0,2104.0,2104.0
multihit_15_cal_nominal,100,conv_mean,3,1000,-2104.0,0.0,-2104.0,-2104.0,-2104.0,2104.0,2104.0,2104.0,2104.0
multihit_15_cal_nominal,100,conv_mean,4,1000,-2104.0,0.0,-2104.0,-2104.0,-2104.0,2104.0,2104.0,2104.0,2104.0
multihit_15_cal_nominal,100,conv_mean,5,1000,-2103.9690666666665,0.9781978895454205,-2104.0,-2073.0666666666666,-2104.0,2103.969293835926,2103.9690666666665,2104.0,2104.0
multihit_15_cal_nominal,100,conv_mean,6,1000,-2103.974222222222,0.8151649079545169,-2104.0,-2078.222222222222,-2104.0,2103.974379978268,2103.974222222222,2104.0,2104.0
multihit_15_cal_nominal,100,conv_mean,7,1000,-2104.0,0.0,-2104.0,-2104.0,-2104.0,2104.0,2104.0,2104.0,2104.0
multihit_15_cal_nominal,100,conv_mean,8,1000,-2103.942,1.0578697565178112,-2104.0,-2084.666666666667,-2104.0,2103.9422656844304,2103.942,2104.0,2104.0
multihit_15_cal_nominal,100,conv_mean,9,1000,-2103.96562962963,0.7681600922112901,-2104.0,-2086.8148148148152,-2104.0,2103.9657697174307,2103.96562962963,2104.0,2104.0
multihit_15_cal_nominal,100,conv_mean,10,1000,-2103.9536,0.8462958052142474,-2104.0,-2088.5333333333333,-2104.0,2103.9537700371015,2103.9536,2104.0,2104.0
multihit_15_cal_nominal,100,conv_mean,11,1000,-2103.9718787878787,0.6284946209001593,-2104.0,-2089.939393939394,-2104.0,2103.9719725653854,2103.9718787878787,2104.0,2104.0
multihit_15_cal_nominal,100,conv_mean,12,1000,-2103.987111111111,0.4075824539772658,-2104.0,-2091.111111111111,-2104.0,2103.9871505498822,2103.987111111111,2104.0,2104.0
multihit_15_cal_nominal,100,conv_mean,13,1000,-2103.976205128205,0.5318031407616708,-2104.0,-2092.102564102564,-2104.0,2103.9762722705427,2103.976205128205,2104.0,2104.0
multihit_15_cal_nominal,100,conv_mean,14,1000,-2104.0,0.0,-2104.0,-2104.0,-2104.0,2104.0,2104.0,2104.0,2104.0
multihit_15_cal_nominal,100,conv_mean,15,1000,-2103.969066666667,0.5641972034761759,-2104.0,-2093.688888888889,-2104.0,2103.969142238158,2103.969066666667,2104.0,2104.0
multihit_15_cal_nominal,200,conv_mean,1,1000,-1982.666666666667,4.549748952343969e-13,-1982.6666666666665,-1982.6666666666665,-1982.6666666666665,1982.6666666666667,1982.666666666667,1982.6666666666665,1982.6666666666665
multihit_15_cal_nominal,200,conv_mean,2,1000,-1982.666666666667,4.549748952343969e-13,-1982.6666666666665,-1982.6666666666665,-1982.6666666666665,1982.6666666666667,1982.666666666667,1982.6666666666665,1982.6666666666665
multihit_15_cal_nominal,200,conv_mean,3,1000,-1982.6151111111117,1.6303298159090338,-1982.6666666666667,-1931.111111111111,-1982.6666666666667,1982.6157807612287,1982.6151111111117,1982.6666666666667,1982.6666666666667
multihit_15_cal_nominal,200,conv_mean,4,1000,-1982.666666666667,4.549748952343969e-13,-1982.6666666666665,-1982.6666666666665,-1982.6666666666665,1982.6666666666667,1982.666666666667,1982.6666666666665,1982.6666666666665
multihit_15_cal_nominal,200,conv_mean,5,1000,-1982.5738666666666,1.692591610428528,-1982.6666666666665,-1951.7333333333331,-1982.6666666666665,1982.5745884559076,1982.5738666666666,1982.6666666666665,1982.6666666666665
multihit_15_cal_nominal,200,conv_mean,6,1000,-1982.640888888889,0.8151649079545099,-1982.6666666666663,-1956.8888888888887,-1982.6666666666663,1982.6410562992626,1982.640888888889,1982.6666666666663,1982.6666666666663
multihit_15_cal_nominal,200,conv_mean,7,1000,-1982.5782857142858,1.3953257422997685,-1982.6666666666663,-1960.5714285714282,-1982.6666666666663,1982.5787762338193,1982.5782857142858,1982.6666666666663,1982.6666666666663
multihit_15_cal_nominal,200,conv_mean,8,1000,-1982.6280000000002,0.864180103737719,-1982.6666666666665,-1963.3333333333333,-1982.6666666666665,1982.6281881493676,1982.6280000000002,1982.6666666666665,1982.6666666666665
multihit_15_cal_nominal,200,conv_mean,9,1000,-1982.649481481482,0.5434432719696853,-1982.6666666666667,-1965.4814814814813,-1982.6666666666667,1982.6495558857714,1982.649481481482,1982.6666666666667,1982.6666666666667
