config,delay_ps,sample_kind,count,mean,std,min,max,median,rmse,mae,p90_ae,p99_ae
multihit_15_cal_nominal,20,conv_mean,30000,-2162.6368000000007,2.1117162489221037,-2162.6666666666665,-2013.3333333333333,-2162.6666666666665,2162.6378309627135,2162.6368000000007,2162.6666666666665,2162.6666666666665
multihit_15_cal_nominal,20,first_hit_scan,30000,-2069.984,1.1312765619225562,-2070.0,-1990.0,-2070.0,2069.9843091192743,2069.984,2070.0,2070.0
multihit_15_cal_nominal,20,row,450000,-2162.6368,297.98624902798826,-2580.0,-1290.0,-2160.0,2183.0697506034935,2162.6368,2530.0,2580.0
multihit_15_cal_nominal,50,conv_mean,30000,-2159.3023999999996,2.187134686383612,-2159.3333333333335,-2004.6666666666665,-2159.3333333333335,2159.3035076256524,2159.3023999999996,2159.3333333333335,2159.3333333333335
multihit_15_cal_nominal,50,first_hit_scan,30000,-2119.968,2.2625531238451124,-2120.0,-1960.0,-2120.0,2119.9692073235406,2119.968,2120.0,2120.0
multihit_15_cal_nominal,50,row,450000,-2159.3024,299.593396921789,-2550.0,-1260.0,-2130.0,2179.9868941502073,2159.3024,2500.0,2550.0
multihit_15_cal_nominal,100,conv_mean,30000,-2103.969066666667,2.1871346863836054,-2104.0,-1949.3333333333335,-2104.0,2103.9702034223033,2103.969066666667,2104.0,2104.0
multihit_15_cal_nominal,100,first_hit_scan,30000,-2069.968,2.2625531238451124,-2070.0,-1910.0,-2070.0,2069.969236486378,2069.968,2070.0,2070.0
multihit_15_cal_nominal,100,row,450000,-2103.9690666666665,352.68628589733095,-2580.0,-1210.0,-2070.0,2133.3244416481366,2103.9690666666665,2530.0,2580.0
multihit_15_cal_nominal,200,conv_mean,30000,-1982.6357333333337,2.1871346863836054,-1982.6666666666665,-1828.0,-1982.6666666666665,1982.6369396560958,1982.6357333333337,1982.6666666666665,1982.6666666666665
multihit_15_cal_nominal,200,first_hit_scan,30000,-2049.968,2.2625531238451124,-2050.0,-1890.0,-2050.0,2049.969248549841,2049.968,2050.0,2050.0
multihit_15_cal_nominal,200,row,450000,-1982.6357333333333,398.59384587561743,-2560.0,-1190.0,-2020.0,2022.305899709537,1982.6357333333333,2510.0,2560.0
multihit_15_cal_nominal,500,conv_mean,30000,-1751.969066666667,2.1871346863836054,-1752.0,-1597.3333333333335,-1752.0,1751.9704318154331,1751.969066666667,1752.0,1752.0
multihit_15_cal_nominal,500,first_hit_scan,30000,-2069.968,2.2625531238451124,-2070.0,-1910.0,-2070.0,2069.969236486378,2069.968,2070.0,2070.0
multihit_15_cal_nominal,500,row,450000,-1751.9690666666668,273.63159874246094,-2160.0,-1210.0,-1700.0,1773.2088698176535,1751.9690666666668,2070.0,2160.0
multihit_15_cal_nominal,1000,conv_mean,30000,-2041.3034666666663,2.1117162489221073,-2041.3333333333335,-1892.0,-2041.3333333333335,2041.304558908891,2041.3034666666663,2041.3333333333335,2041.3333333333335
multihit_15_cal_nominal,1000,first_hit_scan,30000,-2049.968,2.2625531238451124,-2050.0,-1890.0,-2050.0,2049.969248549841,2049.968,2050.0,2050.0
multihit_15_cal_nominal,1000,row,450000,-2041.3034666666667,386.3338495608726,-2560.0,-1190.0,-2050.0,2077.540217340369,2041.3034666666667,2510.0,2560.0
multihit_15_cal_nominal,2000,conv_mean,30000,-1926.6368000000002,2.1117162489221006,-1926.6666666666665,-1777.3333333333335,-1926.6666666666665,1926.637957248614,1926.6368000000002,1926.6666666666665,1926.6666666666665
multihit_15_cal_nominal,2000,first_hit_scan,30000,-2089.968,2.2625531238451124,-2090.0,-1930.0,-2090.0,2089.969224653799,2089.968,2090.0,2090.0
multihit_15_cal_nominal,2000,row,450000,-1926.6368,406.4628429393016,-2600.0,-1150.0,-1960.0,1969.045716753846,1926.6368,2550.0,2600.0
multihit_15_cal_nominal,5000,conv_mean,30000,-1689.302399999999,2.187134686383599,-1689.333333333333,-1534.666666666667,-1689.333333333333,1689.3038157905298,1689.302399999999,1689.333333333333,1689.333333333333
multihit_15_cal_nominal,5000,first_hit_scan,30000,-2049.968,2.2625531238451124,-2050.0,-1890.0,-2050.0,2049.969248549841,2049.968,2050.0,2050.0
multihit_15_cal_nominal,5000,row,450000,-1689.3024,325.6939008944342,-2140.0,-920.0,-1630.0,1720.4124156724747,1689.3024,2120.0,2140.0
multihit_15_cal_nominal,10000,conv_mean,30000,-1809.3034666666676,2.1117162489221135,-1809.333333333334,-1660.0,-1809.333333333334,1809.3046989628062,1809.3034666666676,1809.333333333334,1809.333333333334
multihit_15_cal_nominal,10000,first_hit_scan,30000,-2089.968,2.2625531238451124,-2090.0,-1930.0,-2090.0,2089.969224653799,2089.968,2090.0,2090.0
multihit_15_cal_nominal,10000,row,450000,-1809.3034666666667,346.6366327872818,-2600.0,-1150.0,-1920.0,1842.2094676411439,1809.3034666666667,2100.0,2600.0
multihit_15_cal_nominal,30000,conv_mean,30000,-2102.636800000001,2.1117162489221393,-2102.666666666668,-1953.3333333333321,-2102.666666666668,2102.637860381839,2102.636800000001,2102.666666666668,2102.666666666668
multihit_15_cal_nominal,30000,first_hit_scan,30000,-2089.968,2.2625531238451124,-2090.0,-1930.0,-2090.0,2089.969224653799,2089.968,2090.0,2090.0
multihit_15_cal_nominal,30000,row,450000,-2102.6368,361.5447659179819,-2600.0,-1230.0,-2090.0,2133.493810630816,2102.6368,2550.0,2600.0
