ns_inf,nf_inf,nslow,nfast_hit,stop_phase_disc,phase0_snap,hit_idx,correction,within_std,train_count
0,0,1,2,7,1,0,-2140.196759259259,5.778767702935435,432
0,0,1,3,4,1,0,-2140.8753117206984,5.758603145647723,401
0,0,1,3,6,1,0,-2178.4194630872485,15.785056555171675,1192
0,0,1,3,7,1,0,-2207.918367346939,1.5163965703836106,98
0,0,1,4,0,1,0,-2153.03,12.934724581487176,1000
0,0,1,4,4,1,0,-2193.1028037383176,10.068462845726657,749
0,0,1,5,0,1,0,-2170.691238670695,23.236771865815186,1655
0,0,1,6,0,0,0,-2150.2136363636364,11.41708430598196,880
0,0,1,6,0,1,0,-2190.0,11.56570067479184,810
0,0,1,7,0,0,0,-2170.08493310064,22.621755113223408,1719
0,0,1,8,0,0,0,-2187.748940677966,12.582334727025195,944
0,0,1,8,1,0,0,-2148.2433862433863,9.937184784599454,756
0,0,1,9,1,0,0,-2200.2545871559632,5.591347514869797,436
0,0,1,9,3,0,0,-2163.5958965209634,15.627691664656327,1121
0,0,1,9,7,0,0,-2133.25,1.373863166471197,120
0,0,1,10,7,0,0,-2170.304322084073,23.061346077767038,1689
0,0,1,11,7,0,0,-2170.5264367816094,22.929850342459062,1740
0,0,2,2,7,1,0,-2170.2711163614886,23.495190061974437,1693
0,0,2,3,4,1,0,-2140.429292929293,5.8601160489202275,396
0,0,2,3,6,1,0,-2177.858723404255,15.960870985833372,1175
0,0,2,3,7,1,0,-2207.876033057851,1.4914092729546837,121
0,0,2,4,0,1,0,-2153.9548872180453,12.809691268724693,931
0,0,2,4,4,1,0,-2193.4478764478763,10.244384404937417,777
0,0,2,5,0,1,0,-2170.9857142857145,22.254099370115288,1750
0,0,2,6,0,0,0,-2150.1864009378664,11.51711923460692,853
0,0,2,6,0,1,0,-2190.589928057554,11.483475532511385,834
0,0,2,7,0,0,0,-2170.5168738898756,23.199188562691653,1689
0,0,2,8,0,0,0,-2187.704704704705,12.958233046617156,999
0,0,2,8,1,0,0,-2148.5884615384616,9.663100324912056,780
0,0,2,9,1,0,0,-2199.8629213483146,5.909169831281116,445
0,0,2,9,3,0,0,-2163.637755102041,15.45262905204675,1176
0,0,2,10,7,0,0,-2170.4505928853755,23.189548976841944,1771
