[MEM] streaming start: RSS=0.14 GiB
[MEM] after chunk 1: RSS=0.16 GiB
[MEM] after chunk 20: RSS=0.25 GiB
[MEM] after chunk 40: RSS=0.25 GiB
[MEM] after chunk 60: RSS=0.25 GiB
[MEM] after chunk 80: RSS=0.25 GiB
[MEM] after chunk 100: RSS=0.26 GiB
[MEM] after chunk 120: RSS=0.26 GiB
[MEM] after chunk 140: RSS=0.26 GiB
[MEM] after chunk 160: RSS=0.26 GiB
[MEM] after chunk 180: RSS=0.26 GiB
[MEM] after chunk 200: RSS=0.26 GiB
[MEM] after chunk 220: RSS=0.26 GiB
[MEM] after chunk 240: RSS=0.26 GiB
[MEM] after chunk 260: RSS=0.26 GiB
[MEM] after chunk 280: RSS=0.26 GiB
[MEM] after chunk 300: RSS=0.26 GiB
[MEM] after chunk 320: RSS=0.26 GiB
[MEM] after chunk 340: RSS=0.26 GiB
[MEM] after chunk 360: RSS=0.26 GiB
[MEM] after chunk 380: RSS=0.26 GiB
[MEM] after chunk 400: RSS=0.26 GiB
[MEM] after chunk 420: RSS=0.26 GiB
[MEM] after chunk 440: RSS=0.26 GiB
[MEM] after chunk 460: RSS=0.26 GiB
[MEM] after chunk 480: RSS=0.26 GiB
[MEM] after chunk 500: RSS=0.26 GiB
[MEM] streaming end: RSS=0.26 GiB
