x,count,mean,std,min,max,median,rmse,mae,p90_ae,p99_ae
0,6400000,-2250.43901546875,253.93665651333617,-3090.0,-1971.0,,2264.7206401208805,2250.43901546875,2300.0,3100.0
1,6400000,-2151.48945296875,438.80455637545464,-2640.0,-1521.0,,2195.7814724707423,2151.48945296875,2700.0,2700.0
2,6400000,-2051.69655296875,435.314857169387,-2590.0,-1472.0,,2097.3692428199265,2051.69655296875,2600.0,2600.0
3,6400000,-1951.72385296875,426.1464274591769,-2540.0,-1422.0,,1997.7053705459875,1951.72385296875,2600.0,2600.0
4,6400000,-1851.83165296875,409.0852867998514,-2490.0,-1371.0,,1896.4786359631187,1851.83165296875,2500.0,2500.0
5,6400000,-1751.92422796875,387.2161036545731,-2440.0,-1325.0,,1794.2058934374786,1751.92422796875,2500.0,2500.0
6,6400000,-1651.43667796875,354.64973211485443,-2390.0,-1274.0,,1689.088367782169,1651.43667796875,2400.0,2400.0
7,6400000,-1550.33764046875,310.54862050553334,-2340.0,-1221.0,,1581.1347918767967,1550.33764046875,2300.0,2400.0
8,6400000,-2361.31419046875,417.9991557217345,-2705.0,-1590.0,,2398.0258491085237,2361.31419046875,2700.0,2800.0
9,6400000,-2260.38547796875,190.94416332717813,-3100.0,-2016.0,,2268.436064081134,2260.38547796875,2300.0,3100.0
10,6400000,-2160.55506546875,67.01802320469734,-2205.0,-1321.0,,2161.5942277992776,2160.55506546875,2200.0,2300.0
11,6400000,-2060.73185296875,210.62485573426684,-2155.0,-1078.0,,2071.4677387691577,2060.73185296875,2200.0,2200.0
12,6400000,-1960.68607796875,283.56614464918385,-2105.0,-1030.0,,1981.0854706871323,1960.68607796875,2100.0,2200.0
13,6400000,-1860.87884046875,335.13476952392534,-2055.0,-939.0,,1890.8160553313764,1860.87884046875,2100.0,2100.0
14,6400000,-1760.85266546875,370.3607762697271,-2005.0,-891.0,,1799.380224592667,1760.85266546875,2000.0,2100.0
