x,count,mean,std,min,max,median,rmse,mae,p90_ae,p99_ae
0,86,-1462.4651162790697,367.3111422750448,-2095.0,-891.0,,1507.3662075689936,1462.4651162790697,2100.0,2100.0
1,88,-1503.6136363636363,366.55260812679535,-2064.0,-910.0,,1547.1547933369352,1503.6136363636363,2100.0,2100.0
2,8732449,-1612.793839162416,358.95289127139785,-2255.0,-938.0,,1652.2563756988056,1612.793839162416,2200.0,2300.0
3,8736754,-1702.3516412388399,357.97284914659895,-2255.0,-1046.0,,1739.5820349978926,1702.3516412388399,2200.0,2300.0
4,8727893,-1800.6749312806653,304.26979505754355,-2526.0,-1081.0,,1826.2010584050172,1800.6749312806653,2200.0,2300.0
5,8729671,-1844.374984234801,286.79017363667407,-2640.0,-1257.0,,1866.5389566638962,1844.374984234801,2200.0,2700.0
6,8730252,-1891.9266589326403,341.9992025143696,-2705.0,-1224.0,,1922.5893799516834,1891.9266589326403,2300.0,2700.0
7,8716849,-1914.2358173234388,357.4247443431059,-2705.0,-1241.0,,1947.318976833755,1914.2358173234388,2300.0,2700.0
8,8714308,-2001.9579289600506,396.5293719136767,-2705.0,-1260.0,,2040.850576125771,2001.9579289600506,2700.0,2700.0
9,8720346,-2097.4946034251393,397.53389505988207,-2705.0,-1288.0,,2134.834136647789,2097.4946034251393,2700.0,2700.0
10,8730612,-2193.132085471213,352.28011613715165,-2906.0,-1381.0,,2221.2450585953857,2193.132085471213,2700.0,2700.0
11,8731556,-2280.7581608593014,252.8663301737745,-2705.0,-1431.0,,2294.732917343287,2280.7581608593014,2700.0,2700.0
12,8729136,-2393.912940410139,309.84576521849857,-3100.0,-1926.0,,2413.881429045097,2393.912940410139,3100.0,3100.0
