x,count,mean,std,min,max,median,rmse,mae,p90_ae,p99_ae
1,2377515,-1904.742140428136,394.4679499818907,-3100.0,-910.0,,1945.160024172073,1904.742140428136,2500.0,2700.0
2,2817630,-1975.0828054073813,412.1732969908408,-3100.0,-1046.0,,2017.631991884041,1975.0828054073813,2600.0,2800.0
3,2817390,-1975.1116174899464,412.5778449126495,-3100.0,-1046.0,,2017.7428773852055,1975.1116174899464,2600.0,2800.0
4,2804985,-1974.9640800218183,412.7455712902883,-3100.0,-1046.0,,2017.632762239411,1974.9640800218183,2600.0,2800.0
5,2804910,-1975.979920924379,412.5152399116638,-3100.0,-1046.0,,2018.5800480504852,1975.979920924379,2600.0,2800.0
6,2812170,-1975.2208187982947,412.3723703160031,-3100.0,-1046.0,,2017.807769423188,1975.2208187982947,2600.0,2800.0
7,2818710,-1975.0243551127999,412.4848034043905,-3100.0,-1046.0,,2017.6384353907483,1975.0243551127999,2600.0,2800.0
8,2820135,-1975.3431342825786,412.7577483190157,-3100.0,-919.0,,2018.0062924934286,1975.3431342825786,2600.0,2800.0
9,2810250,-1975.1934009429765,412.37094649025335,-3100.0,-1046.0,,2017.7806392488235,1975.1934009429765,2600.0,2800.0
10,2814495,-1974.2321322297605,412.6341567385846,-3100.0,-1046.0,,2016.8935020816996,1974.2321322297605,2600.0,2800.0
11,2816925,-1975.588652520035,412.49430932079,-3100.0,-954.0,,2018.1927605619508,1975.588652520035,2600.0,2800.0
12,2831640,-1975.4433896964304,412.4820334688806,-3100.0,-1046.0,,2018.0480553604564,1975.4433896964304,2600.0,2800.0
13,2814390,-1974.7217052363035,412.6935579944917,-3100.0,-1046.0,,2017.3848729048711,1974.7217052363035,2600.0,2800.0
14,2810760,-1974.4213415588667,412.57397734092575,-3100.0,-1046.0,,2017.0663995572525,1974.4213415588667,2600.0,2800.0
15,2812815,-1975.2164433139044,412.5869752175928,-3100.0,-1046.0,,2017.847355361177,1975.2164433139044,2600.0,2800.0
16,2819475,-1974.6459642309296,412.39576730794886,-3100.0,-938.0,,2017.2498339638482,1974.6459642309296,2600.0,2800.0
17,2827050,-1974.9630374418564,412.3630915955084,-3100.0,-1046.0,,2017.5535329757897,1974.9630374418564,2600.0,2800.0
18,2826150,-1976.200918210286,412.4777085475586,-3100.0,-1046.0,,2018.7887133086856,1976.200918210286,2600.0,2800.0
19,2808240,-1975.6884365296414,412.8781556266187,-3100.0,-891.0,,2018.3689228997894,1975.6884365296414,2600.0,2800.0
20,2818035,-1975.5406639733005,412.471927970907,-3100.0,-1046.0,,2018.141210620098,1975.5406639733005,2600.0,2800.0
21,2811885,-1975.3861164307928,412.4251978816079,-3100.0,-1046.0,,2017.9803746181294,1975.3861164307928,2600.0,2800.0
22,2813205,-1975.8297404561702,412.5474902035608,-3100.0,-1046.0,,2018.4396286353447,1975.8297404561702,2600.0,2800.0
23,2820150,-1975.1328475435703,412.39303196555613,-3100.0,-1046.0,,2017.7258778027106,1975.1328475435703,2600.0,2800.0
24,2820360,-1976.3262650867266,412.51609236212533,-3100.0,-1046.0,,2018.919258463118,1976.3262650867266,2600.0,2800.0
25,2826015,-1974.6459272155314,412.32430114177,-3100.0,-1046.0,,2017.2351888219548,1974.6459272155314,2600.0,2800.0
26,2816640,-1975.8939143802545,412.56526032322387,-3100.0,-1046.0,,2018.5060798720183,1975.8939143802545,2600.0,2800.0
27,2819265,-1975.650314887036,412.3052261704422,-3100.0,-910.0,,2018.2144846231931,1975.650314887036,2600.0,2800.0
28,2823270,-1975.5901543245952,412.4416732290568,-3100.0,-1046.0,,2018.1834731827769,1975.5901543245952,2600.0,2800.0
29,2818740,-1973.9771493646097,412.6731782527965,-3100.0,-1046.0,,2016.6518980344947,1973.9771493646097,2600.0,2800.0
30,2822595,-1974.4899037942037,412.68352461126227,-3100.0,-945.0,,2017.155921423414,1974.4899037942037,2600.0,2800.0
31,2819295,-1974.6234962996068,412.7813477041362,-3100.0,-1046.0,,2017.3067026891038,1974.6234962996068,2600.0,2800.0
32,2816040,-1975.244985866678,412.391512198642,-3100.0,-1046.0,,2017.8353384587078,1975.244985866678,2600.0,2800.0
33,2824725,-1975.7669366044481,412.7366392806622,-3100.0,-1046.0,,2018.4168204007622,1975.7669366044481,2600.0,2800.0
34,2816820,-1975.5752248989995,412.3602332332681,-3100.0,-919.0,,2018.1522169600196,1975.5752248989995,2600.0,2800.0
35,647325,-2311.015896188159,302.97661065455657,-3099.0,-1390.0,,2330.7915301956295,2311.015896188159,2700.0,3100.0
