x_lo,x_hi,x_mid,count,mean,std,min,max,median,rmse,mae,p90_ae,p99_ae
1470.0,1480.0,1475.0,15122,-1415.1681655865627,20.304541612311578,-1450.0,-1254.0,,1415.3138111516128,1415.1681655865627,1500.0,1500.0
1490.0,1500.0,1495.0,2,-1275.0,1.4142135623730951,-1276.0,-1274.0,,1275.0003921568025,1275.0,1300.0,1300.0
1550.0,1560.0,1555.0,17136,-1420.3588352007469,23.1772436545647,-1460.0,-1381.0,,1420.5479133094866,1420.3588352007469,1500.0,1500.0
1570.0,1580.0,1575.0,17305,-1470.7244726957526,23.171574920435695,-1510.0,-1431.0,,1470.9069873528758,1470.7244726957526,1600.0,1600.0
1590.0,1600.0,1595.0,2,-1375.0,1.4142135623730951,-1376.0,-1374.0,,1375.0003636363156,1375.0,1400.0,1400.0
1600.0,1610.0,1605.0,2,-911.0,1.4142135623730951,-912.0,-910.0,,911.0005488472551,911.0,1000.0,1000.0
1610.0,1620.0,1615.0,2,-1395.0,1.4142135623730951,-1396.0,-1394.0,,1395.000358422893,1395.0,1400.0,1400.0
1630.0,1640.0,1635.0,16766,-1420.482882023142,22.916144790197166,-1460.0,-1381.0,,1420.6677079776666,1420.482882023142,1500.0,1500.0
1650.0,1660.0,1655.0,16939,-1470.470807013401,23.08671388772945,-1510.0,-1431.0,,1470.6520183820317,1470.470807013401,1600.0,1600.0
1670.0,1680.0,1675.0,17042,-1520.6443492547824,23.089881350650316,-1560.0,-1481.0,,1520.8196304155358,1520.6443492547824,1600.0,1600.0
1680.0,1690.0,1685.0,17026,-1085.6808998003055,23.02383025019759,-1125.0,-1046.0,,1085.9249890374776,1085.6808998003055,1200.0,1200.0
1700.0,1710.0,1705.0,2,-1011.0,1.4142135623730951,-1012.0,-1010.0,,1011.0004945597208,1011.0,1100.0,1100.0
1710.0,1720.0,1715.0,17222,-1420.3989083730112,23.26157923342259,-1496.0,-1381.0,,1420.589359581613,1420.3989083730112,1500.0,1500.0
1720.0,1730.0,1725.0,2,-1031.0,1.4142135623730951,-1032.0,-1030.0,,1031.0004849659383,1031.0,1100.0,1100.0
1730.0,1740.0,1735.0,16972,-1470.38646005185,23.09355431308321,-1510.0,-1431.0,,1470.5677892336546,1470.38646005185,1600.0,1600.0
1750.0,1760.0,1755.0,16970,-1520.3390100176782,23.17847018406565,-1560.0,-1481.0,,1520.5156741064197,1520.3390100176782,1600.0,1600.0
1760.0,1770.0,1765.0,17177,-1085.327065261687,23.125989634232187,-1125.0,-1046.0,,1085.5734055561552,1085.327065261687,1200.0,1200.0
1770.0,1780.0,1775.0,16892,-1570.5673099692162,23.095640032539336,-1610.0,-1531.0,,1570.7371047234053,1570.5673099692162,1700.0,1700.0
1780.0,1790.0,1785.0,16994,-1135.2934565140638,23.13227850292244,-1175.0,-1096.0,,1135.5290851513525,1135.2934565140638,1200.0,1200.0
1790.0,1800.0,1795.0,17063,-1420.4604700228565,23.00987883311121,-1460.0,-1381.0,,1420.6468140928189,1420.4604700228565,1500.0,1500.0
1810.0,1820.0,1815.0,17199,-1470.4886330600616,23.080779495582433,-1510.0,-1431.0,,1470.6697492526798,1470.4886330600616,1600.0,1600.0
1830.0,1840.0,1835.0,17091,-1520.3624714762157,23.025238002916588,-1560.0,-1481.0,,1520.5368049601527,1520.3624714762157,1600.0,1600.0
