schema_version,test_name,seed,attempt_id,event_id,label,source,stop_model,accepted,rejected,reject_reason,start_time_ps,stop_time_ps,true_dt_ps,start_phase_sys_ps,start_phase_ref_ps,ref_phase_offset_ps,max_hits,out_mode,bp_mode,start_only,expect_packet
1,vip_maxhits_matrix,7001,0,0,vip_mh1_b0,0,qualified_ref,1,0,none,309375,329923,20548,3125,14298,4923,1,0,always_ready,0,1
1,vip_maxhits_matrix,7001,1,1,vip_mh1_b1,0,qualified_ref,1,0,none,1840625,1854923,14298,3125,20548,4923,1,0,random_50,0,1
1,vip_maxhits_matrix,7001,2,2,vip_mh1_b2,0,qualified_ref,1,0,none,3365625,3379923,14298,3125,20548,4923,1,0,bounded_stall,0,1
1,vip_maxhits_matrix,7001,3,3,vip_mh2_b0,0,qualified_ref,1,0,none,8490625,8504923,14298,3125,20548,4923,2,0,always_ready,0,1
1,vip_maxhits_matrix,7001,4,4,vip_mh2_b1,0,qualified_ref,1,0,none,10015625,10029923,14298,3125,20548,4923,2,0,random_50,0,1
1,vip_maxhits_matrix,7001,5,5,vip_mh2_b2,0,qualified_ref,1,0,none,11540625,11554923,14298,3125,20548,4923,2,0,bounded_stall,0,1
1,vip_maxhits_matrix,7001,6,6,vip_mh8_b0,0,qualified_ref,1,0,none,16665625,16679923,14298,3125,20548,4923,8,0,always_ready,0,1
1,vip_maxhits_matrix,7001,7,7,vip_mh8_b1,0,qualified_ref,1,0,none,18190625,18204923,14298,3125,20548,4923,8,0,random_50,0,1
1,vip_maxhits_matrix,7001,8,8,vip_mh8_b2,0,qualified_ref,1,0,none,19715625,19729923,14298,3125,20548,4923,8,0,bounded_stall,0,1
1,vip_maxhits_matrix,7001,9,9,vip_mh15_b0,0,qualified_ref,1,0,none,24840625,24854923,14298,3125,20548,4923,15,0,always_ready,0,1
1,vip_maxhits_matrix,7001,10,10,vip_mh15_b1,0,qualified_ref,1,0,none,26365625,26379923,14298,3125,20548,4923,15,0,random_50,0,1
1,vip_maxhits_matrix,7001,11,11,vip_mh15_b2,0,qualified_ref,1,0,none,27890625,27904923,14298,3125,20548,4923,15,0,bounded_stall,0,1
