row,section_title,section,block,instance,module,block_kind,port,direction,width,clock_domain,reset_domain,connection_class,source_signal,connects_to,pad_or_macro,voltage_domain,top_wrapper_action,notes,source_file
1,00 - Metadata and Source Context,metadata,run_context,-,-,document,-,-,-,-,-,info,genus_matrix_handoff_20260703_1102,-,/sim/ksabra/SPADMIC_work/handoff/genus,1V8,copy_to_handoff,CSV describes connectivity needed in addition to postsyn V and SDC,TOP/docs/26_MATRIX_TOP_HANDOFF_CONNECTIVITY.csv
2,00 - Metadata and Source Context,metadata,active_top,-,spadmic_top_matrix_v1,top_wrapper,-,-,-,-,-,info,TOP/rtl/spadmic_top_matrix_v1.sv,-,-,1V8,instantiate_inside_pad_wrapper,Digital matrix top core is not final pad ring wrapper,TOP/rtl/spadmic_top_matrix_v1.sv
3,00 - Metadata and Source Context,metadata,mptdc_boundary,u_tdc_r/u_tdc_y/u_tdc_b,mptdc_axis_core,macro,-,-,-,clk_sys,async_rst_n,info,MPTDC_TC_Closure_Genus_RO6_xx31_20260629_1233,-,mptdc_axis_core,1V8,use_axis_core_macro_plus_wrapper,Use mptdc_axis_core as physical macro and keep spadmic_tdc_axis_wrapper as required glue,MPTDC/rtl/top/mptdc_axis_core.sv
4,00 - Metadata and Source Context,metadata,tdc3_frontend_handoff,u_tdc3_frontend,spadmic_tdc3_frontend,handoff,-,-,-,clk_sys/clk_ref_40m,async_rst_n,info,TOP/syn/scripts/run_genus_tdc3_frontend_handoff.sh,-,/sim/ksabra/SPADMIC_work/handoff/genus/tdc3_frontend,1V8,instantiate_glue_netlist,Synthesized glue around three MPTDC axis macros with black-box mptdc_axis_core,TOP/rtl/spadmic_tdc3_frontend.sv
5,00 - Metadata and Source Context,metadata,missing_top_items,-,-,top_wrapper,-,-,-,-,-,info,clock_wrapper PLL matrice3 SLVS BOX_RING pads,-,top_assembly,MIXED_SIGNAL,needs_external_macro,These are not provided by per block postsyn netlists,TOP/docs/24_MATRIX_TOP_CHIP_WRAPPER_PAD_CONTRACT.md
6,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,clk_sys,input,1,clk_sys,-,clock,clock_wrapper_clk_sys,spadmic_top_matrix_v1.u_digital_core.clk_sys,clock_wrapper,1V8,connect_from_clock_wrapper,Main digital clock from PLL or external 160M selection logic,TOP/rtl/spadmic_top_matrix_v1.sv
7,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,clk_ref_40m,input,1,clk_ref_40m,-,clock,clock_wrapper_clk_ref_40m,spadmic_top_matrix_v1.u_digital_core.clk_ref_40m,clock_wrapper,1V8,connect_from_clock_wrapper,Derived 40M reference for MPTDC stop qualifier,TOP/rtl/spadmic_top_matrix_v1.sv
8,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,clk_cfg_40m,input,1,clk_cfg_40m,-,clock,clock_wrapper_clk_cfg_40m,spadmic_top_matrix_v1.u_digital_core.clk_cfg_40m,clock_wrapper,1V8,connect_from_clock_wrapper,Derived 40M matrix configuration clock,TOP/rtl/spadmic_top_matrix_v1.sv
9,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,async_rst_n,input,1,async,async_rst_n,reset,async_rst_n_pad,spadmic_top_matrix_v1.u_digital_core.async_rst_n,async_rst_n,1V8,route_to_pad,Global active low reset pad,TOP/rtl/spadmic_top_matrix_v1.sv
10,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,i2c_rst_i,input,1,async,rst_i2c_n,reset,i2c_RST_pad,spadmic_top_matrix_v1.u_digital_core.i2c_rst_i,i2c_RST,1V8,route_to_pad,Active high reset for I2C transport only,TOP/rtl/spadmic_top_matrix_v1.sv
