name,address,access,reset,page,description
CHIP_ID,0x0000,RO,0x53504D54,System,SPADMIC matrix-top identity
ABI_VERSION,0x0004,RO,0x00010000,System,CSR ABI major and minor version
GLOBAL_CTRL,0x0008,RW,0x000000F0,System,Atomic enable mode normal-axis-mask and auto-reset control
GLOBAL_STATUS,0x000C,RO,0x00000000,System,Active mode axis and global idle status
GLOBAL_FAULT,0x0010,RO,0x00000000,System,OR summary of sticky page faults
MAINT_CMD,0x0014,WO,0x00000000,System,Disabled-idle maintenance commands
TDC_SHARED_CFG,0x0018,RW,0x0000000F,System,Shared max-hits and RO tuning codes
TDC_SHARED_CMD,0x001C,WO,0x00000000,System,Shared soft-reset and FIFO-clear pulses
CALIB_AXIS_MASK,0x0020,RW,0x00000007,System,Nonzero calibration-only axis mask
ACCESS_STATUS,0x0024,RO,0x00000000,System,Last access validity and operation summary
ACCESS_FAULT,0x0028,W1C,0x00000000,System,Sticky access-protocol fault bits
ACCESS_LAST_INFO,0x002C,RO,0x00000000,System,Last failing address cause and operation
ACCESS_LAST_WDATA,0x0030,RO,0x00000000,System,Last failing write payload
ACCESS_ERROR_COUNT,0x0034,RO,0x00000000,System,Saturating invalid-access counter
TDC_R_STATUS,0x1000,RO,0x00000000,TDC R,R-axis readiness activity and FIFO status
TDC_R_FAULT,0x1004,W1C,0x00000000,TDC R,R-axis sticky FIFO-full fault
TDC_R_ERROR_COUNT,0x1008,RO,0x00000000,TDC R,R-axis saturating FIFO-full counter
TDC_Y_STATUS,0x2000,RO,0x00000000,TDC Y,Y-axis readiness activity and FIFO status
TDC_Y_FAULT,0x2004,W1C,0x00000000,TDC Y,Y-axis sticky FIFO-full fault
TDC_Y_ERROR_COUNT,0x2008,RO,0x00000000,TDC Y,Y-axis saturating FIFO-full counter
TDC_B_STATUS,0x3000,RO,0x00000000,TDC B,B-axis readiness activity and FIFO status
TDC_B_FAULT,0x3004,W1C,0x00000000,TDC B,B-axis sticky FIFO-full fault
TDC_B_ERROR_COUNT,0x3008,RO,0x00000000,TDC B,B-axis saturating FIFO-full counter
POSITION_CFG,0x4000,RW,0x00000104,Position,Cluster/raw mode gap and minimum-span controls
POSITION_STATUS,0x4004,RO,0x00000000,Position,Packet pending busy and snapshot-captured status
POSITION_FAULT,0x4008,W1C,0x00000000,Position,Sticky packet-drop fault
POSITION_DROP_COUNT,0x400C,RO,0x00000000,Position,Saturating packet-drop counter
EVENT_STATUS,0x5000,RO,0x00000000,Event,Event identifier and lifecycle status
EVENT_MASK_STATUS,0x5004,RO,0x00000000,Event,Required completed and reset-ack masks
SNAPSHOT_CFG,0x5008,RW,0x00400002,Event,Snapshot settle and watchdog cycles
RESET_CFG,0x500C,RW,0x00000000,Event,Automatic matrix-reset pulse width
SNAPSHOT_RESET_STATUS,0x5010,RO,0x00000000,Event,Snapshot and reset controller status
EVENT_FAULT,0x5014,W1C,0x00000000,Event,Sticky reject timeout overlap and disabled-reset faults
EVENT_REJECT_COUNT,0x5018,RO,0x00000000,Event,Saturating event-not-ready reject counter
SNAPSHOT_TIMEOUT_COUNT,0x501C,RO,0x00000000,Event,Saturating snapshot-timeout counter
