inst,master_lib,master_cell,master_view,orient,term,direction,net,layer,purpose,master_llx,master_lly,master_urx,master_ury,top_llx,top_lly,top_urx,top_ury,top_cx,top_cy,norm_top_llx,norm_top_lly,norm_top_urx,norm_top_ury,norm_top_cx,norm_top_cy,nearest_inst_side
I4,MIMOSIS_SLVS_D_CELLS_HD,RX_SLVS_rectangle,layout,R0,Out_Rx,output,,MET1,pin,68.082000,-15.010000,68.312000,-14.780000,2793.652000,207.865000,2793.882000,208.095000,2793.767000,207.980000,2793.892000,495.580000,2794.122000,495.810000,2794.007000,495.695000,RIGHT
I4,MIMOSIS_SLVS_D_CELLS_HD,RX_SLVS_rectangle,layout,R0,VIN_P,input,,MET1,pin,4.315000,-36.640000,4.545000,-36.410000,2729.885000,186.235000,2730.115000,186.465000,2730.000000,186.350000,2730.125000,473.950000,2730.355000,474.180000,2730.240000,474.065000,BOTTOM
I4,MIMOSIS_SLVS_D_CELLS_HD,RX_SLVS_rectangle,layout,R0,VIN_N,input,,MET1,pin,4.045000,-30.210000,4.275000,-29.980000,2729.615000,192.665000,2729.845000,192.895000,2729.730000,192.780000,2729.855000,480.380000,2730.085000,480.610000,2729.970000,480.495000,TOP
I4,MIMOSIS_SLVS_D_CELLS_HD,RX_SLVS_rectangle,layout,R0,DVDD,inputOutput,,MET1,pin,3.785000,-12.945000,4.015000,-12.715000,2729.355000,209.930000,2729.585000,210.160000,2729.470000,210.045000,2729.595000,497.645000,2729.825000,497.875000,2729.710000,497.760000,TOP
I4,MIMOSIS_SLVS_D_CELLS_HD,RX_SLVS_rectangle,layout,R0,DVSS,inputOutput,,MET1,pin,3.935000,-16.065000,4.165000,-15.835000,2729.505000,206.810000,2729.735000,207.040000,2729.620000,206.925000,2729.745000,494.525000,2729.975000,494.755000,2729.860000,494.640000,TOP
I4,MIMOSIS_SLVS_D_CELLS_HD,RX_SLVS_rectangle,layout,R0,EN_RX,input,,MET2,pin,4.230000,-14.715000,4.460000,-14.485000,2729.800000,208.160000,2730.030000,208.390000,2729.915000,208.275000,2730.040000,495.875000,2730.270000,496.105000,2730.155000,495.990000,TOP
I4,MIMOSIS_SLVS_D_CELLS_HD,RX_SLVS_rectangle,layout,R0,EN_TERM,input,,MET1,pin,3.735000,-31.570000,3.965000,-31.340000,2729.305000,191.305000,2729.535000,191.535000,2729.420000,191.420000,2729.545000,479.020000,2729.775000,479.250000,2729.660000,479.135000,BOTTOM
I4,MIMOSIS_SLVS_D_CELLS_HD,RX_SLVS_rectangle,layout,R0,S_RX<0>,input,,MET3,pin,-22.095000,-34.415000,-21.865000,-34.185000,2703.475000,188.460000,2703.705000,188.690000,2703.590000,188.575000,2703.715000,476.175000,2703.945000,476.405000,2703.830000,476.290000,LEFT
I4,MIMOSIS_SLVS_D_CELLS_HD,RX_SLVS_rectangle,layout,R0,S_RX<3>,input,,MET3,pin,-22.095000,-25.710000,-21.865000,-25.480000,2703.475000,197.165000,2703.705000,197.395000,2703.590000,197.280000,2703.715000,484.880000,2703.945000,485.110000,2703.830000,484.995000,LEFT
I4,MIMOSIS_SLVS_D_CELLS_HD,RX_SLVS_rectangle,layout,R0,S_RX<2>,input,,MET3,pin,-22.095000,-28.625000,-21.865000,-28.395000,2703.475000,194.250000,2703.705000,194.480000,2703.590000,194.365000,2703.715000,481.965000,2703.945000,482.195000,2703.830000,482.080000,LEFT
I4,MIMOSIS_SLVS_D_CELLS_HD,RX_SLVS_rectangle,layout,R0,S_RX<1>,input,,MET3,pin,-22.095000,-31.520000,-21.865000,-31.290000,2703.475000,191.355000,2703.705000,191.585000,2703.590000,191.470000,2703.715000,479.070000,2703.945000,479.300000,2703.830000,479.185000,LEFT
M87,SPADMIC,I2C_io_sdt,layout,,SDA,inputOutput,,MET2,pin,48.210000,11.315000,48.440000,11.545000,2117.710000,247.435000,2117.940000,247.665000,2117.825000,247.550000,2117.950000,535.150000,2118.180000,535.380000,2118.065000,535.265000,TOP
M87,SPADMIC,I2C_io_sdt,layout,,SDAi,inputOutput,,MET2,pin,56.800000,11.395000,57.030000,11.625000,2126.300000,247.515000,2126.530000,247.745000,2126.415000,247.630000,2126.540000,535.230000,2126.770000,535.460000,2126.655000,535.345000,TOP
M87,SPADMIC,I2C_io_sdt,layout,,SDAo,inputOutput,,MET2,pin,3.670000,11.395000,3.900000,11.625000,2073.170000,247.515000,2073.400000,247.745000,2073.285000,247.630000,2073.410000,535.230000,2073.640000,535.460000,2073.525000,535.345000,TOP
M87,SPADMIC,I2C_io_sdt,layout,,gndi!,inputOutput,,MET1,drawing,2.930000,3.835000,4.235000,4.635000,2072.430000,239.955000,2073.735000,240.755000,2073.082500,240.355000,2072.670000,527.670000,2073.975000,528.470000,2073.322500,528.070000,BOTTOM
M87,SPADMIC,I2C_io_sdt,layout,,vddi!,inputOutput,,MET1,drawing,2.930000,8.315000,3.575000,9.115000,2072.430000,244.435000,2073.075000,245.235000,2072.752500,244.835000,2072.670000,532.150000,2073.315000,532.950000,2072.992500,532.550000,TOP
M182,SPADMIC,matrice4,layout,,Y<45>,inputOutput,,MET2,pin,1940.085000,1149.635000,1940.365000,1149.915000,2017.150000,1781.675000,2017.430000,1781.955000,2017.290000,1781.815000,2017.390000,2069.390000,2017.670000,2069.670000,2017.530000,2069.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<44>,inputOutput,,MET2,pin,1940.085000,1124.635000,1940.365000,1124.915000,2017.150000,1756.675000,2017.430000,1756.955000,2017.290000,1756.815000,2017.390000,2044.390000,2017.670000,2044.670000,2017.530000,2044.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<43>,inputOutput,,MET2,pin,1940.085000,1099.075000,1940.365000,1099.355000,2017.150000,1731.115000,2017.430000,1731.395000,2017.290000,1731.255000,2017.390000,2018.830000,2017.670000,2019.110000,2017.530000,2018.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<42>,inputOutput,,MET2,pin,1940.085000,1074.075000,1940.365000,1074.355000,2017.150000,1706.115000,2017.430000,1706.395000,2017.290000,1706.255000,2017.390000,1993.830000,2017.670000,1994.110000,2017.530000,1993.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<43>,inputOutput,,MET2,pin,1940.085000,1099.635000,1940.365000,1099.915000,2017.150000,1731.675000,2017.430000,1731.955000,2017.290000,1731.815000,2017.390000,2019.390000,2017.670000,2019.670000,2017.530000,2019.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<42>,inputOutput,,MET2,pin,1940.085000,1074.635000,1940.365000,1074.915000,2017.150000,1706.675000,2017.430000,1706.955000,2017.290000,1706.815000,2017.390000,1994.390000,2017.670000,1994.670000,2017.530000,1994.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<41>,inputOutput,,MET2,pin,1940.085000,1049.075000,1940.365000,1049.355000,2017.150000,1681.115000,2017.430000,1681.395000,2017.290000,1681.255000,2017.390000,1968.830000,2017.670000,1969.110000,2017.530000,1968.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<40>,inputOutput,,MET2,pin,1940.085000,1024.075000,1940.365000,1024.355000,2017.150000,1656.115000,2017.430000,1656.395000,2017.290000,1656.255000,2017.390000,1943.830000,2017.670000,1944.110000,2017.530000,1943.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<41>,inputOutput,,MET2,pin,1940.085000,1049.635000,1940.365000,1049.915000,2017.150000,1681.675000,2017.430000,1681.955000,2017.290000,1681.815000,2017.390000,1969.390000,2017.670000,1969.670000,2017.530000,1969.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<40>,inputOutput,,MET2,pin,1940.085000,1024.635000,1940.365000,1024.915000,2017.150000,1656.675000,2017.430000,1656.955000,2017.290000,1656.815000,2017.390000,1944.390000,2017.670000,1944.670000,2017.530000,1944.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<39>,inputOutput,,MET2,pin,1940.085000,999.075000,1940.365000,999.355000,2017.150000,1631.115000,2017.430000,1631.395000,2017.290000,1631.255000,2017.390000,1918.830000,2017.670000,1919.110000,2017.530000,1918.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<38>,inputOutput,,MET2,pin,1940.085000,974.075000,1940.365000,974.355000,2017.150000,1606.115000,2017.430000,1606.395000,2017.290000,1606.255000,2017.390000,1893.830000,2017.670000,1894.110000,2017.530000,1893.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<39>,inputOutput,,MET2,pin,1940.085000,999.635000,1940.365000,999.915000,2017.150000,1631.675000,2017.430000,1631.955000,2017.290000,1631.815000,2017.390000,1919.390000,2017.670000,1919.670000,2017.530000,1919.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<38>,inputOutput,,MET2,pin,1940.085000,974.635000,1940.365000,974.915000,2017.150000,1606.675000,2017.430000,1606.955000,2017.290000,1606.815000,2017.390000,1894.390000,2017.670000,1894.670000,2017.530000,1894.530000,RIGHT
