inst,lib,cell,view,orient,llx,lly,urx,ury,width,height,cx,cy
I1,SPADMIC,rail_bottom_MT,layout,R0,427.925000,163.000000,508.065000,598.680000,80.140000,435.680000,467.995000,380.840000
I4,MIMOSIS_SLVS_D_CELLS_HD,RX_SLVS_rectangle,layout,R0,2703.475000,170.645000,2797.825000,213.510000,94.350000,42.865000,2750.650000,192.077500
M87,SPADMIC,I2C_io_sdt,layout,,2069.500000,237.715000,2130.300000,247.745000,60.800000,10.030000,2099.900000,242.730000
M182,SPADMIC,matrice4,layout,,25.675000,488.324000,2112.644000,2386.909000,2086.969000,1898.585000,1069.159500,1437.616500
I3,abstractLib,mptdc_axis_core,abstract,R0,2249.780000,1951.475000,3310.980000,2753.395000,1061.200000,801.920000,2780.380000,2352.435000
I79,abstractLib,mptdc_axis_core,abstract,R0,2249.780000,1099.555000,3310.980000,1901.475000,1061.200000,801.920000,2780.380000,1500.515000
I80,abstractLib,mptdc_axis_core,abstract,R0,2249.780000,247.635000,3310.980000,1049.555000,1061.200000,801.920000,2780.380000,648.595000
M1,SPADMIC,DDRs2,layout,,21.740000,2974.171000,3620.255000,3106.244000,3598.515000,132.073000,1820.997500,3040.207500
I6,SPADMIC,TXRX4TDC2,layout,R0,3505.279000,177.205000,3638.670000,2978.080000,133.391000,2800.875000,3571.974500,1577.642500
M86,SPADMIC,CLOKIN,layout,,1757.220000,236.120000,2042.882000,395.860000,285.662000,159.740000,1900.051000,315.990000
I5,SPADMIC,BOX_RING2,layout,R0,-0.240000,-287.715000,4115.791000,3453.077000,4116.031000,3740.792000,2057.775500,1582.681000
