inst,lib,cell,view,orient,llx,lly,urx,ury,width,height,cx,cy,norm_llx,norm_lly,norm_urx,norm_ury,norm_cx,norm_cy,class
I1,SPADMIC,rail_bottom_MT,layout,R0,427.925000,163.000000,508.065000,598.680000,80.140000,435.680000,467.995000,380.840000,428.165000,450.715000,508.305000,886.395000,468.235000,668.555000,MATRIX
I4,MIMOSIS_SLVS_D_CELLS_HD,RX_SLVS_rectangle,layout,R0,2703.475000,170.645000,2797.825000,213.510000,94.350000,42.865000,2750.650000,192.077500,2703.715000,458.360000,2798.065000,501.225000,2750.890000,479.792500,TX_RX_DDR_SLVS
M87,SPADMIC,I2C_io_sdt,layout,,2069.500000,237.715000,2130.300000,247.745000,60.800000,10.030000,2099.900000,242.730000,2069.740000,525.430000,2130.540000,535.460000,2100.140000,530.445000,MATRIX
M182,SPADMIC,matrice4,layout,,25.675000,488.324000,2112.644000,2386.909000,2086.969000,1898.585000,1069.159500,1437.616500,25.915000,776.039000,2112.884000,2674.624000,1069.399500,1725.331500,MATRIX
I3,abstractLib,mptdc_axis_core,abstract,R0,2249.780000,1951.475000,3310.980000,2753.395000,1061.200000,801.920000,2780.380000,2352.435000,2250.020000,2239.190000,3311.220000,3041.110000,2780.620000,2640.150000,MPTDC
I79,abstractLib,mptdc_axis_core,abstract,R0,2249.780000,1099.555000,3310.980000,1901.475000,1061.200000,801.920000,2780.380000,1500.515000,2250.020000,1387.270000,3311.220000,2189.190000,2780.620000,1788.230000,MPTDC
I80,abstractLib,mptdc_axis_core,abstract,R0,2249.780000,247.635000,3310.980000,1049.555000,1061.200000,801.920000,2780.380000,648.595000,2250.020000,535.350000,3311.220000,1337.270000,2780.620000,936.310000,MPTDC
M1,SPADMIC,DDRs2,layout,,21.740000,2974.171000,3620.255000,3106.244000,3598.515000,132.073000,1820.997500,3040.207500,21.980000,3261.886000,3620.495000,3393.959000,1821.237500,3327.922500,MATRIX
I6,SPADMIC,TXRX4TDC2,layout,R0,3505.279000,177.205000,3638.670000,2978.080000,133.391000,2800.875000,3571.974500,1577.642500,3505.519000,464.920000,3638.910000,3265.795000,3572.214500,1865.357500,MATRIX
M86,SPADMIC,CLOKIN,layout,,1757.220000,236.120000,2042.882000,395.860000,285.662000,159.740000,1900.051000,315.990000,1757.460000,523.835000,2043.122000,683.575000,1900.291000,603.705000,MATRIX
I5,SPADMIC,BOX_RING2,layout,R0,-0.240000,-287.715000,4115.791000,3453.077000,4116.031000,3740.792000,2057.775500,1582.681000,0.000000,0.000000,4116.031000,3740.792000,2058.015500,1870.396000,PAD_RING
