objType,layer,purpose,llx,lly,urx,ury,width,height,cx,cy
label,PAD,drawing,2051.749000,2124.545000,2051.831000,2124.645000,0.082000,0.100000,2051.790000,2124.595000
label,METTPL,pin,-61.881000,170.649000,-31.879000,173.935000,30.002000,3.286000,-46.880000,172.292000
label,METTPL,pin,-153.095000,170.649000,-107.665000,173.935000,45.430000,3.286000,-130.380000,172.292000
label,METTPL,pin,-77.309000,15.469000,-16.451000,18.755000,60.858000,3.286000,-46.880000,17.112000
label,METTPL,pin,-168.524000,15.469000,-92.236000,18.755000,76.288000,3.286000,-130.380000,17.112000
label,MET5,pin,-108.166000,170.399000,14.406000,173.685000,122.572000,3.286000,-46.880000,172.042000
label,MET5,pin,-115.881000,15.839000,22.121000,19.125000,138.002000,3.286000,-46.880000,17.482000
label,MET4,pin,-123.595000,170.399000,29.835000,173.685000,153.430000,3.286000,-46.880000,172.042000
label,MET4,pin,-131.309000,15.839000,37.549000,19.125000,168.858000,3.286000,-46.880000,17.482000
label,MET5,pin,-261.095000,170.399000,0.335000,173.685000,261.430000,3.286000,-130.380000,172.042000
label,MET5,pin,-268.809000,15.839000,8.049000,19.125000,276.858000,3.286000,-130.380000,17.482000
label,MET4,pin,-276.524000,170.399000,15.764000,173.685000,292.288000,3.286000,-130.380000,172.042000
label,MET4,pin,-284.238000,15.839000,23.478000,19.125000,307.716000,3.286000,-130.380000,17.482000
label,MET4,TEXT,-145.595000,38.909000,-115.165000,42.195000,30.430000,3.286000,-130.380000,40.552000
label,MET4,TEXT,-145.381000,15.839000,-115.379000,19.125000,30.002000,3.286000,-130.380000,17.482000
label,MET4,TEXT,-145.381000,170.049000,-115.379000,173.335000,30.002000,3.286000,-130.380000,171.692000
label,MET4,TEXT,-145.238000,148.029000,-115.522000,151.315000,29.716000,3.286000,-130.380000,149.672000
label,MET5,TEXT,-145.595000,38.909000,-115.165000,42.195000,30.430000,3.286000,-130.380000,40.552000
label,MET5,TEXT,-145.381000,15.839000,-115.379000,19.125000,30.002000,3.286000,-130.380000,17.482000
label,MET5,TEXT,-145.381000,170.049000,-115.379000,173.335000,30.002000,3.286000,-130.380000,171.692000
label,MET5,TEXT,-145.238000,148.029000,-115.522000,151.315000,29.716000,3.286000,-130.380000,149.672000
label,METTPL,TEXT,-145.845000,38.909000,-115.415000,42.195000,30.430000,3.286000,-130.630000,40.552000
label,METTPL,TEXT,-145.488000,148.029000,-115.772000,151.315000,29.716000,3.286000,-130.630000,149.672000
label,MET4,TEXT,-62.095000,38.909000,-31.665000,42.195000,30.430000,3.286000,-46.880000,40.552000
label,MET4,TEXT,-61.881000,15.839000,-31.879000,19.125000,30.002000,3.286000,-46.880000,17.482000
label,MET4,TEXT,-61.881000,170.049000,-31.879000,173.335000,30.002000,3.286000,-46.880000,171.692000
label,MET4,TEXT,-61.738000,148.029000,-32.022000,151.315000,29.716000,3.286000,-46.880000,149.672000
label,MET5,TEXT,-62.095000,38.909000,-31.665000,42.195000,30.430000,3.286000,-46.880000,40.552000
label,MET5,TEXT,-61.881000,15.839000,-31.879000,19.125000,30.002000,3.286000,-46.880000,17.482000
label,MET5,TEXT,-61.881000,170.049000,-31.879000,173.335000,30.002000,3.286000,-46.880000,171.692000
label,MET5,TEXT,-61.738000,148.029000,-32.022000,151.315000,29.716000,3.286000,-46.880000,149.672000
label,METTPL,TEXT,-61.845000,38.909000,-31.415000,42.195000,30.430000,3.286000,-46.630000,40.552000
label,METTPL,TEXT,-61.488000,148.029000,-31.772000,151.315000,29.716000,3.286000,-46.630000,149.672000
label,METTPL,TEXT,-145.631000,15.594000,-115.629000,18.880000,30.002000,3.286000,-130.630000,17.237000
label,METTPL,TEXT,-61.631000,15.594000,-31.629000,18.880000,30.002000,3.286000,-46.630000,17.237000
label,METTPL,TEXT,-145.631000,170.299000,-115.629000,173.585000,30.002000,3.286000,-130.630000,171.942000
