term,direction,layer,purpose,llx,lly,urx,ury,cx,cy
I183|PSUB_PTAT0,inputOutput,METTPL,pin,-47.130000,168.315000,-46.630000,176.555000,-46.880000,172.435000
I183|PSUB_PTAT0,inputOutput,MET4,pin,-130.630000,13.555000,-130.130000,21.695000,-130.380000,17.625000
I183|PSUB_PTAT0,inputOutput,MET4,pin,-130.630000,167.815000,-130.130000,176.555000,-130.380000,172.185000
I183|PSUB_PTAT0,inputOutput,MET5,pin,-130.630000,13.555000,-130.130000,21.695000,-130.380000,17.625000
I183|PSUB_PTAT0,inputOutput,MET5,pin,-130.630000,167.815000,-130.130000,176.555000,-130.380000,172.185000
I183|PSUB_PTAT0,inputOutput,MET4,pin,-47.130000,13.555000,-46.630000,21.695000,-46.880000,17.625000
I183|PSUB_PTAT0,inputOutput,MET4,pin,-47.130000,167.815000,-46.630000,176.555000,-46.880000,172.185000
I183|PSUB_PTAT0,inputOutput,MET5,pin,-47.130000,13.555000,-46.630000,21.695000,-46.880000,17.625000
I183|PSUB_PTAT0,inputOutput,MET5,pin,-47.130000,167.815000,-46.630000,176.555000,-46.880000,172.185000
I183|PSUB_PTAT0,inputOutput,METTPL,pin,-130.630000,13.555000,-130.130000,20.955000,-130.380000,17.255000
I183|PSUB_PTAT0,inputOutput,METTPL,pin,-47.130000,13.555000,-46.630000,20.955000,-46.880000,17.255000
I183|PSUB_PTAT0,inputOutput,METTPL,pin,-130.630000,168.315000,-130.130000,176.555000,-130.380000,172.435000
I183|PSUB_PTAT0,inputOutput,METTPL,pin,-47.130000,168.315000,-46.630000,176.555000,-46.880000,172.435000
I183|PSUB_PSUB_PTAT0,inputOutput,METTPL,pin,-130.630000,168.315000,-130.130000,176.555000,-130.380000,172.435000
I183|PSUB_PSUB_PSUB_PTAT0,inputOutput,METTPL,pin,-47.130000,13.555000,-46.630000,20.955000,-46.880000,17.255000
I183|PSUB_PSUB_PSUB_PSUB_PTAT0,inputOutput,METTPL,pin,-130.630000,13.555000,-130.130000,20.955000,-130.380000,17.255000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PTAT0,inputOutput,MET5,pin,-47.130000,167.815000,-46.630000,176.555000,-46.880000,172.185000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PTAT0,inputOutput,MET5,pin,-47.130000,13.555000,-46.630000,21.695000,-46.880000,17.625000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PTAT0,inputOutput,MET4,pin,-47.130000,167.815000,-46.630000,176.555000,-46.880000,172.185000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PTAT0,inputOutput,MET4,pin,-47.130000,13.555000,-46.630000,21.695000,-46.880000,17.625000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PTAT0,inputOutput,MET5,pin,-130.630000,167.815000,-130.130000,176.555000,-130.380000,172.185000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PTAT0,inputOutput,MET5,pin,-130.630000,13.555000,-130.130000,21.695000,-130.380000,17.625000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PTAT0,inputOutput,MET4,pin,-130.630000,167.815000,-130.130000,176.555000,-130.380000,172.185000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PTAT0,inputOutput,MET4,pin,-130.630000,13.555000,-130.130000,21.695000,-130.380000,17.625000
I183|VDDO_VDDO_SUB,inputOutput,METTPL,pin,-36.630000,133.815000,-36.130000,165.815000,-36.380000,149.815000
