port,side,layer,order,reason,target_x_um,target_y_um,source_inst,source_term,source_x_um,source_y_um
clk_sys,WEST,MET3,0,clock/reset/control entry,,,,,,
clk_160m_i,WEST,MET3,1,clock/reset/control entry,,,,,,
rst_n,WEST,MET3,2,clock/reset/control entry,,,,,,
ddrs2_enable_i,WEST,MET3,3,clock/reset/control entry,,,,,,
bundle_start_i,WEST,MET3,4,clock/reset/control entry,,,,,,
event_id_i[0],WEST,MET3,5,clock/reset/control entry,,,,,,
event_id_i[1],WEST,MET3,6,clock/reset/control entry,,,,,,
event_id_i[2],WEST,MET3,7,clock/reset/control entry,,,,,,
event_id_i[3],WEST,MET3,8,clock/reset/control entry,,,,,,
event_id_i[4],WEST,MET3,9,clock/reset/control entry,,,,,,
event_id_i[5],WEST,MET3,10,clock/reset/control entry,,,,,,
event_id_i[6],WEST,MET3,11,clock/reset/control entry,,,,,,
event_id_i[7],WEST,MET3,12,clock/reset/control entry,,,,,,
event_id_i[8],WEST,MET3,13,clock/reset/control entry,,,,,,
event_id_i[9],WEST,MET3,14,clock/reset/control entry,,,,,,
event_id_i[10],WEST,MET3,15,clock/reset/control entry,,,,,,
event_id_i[11],WEST,MET3,16,clock/reset/control entry,,,,,,
event_id_i[12],WEST,MET3,17,clock/reset/control entry,,,,,,
event_id_i[13],WEST,MET3,18,clock/reset/control entry,,,,,,
required_packet_mask_i[0],WEST,MET3,19,clock/reset/control entry,,,,,,
required_packet_mask_i[1],WEST,MET3,20,clock/reset/control entry,,,,,,
required_packet_mask_i[2],WEST,MET3,21,clock/reset/control entry,,,,,,
required_packet_mask_i[3],WEST,MET3,22,clock/reset/control entry,,,,,,
source_pending_mask_i[0],WEST,MET3,23,clock/reset/control entry,,,,,,
source_pending_mask_i[1],WEST,MET3,24,clock/reset/control entry,,,,,,
source_pending_mask_i[2],WEST,MET3,25,clock/reset/control entry,,,,,,
source_pending_mask_i[3],WEST,MET3,26,clock/reset/control entry,,,,,,
completed_packet_mask_o[0],WEST,MET3,27,clock/reset/control entry,,,,,,
completed_packet_mask_o[1],WEST,MET3,28,clock/reset/control entry,,,,,,
completed_packet_mask_o[2],WEST,MET3,29,clock/reset/control entry,,,,,,
completed_packet_mask_o[3],WEST,MET3,30,clock/reset/control entry,,,,,,
bundle_done_o,WEST,MET3,31,clock/reset/control entry,,,,,,
bundle_busy_o,WEST,MET3,32,clock/reset/control entry,,,,,,
bundle_idle_o,WEST,MET3,33,clock/reset/control entry,,,,,,
bundle_missing_source_error_o,WEST,MET3,34,clock/reset/control entry,,,,,,
output_fifo_level_o[0],WEST,MET3,35,clock/reset/control entry,,,,,,
output_fifo_level_o[1],WEST,MET3,36,clock/reset/control entry,,,,,,
output_fifo_level_o[2],WEST,MET3,37,clock/reset/control entry,,,,,,
output_fifo_level_o[3],WEST,MET3,38,clock/reset/control entry,,,,,,
output_fifo_level_o[4],WEST,MET3,39,clock/reset/control entry,,,,,,
output_fifo_level_o[5],WEST,MET3,40,clock/reset/control entry,,,,,,
output_fifo_level_o[6],WEST,MET3,41,clock/reset/control entry,,,,,,
output_fifo_level_o[7],WEST,MET3,42,clock/reset/control entry,,,,,,
output_fifo_level_o[8],WEST,MET3,43,clock/reset/control entry,,,,,,
output_fifo_free_words_o[0],WEST,MET3,44,clock/reset/control entry,,,,,,
output_fifo_free_words_o[1],WEST,MET3,45,clock/reset/control entry,,,,,,
output_fifo_free_words_o[2],WEST,MET3,46,clock/reset/control entry,,,,,,
output_fifo_free_words_o[3],WEST,MET3,47,clock/reset/control entry,,,,,,
output_fifo_free_words_o[4],WEST,MET3,48,clock/reset/control entry,,,,,,
output_fifo_free_words_o[5],WEST,MET3,49,clock/reset/control entry,,,,,,
output_fifo_free_words_o[6],WEST,MET3,50,clock/reset/control entry,,,,,,
output_fifo_free_words_o[7],WEST,MET3,51,clock/reset/control entry,,,,,,
output_fifo_free_words_o[8],WEST,MET3,52,clock/reset/control entry,,,,,,
output_fifo_empty_o,WEST,MET3,53,clock/reset/control entry,,,,,,
output_fifo_full_o,WEST,MET3,54,clock/reset/control entry,,,,,,
