idx	marker_handle	box	llx	lly	urx	ury	cx	cy	layer	type	subType	message
1	0x7f158981cbc0	{209.53 83.02 209.91 83.3}	209.53	83.02	209.91	83.3	209.720000	83.160000	MET1	Geometry	Minimal_Area	Regular Wire of Net n_3163 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0 LEF Description: AREA 0.202000 ;
2	0x7f158981cc50	{277.29 83.02 277.67 83.3}	277.29	83.02	277.67	83.3	277.480000	83.160000	MET1	Geometry	Minimal_Area	Regular Wire of Net n_3169 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0 LEF Description: AREA 0.202000 ;
3	0x7f158981cc80	{299.69 91.98 300.07 92.26}	299.69	91.98	300.07	92.26	299.880000	92.120000	MET1	Geometry	Minimal_Area	Regular Wire of Net n_3176 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0 LEF Description: AREA 0.202000 ;
4	0x7f158981cce0	{988.49 131.18 988.87 131.46}	988.49	131.18	988.87	131.46	988.680000	131.320000	MET1	Geometry	Minimal_Area	Regular Wire of Net n_3232 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0 LEF Description: AREA 0.202000 ;
5	0x7f158981cd10	{1067.45 144.06 1067.83 144.34}	1067.45	144.06	1067.83	144.34	1067.640000	144.200000	MET1	Geometry	Minimal_Area	Regular Wire of Net n_3227 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0 LEF Description: AREA 0.202000 ;
6	0x7f158981cd40	{1490.81 140.14 1491.19 140.42}	1490.81	140.14	1491.19	140.42	1491.000000	140.280000	MET1	Geometry	Minimal_Area	Regular Wire of Net n_3165 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0 LEF Description: AREA 0.202000 ;
7	0x7f158981cd70	{1502.57 127.82 1502.95 128.1}	1502.57	127.82	1502.95	128.1	1502.760000	127.960000	MET1	Geometry	Minimal_Area	Regular Wire of Net n_3152 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0 LEF Description: AREA 0.202000 ;
8	0x7f158981cda0	{2824.17 129.5 2824.55 129.78}	2824.17	129.5	2824.55	129.78	2824.360000	129.640000	MET1	Geometry	Minimal_Area	Regular Wire of Net n_3230 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0 LEF Description: AREA 0.202000 ;
9	0x7f158981cdd0	{2860.01 118.86 2860.39 119.14}	2860.01	118.86	2860.39	119.14	2860.200000	119.000000	MET1	Geometry	Minimal_Area	Regular Wire of Net n_3213 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0 LEF Description: AREA 0.202000 ;
10	0x7f158981ce00	{2882.41 102.62 2882.79 102.9}	2882.41	102.62	2882.79	102.9	2882.600000	102.760000	MET1	Geometry	Minimal_Area	Regular Wire of Net n_3172 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0 LEF Description: AREA 0.202000 ;
