family,pin_count,ll_bbox_x1,ll_bbox_y1,ll_bbox_x2,ll_bbox_y2,sides
B,64,531.115,0.005,1991.780,791.895,"BOTTOM,INTERNAL_NEAREST_RIGHT"
Bz,64,531.675,0.005,1991.780,791.335,"BOTTOM,INTERNAL_NEAREST_RIGHT"
Cin,44,86.290,0.005,1948.470,0.285,BOTTOM
Cout,44,86.290,1725.255,1948.470,1725.535,TOP
Din,44,85.730,0.005,1947.910,0.285,BOTTOM
Dout,44,85.730,1725.255,1947.910,1725.535,TOP
R,64,528.875,989.375,1991.760,1725.535,"INTERNAL_NEAREST_RIGHT,TOP"
Rz,64,529.435,988.815,1991.760,1725.535,"INTERNAL_NEAREST_RIGHT,TOP"
SUPPLY,4,1.790,1693.035,14.290,1725.535,"LEFT,TOP"
UNKNOWN,1,1.790,61.585,2.070,61.865,LEFT
Y,64,1991.480,90.495,1991.760,1665.775,INTERNAL_NEAREST_RIGHT
Yz,64,1991.480,89.935,1991.760,1665.215,INTERNAL_NEAREST_RIGHT
