region,x1_um,y1_um,x2_um,y2_um,area_um2
control_reset_supervision_south,120.000,120.000,3169.910,407.230,876025.649
core_planning,120.000,120.000,3680.000,2580.000,8757600.000
die,0.000,0.000,3800.000,2700.000,10260000.000
fifo_bundle_north,2339.910,2162.770,3680.000,2580.000,559125.751
internal_nearest_right_corridor,2086.471,552.165,2369.910,2178.005,460826.464
matrice3_halo,70.000,437.230,2169.910,2262.770,3833469.701
matrice3_macro,120.000,487.230,2119.910,2212.770,3450924.701
matrix_cfg_bottom,120.000,120.000,2369.910,747.230,1411211.049
matrix_cout_dout_top,120.000,1992.770,2369.910,2472.770,1079956.800
mptdc_b_placeholder,2219.910,10.962,3374.611,876.987,1000000.000
mptdc_r_placeholder,2219.910,1823.013,3374.611,2689.038,1000000.000
mptdc_y_placeholder,2219.910,916.987,3374.611,1783.013,1000000.000
or64_reset_matrix_edge,1899.910,487.230,2279.910,2212.770,655705.200
pll_placeholder_south_east,3380.000,120.000,3680.000,340.000,66000.000
position_cluster_main,2539.910,767.230,3039.910,1407.230,320000.000
position_distributed_frontend,1839.910,487.230,2419.910,2212.770,1000813.200
