region,kind,llx_um,lly_um,urx_um,ury_um,owner,status,clearance_policy
TOP_DIE,DIE,0.000,0.000,4116.031,3740.792,SPADMIC2,AUDITED_PAD_RING_BBOX,REFERENCE_ONLY
TX_PACKET_CORE,HARD_RESERVATION,61.980,2689.624,2128.940,3056.424,tx_packet_core,EXISTING_PROVISIONAL_MACRO,APPROVED_EXISTING_GEOMETRY
TX_DDR_STRIP,HARD_RESERVATION,61.980,3061.110,3495.340,3241.990,tx_ddr_strip,EXISTING_SIGNAL_MACRO_PG_OPEN,APPROVED_NARROW_GEOMETRY
POSITION_CORE,HARD_RESERVATION,528.305,20.000,1480.000,680.000,position_core,RESERVED,20UM_FROM_RAIL_BOTTOM
EVENT_COORDINATOR,HARD_RESERVATION,1500.000,280.000,1737.460,500.000,event_coordinator,RESERVED,20UM_FROM_CLOKIN
CENTRAL_CONTROL_SOFT,SOFT_GUIDE,1500.000,20.000,2040.000,220.000,central_control,GUIDE_ONLY,LEGALIZE_WITHIN_ASSEMBLY
CSR_I2C_SOFT,SOFT_GUIDE,1500.000,220.000,1737.460,260.000,csr_i2c,DEFERRED_GUIDE_ONLY,REQUIRES_PAD_CONTRACT
MATRIX_INTERFACE_SOFT,SOFT_GUIDE,25.915,700.000,2112.884,756.039,matrix_interface,GUIDE_ONLY,20UM_BELOW_MATRIX
MPTDC_ROUTE_CORRIDOR,ROUTE_ONLY,2132.884,776.039,2230.020,3041.110,mptdc_frontend,RESERVED_NO_PLACEMENT,20UM_BETWEEN_MATRIX_AND_MPTDC
MPTDC_R,BLOCKAGE,2250.020,2239.190,3311.220,3041.110,mptdc_axis_r,BLOCKED_ABSTRACT_PLACEHOLDER,NO_ROUTE_OR_PLACE
MPTDC_Y,BLOCKAGE,2250.020,1387.270,3311.220,2189.190,mptdc_axis_y,BLOCKED_ABSTRACT_PLACEHOLDER,NO_ROUTE_OR_PLACE
MPTDC_B,BLOCKAGE,2250.020,535.350,3311.220,1337.270,mptdc_axis_b,BLOCKED_ABSTRACT_PLACEHOLDER,NO_ROUTE_OR_PLACE
