order,net,packet_pin,strip_pin,packet_side,strip_side,pin_layer,assembly_route_layer,packet_local_x_um,strip_local_x_um,assembly_x_um
0,tx_valid,tx_valid_o,tx_valid_i,NORTH,SOUTH,MET3,MET2,100.800,100.800,162.780
1,tx_ready,tx_ready_i,tx_ready_o,NORTH,SOUTH,MET3,MET2,201.600,201.600,263.580
2,tx_flush,tx_flush_o,tx_flush_i,NORTH,SOUTH,MET3,MET2,302.400,302.400,364.380
3,tx_data_0,tx_data_o[0],tx_data_i[0],NORTH,SOUTH,MET3,MET2,403.200,403.200,465.180
4,tx_data_1,tx_data_o[1],tx_data_i[1],NORTH,SOUTH,MET3,MET2,504.000,504.000,565.980
5,tx_data_2,tx_data_o[2],tx_data_i[2],NORTH,SOUTH,MET3,MET2,604.800,604.800,666.780
6,tx_data_3,tx_data_o[3],tx_data_i[3],NORTH,SOUTH,MET3,MET2,705.600,705.600,767.580
7,tx_data_4,tx_data_o[4],tx_data_i[4],NORTH,SOUTH,MET3,MET2,806.400,806.400,868.380
8,tx_data_5,tx_data_o[5],tx_data_i[5],NORTH,SOUTH,MET3,MET2,907.200,907.200,969.180
9,tx_data_6,tx_data_o[6],tx_data_i[6],NORTH,SOUTH,MET3,MET2,1008.000,1008.000,1069.980
10,tx_data_7,tx_data_o[7],tx_data_i[7],NORTH,SOUTH,MET3,MET2,1108.800,1108.800,1170.780
11,tx_data_8,tx_data_o[8],tx_data_i[8],NORTH,SOUTH,MET3,MET2,1209.600,1209.600,1271.580
12,tx_data_9,tx_data_o[9],tx_data_i[9],NORTH,SOUTH,MET3,MET2,1310.400,1310.400,1372.380
13,tx_data_10,tx_data_o[10],tx_data_i[10],NORTH,SOUTH,MET3,MET2,1411.200,1411.200,1473.180
14,tx_data_11,tx_data_o[11],tx_data_i[11],NORTH,SOUTH,MET3,MET2,1512.000,1512.000,1573.980
15,tx_data_12,tx_data_o[12],tx_data_i[12],NORTH,SOUTH,MET3,MET2,1612.800,1612.800,1674.780
16,tx_data_13,tx_data_o[13],tx_data_i[13],NORTH,SOUTH,MET3,MET2,1713.600,1713.600,1775.580
17,tx_data_14,tx_data_o[14],tx_data_i[14],NORTH,SOUTH,MET3,MET2,1814.400,1814.400,1876.380
18,tx_data_15,tx_data_o[15],tx_data_i[15],NORTH,SOUTH,MET3,MET2,1915.200,1915.200,1977.180
