source,bit,name
0,0,src_data_i_s0_b0
0,1,src_data_i_s0_b1
0,2,src_data_i_s0_b2
0,3,src_data_i_s0_b3
0,4,src_data_i_s0_b4
0,5,src_data_i_s0_b5
0,6,src_data_i_s0_b6
0,7,src_data_i_s0_b7
0,8,src_data_i_s0_b8
0,9,src_data_i_s0_b9
0,10,src_data_i_s0_b10
0,11,src_data_i_s0_b11
0,12,src_data_i_s0_b12
0,13,src_data_i_s0_b13
0,14,src_data_i_s0_b14
0,15,src_data_i_s0_b15
1,0,src_data_i_s1_b0
1,1,src_data_i_s1_b1
1,2,src_data_i_s1_b2
1,3,src_data_i_s1_b3
1,4,src_data_i_s1_b4
1,5,src_data_i_s1_b5
1,6,src_data_i_s1_b6
1,7,src_data_i_s1_b7
1,8,src_data_i_s1_b8
1,9,src_data_i_s1_b9
1,10,src_data_i_s1_b10
1,11,src_data_i_s1_b11
1,12,src_data_i_s1_b12
1,13,src_data_i_s1_b13
1,14,src_data_i_s1_b14
1,15,src_data_i_s1_b15
2,0,src_data_i_s2_b0
2,1,src_data_i_s2_b1
2,2,src_data_i_s2_b2
2,3,src_data_i_s2_b3
2,4,src_data_i_s2_b4
2,5,src_data_i_s2_b5
2,6,src_data_i_s2_b6
2,7,src_data_i_s2_b7
2,8,src_data_i_s2_b8
2,9,src_data_i_s2_b9
2,10,src_data_i_s2_b10
2,11,src_data_i_s2_b11
2,12,src_data_i_s2_b12
2,13,src_data_i_s2_b13
2,14,src_data_i_s2_b14
2,15,src_data_i_s2_b15
3,0,src_data_i_s3_b0
3,1,src_data_i_s3_b1
3,2,src_data_i_s3_b2
3,3,src_data_i_s3_b3
3,4,src_data_i_s3_b4
3,5,src_data_i_s3_b5
3,6,src_data_i_s3_b6
3,7,src_data_i_s3_b7
3,8,src_data_i_s3_b8
3,9,src_data_i_s3_b9
3,10,src_data_i_s3_b10
3,11,src_data_i_s3_b11
3,12,src_data_i_s3_b12
3,13,src_data_i_s3_b13
3,14,src_data_i_s3_b14
3,15,src_data_i_s3_b15
