idx	marker_handle	box	layer	type	subType	message
1	0x7fe922b70740	{1041.04 772.8 1041.04 772.8}	MET1	Connectivity	ConnectivityAntenna	Net VDD
2	0x7fe922b70770	{219.575 647.36 219.575 647.36}	MET1	Connectivity	ConnectivityAntenna	Net VDD
3	0x7fe922b707a0	{219.575 638.4 219.575 638.4}	MET1	Connectivity	ConnectivityAntenna	Net VDD
4	0x7fe922b707d0	{219.575 629.44 219.575 629.44}	MET1	Connectivity	ConnectivityAntenna	Net VDD
5	0x7fe922b70800	{219.575 620.48 219.575 620.48}	MET1	Connectivity	ConnectivityAntenna	Net VDD
6	0x7fe922b708f0	{221.745 681.16 221.745 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
7	0x7fe922b70950	{48.0 681.16 48.0 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
8	0x7fe922b709e0	{219.575 669.76 219.575 669.76}	MET1	Connectivity	ConnectivityAntenna	Net VSS
9	0x7fe922b70a10	{219.575 660.8 219.575 660.8}	MET1	Connectivity	ConnectivityAntenna	Net VSS
10	0x7fe922b70aa0	{50.4 651.84 50.4 651.84}	MET1	Connectivity	ConnectivityAntenna	Net VSS
11	0x7fe922b70b00	{50.17 669.76 50.17 669.76}	MET1	Connectivity	ConnectivityAntenna	Net VSS
12	0x7fe922b70b30	{50.17 660.8 50.17 660.8}	MET1	Connectivity	ConnectivityAntenna	Net VSS
13	0x7fe922b70b60	{50.17 642.88 50.17 642.88}	MET1	Connectivity	ConnectivityAntenna	Net VSS
14	0x7fe922b70b90	{50.17 633.92 50.17 633.92}	MET1	Connectivity	ConnectivityAntenna	Net VSS
15	0x7fe922b70bc0	{50.17 624.96 50.17 624.96}	MET1	Connectivity	ConnectivityAntenna	Net VSS
16	0x7fe932e7ed40	{288.49 202.3 289.39 202.58}	MET1	Geometry	Via_In_Pin	Regular Wire of Net u_core_n_57803 Type: ViaInPin # -1 -1 203 1 : 288.4900 202.3000 289.3900 202.5800 1
17	0x7fe932e7ed70	{288.49 202.3 289.39 202.58}	MET1	Geometry	Via_In_Pin	Regular Wire of Net u_core_n_57803 Type: ViaInPin # -1 -1 203 1 : 288.4900 202.3000 289.3900 202.5800 1
18	0x7fe912e13d00	{323.21 202.3 323.59 203.1}	MET1	Geometry	Via_In_Pin	Regular Wire of Net n_235 Type: ViaInPin # -1 -1 203 1 : 323.2100 202.3000 323.5900 203.1000 1
19	0x7fe912e13d30	{323.21 202.3 323.59 203.1}	MET1	Geometry	Via_In_Pin	Regular Wire of Net n_235 Type: ViaInPin # -1 -1 203 1 : 323.2100 202.3000 323.5900 203.1000 1
20	0x7fe931fec2c0	{288.49 202.3 289.39 202.58}	MET1	Geometry	Via_In_Pin	Regular Wire of Net u_core_n_57803 Type: ViaInPin # -1 -1 203 1 : 288.4900 202.3000 289.3900 202.5800 1
21	0x7fe932d7eaa0	{323.21 202.3 323.59 203.1}	MET1	Geometry	Via_In_Pin	Regular Wire of Net n_235 Type: ViaInPin # -1 -1 203 1 : 323.2100 202.3000 323.5900 203.1000 1
22	0x7fe912e184d0	{351.21 196.7 351.59 197.5}	MET1	Geometry	Via_In_Pin	Regular Wire of Net u_core_n_57848 Type: ViaInPin # -1 -1 203 1 : 351.2100 196.7000 351.5900 197.5000 1
23	0x7fe912e18500	{351.21 196.7 351.59 197.5}	MET1	Geometry	Via_In_Pin	Regular Wire of Net u_core_n_57848 Type: ViaInPin # -1 -1 203 1 : 351.2100 196.7000 351.5900 197.5000 1
24	0x7fe912e188f0	{352.89 196.7 353.27 197.5}	MET1	Geometry	Via_In_Pin	Regular Wire of Net u_core_ctx_snapshot[nfast_hit_packed][417] Type: ViaInPin # -1 -1 203 1 : 352.8900 196.7000 353.2700 197.5000 1
25	0x7fe912e18920	{352.89 196.7 353.27 197.5}	MET1	Geometry	Via_In_Pin	Regular Wire of Net u_core_ctx_snapshot[nfast_hit_packed][417] Type: ViaInPin # -1 -1 203 1 : 352.8900 196.7000 353.2700 197.5000 1
26	0x7fe912e19a90	{361.29 196.14 361.67 196.94}	MET1	Geometry	Via_In_Pin	Regular Wire of Net u_core_n_57848 Type: ViaInPin # -1 -1 203 1 : 361.2900 196.1400 361.6700 196.9400 1
27	0x7fe912e19ac0	{361.29 196.14 361.67 196.94}	MET1	Geometry	Via_In_Pin	Regular Wire of Net u_core_n_57848 Type: ViaInPin # -1 -1 203 1 : 361.2900 196.1400 361.6700 196.9400 1
28	0x7fe932d88e60	{351.21 196.7 351.59 197.5}	MET1	Geometry	Via_In_Pin	Regular Wire of Net u_core_n_57848 Type: ViaInPin # -1 -1 203 1 : 351.2100 196.7000 351.5900 197.5000 1
29	0x7fe932d89070	{352.89 196.7 353.27 197.5}	MET1	Geometry	Via_In_Pin	Regular Wire of Net u_core_ctx_snapshot[nfast_hit_packed][417] Type: ViaInPin # -1 -1 203 1 : 352.8900 196.7000 353.2700 197.5000 1
30	0x7fe932d89940	{361.29 196.14 361.67 196.94}	MET1	Geometry	Via_In_Pin	Regular Wire of Net u_core_n_57848 Type: ViaInPin # -1 -1 203 1 : 361.2900 196.1400 361.6700 196.9400 1
31	0x7fe912e19190	{356.81 192.78 357.19 193.58}	MET1	Geometry	Via_In_Pin	Regular Wire of Net u_core_ctx_snapshot[nfast_hit_packed][414] Type: ViaInPin # -1 -1 203 1 : 356.8100 192.7800 357.1900 193.5800 1
32	0x7fe912e191c0	{356.81 192.78 357.19 193.58}	MET1	Geometry	Via_In_Pin	Regular Wire of Net u_core_ctx_snapshot[nfast_hit_packed][414] Type: ViaInPin # -1 -1 203 1 : 356.8100 192.7800 357.1900 193.5800 1
33	0x7fe912e19af0	{361.85 187.74 362.23 188.54}	MET1	Geometry	Via_In_Pin	Regular Wire of Net u_core_n_57848 Type: ViaInPin # -1 -1 203 1 : 361.8500 187.7400 362.2300 188.5400 1
34	0x7fe912e19b20	{361.85 187.74 362.23 188.54}	MET1	Geometry	Via_In_Pin	Regular Wire of Net u_core_n_57848 Type: ViaInPin # -1 -1 203 1 : 361.8500 187.7400 362.2300 188.5400 1
