tile,ns,nf,instance,llx,lly,urx,ury,center_x,center_y,leaf_count,bbox_source,expected_llx,expected_lly,expected_urx,expected_ury,dx,dy,status
0_0,0,0,u_core_gen_pd_row[0].gen_pd_col[0].u_pd,229.6,660.8,309.68,710.08,269.64,685.44,25,hier_leaf_aggregate,50.4,250.88,87.9,288.38,200.49,415.81,OUTSIDE_TILE_REGION
0_1,0,1,u_core_gen_pd_row[0].gen_pd_col[1].u_pd,236.32,598.08,283.92,638.4,260.12,618.24,25,hier_leaf_aggregate,50.4,288.38,87.9,325.88,190.97,311.11,OUTSIDE_TILE_REGION
0_2,0,2,u_core_gen_pd_row[0].gen_pd_col[2].u_pd,383.04,557.76,427.84,624.96,405.44,591.36,26,hier_leaf_aggregate,50.4,325.88,87.9,363.38,336.29,246.73,OUTSIDE_TILE_REGION
0_3,0,3,u_core_gen_pd_row[0].gen_pd_col[3].u_pd,503.44,409.92,563.36,454.72,533.4,432.32,25,hier_leaf_aggregate,50.4,363.38,87.9,400.88,464.25,50.19,OUTSIDE_TILE_REGION
0_4,0,4,u_core_gen_pd_row[0].gen_pd_col[4].u_pd,366.8,414.4,425.6,459.2,396.2,436.8,30,hier_leaf_aggregate,50.4,400.88,87.9,438.38,327.05,17.17,OUTSIDE_TILE_REGION
0_5,0,5,u_core_gen_pd_row[0].gen_pd_col[5].u_pd,448.0,400.96,477.68,459.2,462.84,430.08,25,hier_leaf_aggregate,50.4,438.38,87.9,475.88,393.69,-27.05,OUTSIDE_TILE_REGION
0_6,0,6,u_core_gen_pd_row[0].gen_pd_col[6].u_pd,68.32,512.96,111.44,548.8,89.88,530.88,30,hier_leaf_aggregate,50.4,475.88,87.9,513.38,20.73,36.25,OUTSIDE_TILE_REGION
0_7,0,7,u_core_gen_pd_row[0].gen_pd_col[7].u_pd,122.08,517.44,164.08,562.24,143.08,539.84,24,hier_leaf_aggregate,50.4,513.38,87.9,550.88,73.93,7.71,OUTSIDE_TILE_REGION
1_0,1,0,u_core_gen_pd_row[1].gen_pd_col[0].u_pd,211.12,638.4,314.16,723.52,262.64,680.96,25,hier_leaf_aggregate,87.9,250.88,125.4,288.38,155.99,411.33,OUTSIDE_TILE_REGION
1_1,1,1,u_core_gen_pd_row[1].gen_pd_col[1].u_pd,219.52,575.68,286.72,642.88,253.12,609.28,31,hier_leaf_aggregate,87.9,288.38,125.4,325.88,146.47,302.15,OUTSIDE_TILE_REGION
1_2,1,2,u_core_gen_pd_row[1].gen_pd_col[2].u_pd,380.8,575.68,425.6,629.44,403.2,602.56,26,hier_leaf_aggregate,87.9,325.88,125.4,363.38,296.55,257.93,OUTSIDE_TILE_REGION
1_3,1,3,u_core_gen_pd_row[1].gen_pd_col[3].u_pd,459.76,400.96,555.52,450.24,507.64,425.6,25,hier_leaf_aggregate,87.9,363.38,125.4,400.88,400.99,43.47,OUTSIDE_TILE_REGION
1_4,1,4,u_core_gen_pd_row[1].gen_pd_col[4].u_pd,258.16,418.88,303.52,468.16,280.84,443.52,26,hier_leaf_aggregate,87.9,400.88,125.4,438.38,174.19,23.89,OUTSIDE_TILE_REGION
1_5,1,5,u_core_gen_pd_row[1].gen_pd_col[5].u_pd,421.12,396.48,459.2,454.72,440.16,425.6,25,hier_leaf_aggregate,87.9,438.38,125.4,475.88,333.51,-31.53,OUTSIDE_TILE_REGION
1_6,1,6,u_core_gen_pd_row[1].gen_pd_col[6].u_pd,53.76,481.6,129.36,535.36,91.56,508.48,25,hier_leaf_aggregate,87.9,475.88,125.4,513.38,-15.09,13.85,OK
1_7,1,7,u_core_gen_pd_row[1].gen_pd_col[7].u_pd,120.96,495.04,161.84,539.84,141.4,517.44,30,hier_leaf_aggregate,87.9,513.38,125.4,550.88,34.75,-14.69,OUTSIDE_TILE_REGION
2_0,2,0,u_core_gen_pd_row[2].gen_pd_col[0].u_pd,222.32,647.36,287.84,719.04,255.08,683.2,25,hier_leaf_aggregate,125.4,250.88,162.9,288.38,110.93,413.57,OUTSIDE_TILE_REGION
2_1,2,1,u_core_gen_pd_row[2].gen_pd_col[1].u_pd,165.2,566.72,253.12,598.08,209.16,582.4,25,hier_leaf_aggregate,125.4,288.38,162.9,325.88,65.01,275.27,OUTSIDE_TILE_REGION
2_2,2,2,u_core_gen_pd_row[2].gen_pd_col[2].u_pd,525.84,427.84,556.08,499.52,540.96,463.68,26,hier_leaf_aggregate,125.4,325.88,162.9,363.38,396.81,119.05,OUTSIDE_TILE_REGION
2_3,2,3,u_core_gen_pd_row[2].gen_pd_col[3].u_pd,540.96,378.56,589.12,427.84,565.04,403.2,25,hier_leaf_aggregate,125.4,363.38,162.9,400.88,420.89,21.07,OUTSIDE_TILE_REGION
2_4,2,4,u_core_gen_pd_row[2].gen_pd_col[4].u_pd,229.04,374.08,372.4,432.32,300.72,403.2,31,hier_leaf_aggregate,125.4,400.88,162.9,438.38,156.57,-16.43,OUTSIDE_TILE_REGION
2_5,2,5,u_core_gen_pd_row[2].gen_pd_col[5].u_pd,424.48,360.64,465.92,418.88,445.2,389.76,24,hier_leaf_aggregate,125.4,438.38,162.9,475.88,301.05,-67.37,OUTSIDE_TILE_REGION
2_6,2,6,u_core_gen_pd_row[2].gen_pd_col[6].u_pd,53.2,463.68,132.16,486.08,92.68,474.88,36,hier_leaf_aggregate,125.4,475.88,162.9,513.38,-51.47,-19.75,OUTSIDE_TILE_REGION
2_7,2,7,u_core_gen_pd_row[2].gen_pd_col[7].u_pd,126.56,450.24,173.6,486.08,150.08,468.16,24,hier_leaf_aggregate,125.4,513.38,162.9,550.88,5.93,-63.97,OUTSIDE_TILE_REGION
3_0,3,0,u_core_gen_pd_row[3].gen_pd_col[0].u_pd,190.4,499.52,272.16,584.64,231.28,542.08,25,hier_leaf_aggregate,162.9,250.88,200.4,288.38,49.63,272.45,OUTSIDE_TILE_REGION
3_1,3,1,u_core_gen_pd_row[3].gen_pd_col[1].u_pd,193.2,459.2,225.68,517.44,209.44,488.32,27,hier_leaf_aggregate,162.9,288.38,200.4,325.88,27.79,181.19,OUTSIDE_TILE_REGION
