idx	inst	inst_orient	marker_layer	marker_box	marker_local_box	type	subType	message
14	u_core_u_osc_slow_u_ro_tune4	R0	MET2	204.13 610.4 204.41 612.67	153.73 0 154.01 2.27	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[6] Type: Metal Short # -1 -1 9 2 : 203.9900 610.2600 204.5500 612.8100 2: 203.9900 610.2600 204.5500 612.8100 2
15	u_core_u_osc_slow_u_ro_tune4	R0	MET2	204.13 610.4 204.41 612.67	153.73 0 154.01 2.27	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[6] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 203.9900 610.2600 204.5500 612.8100 2: 203.9900 610.2600 204.5500 612.8100 2
16	u_core_u_osc_slow_u_ro_tune4	R0	MET2	167.33 610.4 167.61 612.67	116.93 0 117.21 2.27	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[3] Type: Metal Short # -1 -1 9 2 : 167.1900 610.2600 167.7500 612.8100 2: 167.1900 610.2600 167.7500 612.8100 2
17	u_core_u_osc_slow_u_ro_tune4	R0	MET2	183.555 610.4 183.835 612.67	133.155 0 133.435 2.27	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[7] Type: Metal Short # -1 -1 9 2 : 183.4150 610.2600 183.9750 612.8100 2: 183.4150 610.2600 183.9750 612.8100 2
18	u_core_u_osc_slow_u_ro_tune4	R0	MET2	187.905 610.4 188.185 612.67	137.505 0 137.785 2.27	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[2] Type: Metal Short # -1 -1 9 2 : 187.7650 610.2600 188.3250 612.8100 2: 187.7650 610.2600 188.3250 612.8100 2
19	u_core_u_osc_slow_u_ro_tune4	R0	MET2	167.33 610.4 167.61 612.67	116.93 0 117.21 2.27	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[3] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 167.1900 610.2600 167.7500 612.8100 2: 167.1900 610.2600 167.7500 612.8100 2
20	u_core_u_osc_slow_u_ro_tune4	R0	MET2	183.555 610.4 183.835 612.67	133.155 0 133.435 2.27	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[7] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 183.4150 610.2600 183.9750 612.8100 2: 183.4150 610.2600 183.9750 612.8100 2
21	u_core_u_osc_slow_u_ro_tune4	R0	MET2	187.905 610.4 188.185 612.67	137.505 0 137.785 2.27	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[2] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 187.7650 610.2600 188.3250 612.8100 2: 187.7650 610.2600 188.3250 612.8100 2
22	u_core_u_osc_slow_u_ro_tune4	R0	MET2	142.405 610.4 142.685 612.67	92.005 0 92.285 2.27	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[0] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 142.2650 610.2600 142.8250 612.8100 2: 142.2650 610.2600 142.8250 612.8100 2
23	u_core_u_osc_slow_u_ro_tune4	R0	MET2	142.405 610.4 142.685 612.67	92.005 0 92.285 2.27	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[0] Type: Metal Short # -1 -1 9 2 : 142.2650 610.2600 142.8250 612.8100 2: 142.2650 610.2600 142.8250 612.8100 2
24	u_core_u_osc_slow_u_ro_tune4	R0	MET2	146.755 610.4 147.035 612.67	96.355 0 96.635 2.27	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[1] Type: Metal Short # -1 -1 9 2 : 146.6150 610.2600 147.1750 612.8100 2: 146.6150 610.2600 147.1750 612.8100 2
25	u_core_u_osc_slow_u_ro_tune4	R0	MET3	163.01 610.4 163.29 612.59	112.61 0 112.89 2.19	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[5] Type: Metal Short # -1 -1 9 2 : 162.8700 610.2600 163.4300 612.7300 3: 162.8700 610.2600 163.4300 612.7300 3
26	u_core_u_osc_slow_u_ro_tune4	R0	MET2	146.755 610.4 147.035 612.67	96.355 0 96.635 2.27	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[1] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 146.6150 610.2600 147.1750 612.8100 2: 146.6150 610.2600 147.1750 612.8100 2
27	u_core_u_osc_slow_u_ro_tune4	R0	MET3	163.01 610.4 163.29 612.59	112.61 0 112.89 2.19	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[5] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 162.8700 610.2600 163.4300 612.7300 3: 162.8700 610.2600 163.4300 612.7300 3
33	u_core_u_osc_slow_u_ro_tune4	R0	MET2	114.805 610.4 115.085 612.67	64.405 0 64.685 2.27	Geometry	Metal_Short	Regular Wire of Net u_core_fe_osc_slow_en Type: Metal Short # -1 -1 9 2 : 114.6650 610.2600 115.2250 612.8100 2: 114.6650 610.2600 115.2250 612.8100 2
34	u_core_u_osc_slow_u_ro_tune4	R0	MET2	126.18 610.4 126.46 612.67	75.78 0 76.06 2.27	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[4] Type: Metal Short # -1 -1 9 2 : 126.0400 610.2600 126.6000 612.8100 2: 126.0400 610.2600 126.6000 612.8100 2
35	u_core_u_osc_slow_u_ro_tune4	R0	MET1	54 610.4 56 626.935	3.6 0 5.6 16.535	Geometry	Metal_Short	Special Wire of Net VDD & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 53.8850 610.2850 56.1150 627.0500 1: 53.8850 610.2850 56.1150 627.0500 1
