idx	inst	inst_orient	marker_layer	marker_local_box	marker_lef_box	overlapping_lef_pins_same_layer	overlapping_obs_count_same_layer	nearest_pin_same_layer	nearest_pin_distance_um	classification	orientation_warning	message
14	u_core_u_osc_slow_u_ro_tune4	R0	MET2	153.730000 0.000000 154.010000 2.270000	85.030000 -88.515000 85.310000 -86.245000		1	S[6]:MET2:85.030000 -85.825000 85.310000 -85.545000	0.420000	OBS_OVERLAP_NO_PIN		Regular Wire of Net u_core_slow_phase_raw[6] Type: Metal Short # -1 -1 9 2 : 203.9900 610.2600 204.5500 612.8100 2: 203.9900 610.2600 204.5500 612.8100 2
15	u_core_u_osc_slow_u_ro_tune4	R0	MET2	153.730000 0.000000 154.010000 2.270000	85.030000 -88.515000 85.310000 -86.245000		1	S[6]:MET2:85.030000 -85.825000 85.310000 -85.545000	0.420000	OBS_OVERLAP_NO_PIN		Regular Wire of Net u_core_slow_phase_raw[6] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 203.9900 610.2600 204.5500 612.8100 2: 203.9900 610.2600 204.5500 612.8100 2
16	u_core_u_osc_slow_u_ro_tune4	R0	MET2	116.930000 0.000000 117.210000 2.270000	48.230000 -88.515000 48.510000 -86.245000		1	S[3]:MET2:48.230000 -85.825000 48.510000 -85.545000	0.420000	OBS_OVERLAP_NO_PIN		Regular Wire of Net u_core_slow_phase_raw[3] Type: Metal Short # -1 -1 9 2 : 167.1900 610.2600 167.7500 612.8100 2: 167.1900 610.2600 167.7500 612.8100 2
17	u_core_u_osc_slow_u_ro_tune4	R0	MET2	133.155000 0.000000 133.435000 2.270000	64.455000 -88.515000 64.735000 -86.245000		1	S[7]:MET2:64.455000 -85.825000 64.735000 -85.545000	0.420000	OBS_OVERLAP_NO_PIN		Regular Wire of Net u_core_slow_phase_raw[7] Type: Metal Short # -1 -1 9 2 : 183.4150 610.2600 183.9750 612.8100 2: 183.4150 610.2600 183.9750 612.8100 2
18	u_core_u_osc_slow_u_ro_tune4	R0	MET2	137.505000 0.000000 137.785000 2.270000	68.805000 -88.515000 69.085000 -86.245000		1	S[2]:MET2:68.805000 -85.825000 69.085000 -85.545000	0.420000	OBS_OVERLAP_NO_PIN		Regular Wire of Net u_core_slow_phase_raw[2] Type: Metal Short # -1 -1 9 2 : 187.7650 610.2600 188.3250 612.8100 2: 187.7650 610.2600 188.3250 612.8100 2
19	u_core_u_osc_slow_u_ro_tune4	R0	MET2	116.930000 0.000000 117.210000 2.270000	48.230000 -88.515000 48.510000 -86.245000		1	S[3]:MET2:48.230000 -85.825000 48.510000 -85.545000	0.420000	OBS_OVERLAP_NO_PIN		Regular Wire of Net u_core_slow_phase_raw[3] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 167.1900 610.2600 167.7500 612.8100 2: 167.1900 610.2600 167.7500 612.8100 2
20	u_core_u_osc_slow_u_ro_tune4	R0	MET2	133.155000 0.000000 133.435000 2.270000	64.455000 -88.515000 64.735000 -86.245000		1	S[7]:MET2:64.455000 -85.825000 64.735000 -85.545000	0.420000	OBS_OVERLAP_NO_PIN		Regular Wire of Net u_core_slow_phase_raw[7] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 183.4150 610.2600 183.9750 612.8100 2: 183.4150 610.2600 183.9750 612.8100 2
21	u_core_u_osc_slow_u_ro_tune4	R0	MET2	137.505000 0.000000 137.785000 2.270000	68.805000 -88.515000 69.085000 -86.245000		1	S[2]:MET2:68.805000 -85.825000 69.085000 -85.545000	0.420000	OBS_OVERLAP_NO_PIN		Regular Wire of Net u_core_slow_phase_raw[2] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 187.7650 610.2600 188.3250 612.8100 2: 187.7650 610.2600 188.3250 612.8100 2
22	u_core_u_osc_slow_u_ro_tune4	R0	MET2	92.005000 0.000000 92.285000 2.270000	23.305000 -88.515000 23.585000 -86.245000		1	S[0]:MET2:23.305000 -85.825000 23.585000 -85.545000	0.420000	OBS_OVERLAP_NO_PIN		Regular Wire of Net u_core_slow_phase_raw[0] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 142.2650 610.2600 142.8250 612.8100 2: 142.2650 610.2600 142.8250 612.8100 2
23	u_core_u_osc_slow_u_ro_tune4	R0	MET2	92.005000 0.000000 92.285000 2.270000	23.305000 -88.515000 23.585000 -86.245000		1	S[0]:MET2:23.305000 -85.825000 23.585000 -85.545000	0.420000	OBS_OVERLAP_NO_PIN		Regular Wire of Net u_core_slow_phase_raw[0] Type: Metal Short # -1 -1 9 2 : 142.2650 610.2600 142.8250 612.8100 2: 142.2650 610.2600 142.8250 612.8100 2
