tile,ns,nf,instance,llx,lly,urx,ury,center_x,center_y,leaf_count,bbox_source,expected_llx,expected_lly,expected_urx,expected_ury,dx,dy,status
0_0,0,0,u_core_gen_pd_row[0].gen_pd_col[0].u_pd,235.76,665.28,272.16,719.04,253.96,692.16,31,hier_leaf_aggregate,50.4,250.88,87.9,288.38,184.81,422.53,OUTSIDE_TILE_REGION
0_1,0,1,u_core_gen_pd_row[0].gen_pd_col[1].u_pd,231.84,593.6,273.84,651.84,252.84,622.72,26,hier_leaf_aggregate,50.4,288.38,87.9,325.88,183.69,315.59,OUTSIDE_TILE_REGION
0_2,0,2,u_core_gen_pd_row[0].gen_pd_col[2].u_pd,371.84,571.2,486.64,616.0,429.24,593.6,26,hier_leaf_aggregate,50.4,325.88,87.9,363.38,360.09,248.97,OUTSIDE_TILE_REGION
0_3,0,3,u_core_gen_pd_row[0].gen_pd_col[3].u_pd,532.0,432.32,591.92,463.68,561.96,448.0,25,hier_leaf_aggregate,50.4,363.38,87.9,400.88,492.81,65.87,OUTSIDE_TILE_REGION
0_4,0,4,u_core_gen_pd_row[0].gen_pd_col[4].u_pd,360.64,436.8,416.08,468.16,388.36,452.48,32,hier_leaf_aggregate,50.4,400.88,87.9,438.38,319.21,32.85,OUTSIDE_TILE_REGION
0_5,0,5,u_core_gen_pd_row[0].gen_pd_col[5].u_pd,433.44,450.24,490.56,481.6,462.0,465.92,26,hier_leaf_aggregate,50.4,438.38,87.9,475.88,392.85,8.79,OUTSIDE_TILE_REGION
0_6,0,6,u_core_gen_pd_row[0].gen_pd_col[6].u_pd,44.24,517.44,113.68,544.32,78.96,530.88,31,hier_leaf_aggregate,50.4,475.88,87.9,513.38,9.81,36.25,OUTSIDE_TILE_REGION
0_7,0,7,u_core_gen_pd_row[0].gen_pd_col[7].u_pd,111.44,508.48,162.4,544.32,136.92,526.4,25,hier_leaf_aggregate,50.4,513.38,87.9,550.88,67.77,-5.73,OUTSIDE_TILE_REGION
1_0,1,0,u_core_gen_pd_row[1].gen_pd_col[0].u_pd,221.2,642.88,277.2,692.16,249.2,667.52,25,hier_leaf_aggregate,87.9,250.88,125.4,288.38,142.55,397.89,OUTSIDE_TILE_REGION
1_1,1,1,u_core_gen_pd_row[1].gen_pd_col[1].u_pd,219.52,589.12,278.88,642.88,249.2,616.0,32,hier_leaf_aggregate,87.9,288.38,125.4,325.88,142.55,308.87,OUTSIDE_TILE_REGION
1_2,1,2,u_core_gen_pd_row[1].gen_pd_col[2].u_pd,375.76,553.28,423.92,593.6,399.84,573.44,26,hier_leaf_aggregate,87.9,325.88,125.4,363.38,293.19,228.81,OUTSIDE_TILE_REGION
1_3,1,3,u_core_gen_pd_row[1].gen_pd_col[3].u_pd,427.84,427.84,581.84,463.68,504.84,445.76,26,hier_leaf_aggregate,87.9,363.38,125.4,400.88,398.19,63.63,OUTSIDE_TILE_REGION
1_4,1,4,u_core_gen_pd_row[1].gen_pd_col[4].u_pd,268.24,432.32,419.44,468.16,343.84,450.24,32,hier_leaf_aggregate,87.9,400.88,125.4,438.38,237.19,30.61,OUTSIDE_TILE_REGION
1_5,1,5,u_core_gen_pd_row[1].gen_pd_col[5].u_pd,405.44,432.32,446.88,486.08,426.16,459.2,25,hier_leaf_aggregate,87.9,438.38,125.4,475.88,319.51,2.07,OUTSIDE_TILE_REGION
1_6,1,6,u_core_gen_pd_row[1].gen_pd_col[6].u_pd,37.52,423.36,123.76,530.88,80.64,477.12,26,hier_leaf_aggregate,87.9,475.88,125.4,513.38,-26.01,-17.51,OK
1_7,1,7,u_core_gen_pd_row[1].gen_pd_col[7].u_pd,112.56,463.68,170.8,526.4,141.68,495.04,30,hier_leaf_aggregate,87.9,513.38,125.4,550.88,35.03,-37.09,OUTSIDE_TILE_REGION
2_0,2,0,u_core_gen_pd_row[2].gen_pd_col[0].u_pd,134.4,566.72,244.72,602.56,189.56,584.64,26,hier_leaf_aggregate,125.4,250.88,162.9,288.38,45.41,315.01,OUTSIDE_TILE_REGION
2_1,2,1,u_core_gen_pd_row[2].gen_pd_col[1].u_pd,146.72,539.84,242.48,584.64,194.6,562.24,26,hier_leaf_aggregate,125.4,288.38,162.9,325.88,50.45,255.11,OUTSIDE_TILE_REGION
2_2,2,2,u_core_gen_pd_row[2].gen_pd_col[2].u_pd,487.2,400.96,521.92,463.68,504.56,432.32,26,hier_leaf_aggregate,125.4,325.88,162.9,363.38,360.41,87.69,OUTSIDE_TILE_REGION
2_3,2,3,u_core_gen_pd_row[2].gen_pd_col[3].u_pd,510.16,383.04,592.48,427.84,551.32,405.44,25,hier_leaf_aggregate,125.4,363.38,162.9,400.88,407.17,23.31,OUTSIDE_TILE_REGION
2_4,2,4,u_core_gen_pd_row[2].gen_pd_col[4].u_pd,277.76,342.72,388.08,409.92,332.92,376.32,30,hier_leaf_aggregate,125.4,400.88,162.9,438.38,188.77,-43.31,OUTSIDE_TILE_REGION
2_5,2,5,u_core_gen_pd_row[2].gen_pd_col[5].u_pd,405.44,383.04,453.6,423.36,429.52,403.2,25,hier_leaf_aggregate,125.4,438.38,162.9,475.88,285.37,-53.93,OUTSIDE_TILE_REGION
2_6,2,6,u_core_gen_pd_row[2].gen_pd_col[6].u_pd,54.32,454.72,128.24,486.08,91.28,470.4,32,hier_leaf_aggregate,125.4,475.88,162.9,513.38,-52.87,-24.23,OUTSIDE_TILE_REGION
2_7,2,7,u_core_gen_pd_row[2].gen_pd_col[7].u_pd,114.8,432.32,157.92,472.64,136.36,452.48,24,hier_leaf_aggregate,125.4,513.38,162.9,550.88,-7.79,-79.65,OUTSIDE_TILE_REGION
3_0,3,0,u_core_gen_pd_row[3].gen_pd_col[0].u_pd,183.68,414.4,231.84,463.68,207.76,439.04,27,hier_leaf_aggregate,162.9,250.88,200.4,288.38,26.11,169.41,OUTSIDE_TILE_REGION
3_1,3,1,u_core_gen_pd_row[3].gen_pd_col[1].u_pd,180.32,454.72,242.48,504.0,211.4,479.36,26,hier_leaf_aggregate,162.9,288.38,200.4,325.88,29.75,172.23,OUTSIDE_TILE_REGION
3_2,3,2,u_core_gen_pd_row[3].gen_pd_col[2].u_pd,484.96,360.64,520.24,450.24,502.6,405.44,26,hier_leaf_aggregate,162.9,325.88,200.4,363.38,320.95,60.81,OUTSIDE_TILE_REGION
3_3,3,3,u_core_gen_pd_row[3].gen_pd_col[3].u_pd,507.92,356.16,592.48,427.84,550.2,392.0,25,hier_leaf_aggregate,162.9,363.38,200.4,400.88,368.55,9.87,OUTSIDE_TILE_REGION
3_4,3,4,u_core_gen_pd_row[3].gen_pd_col[4].u_pd,360.64,329.28,398.72,409.92,379.68,369.6,31,hier_leaf_aggregate,162.9,400.88,200.4,438.38,198.03,-50.03,OUTSIDE_TILE_REGION
3_5,3,5,u_core_gen_pd_row[3].gen_pd_col[5].u_pd,421.68,333.76,450.8,409.92,436.24,371.84,25,hier_leaf_aggregate,162.9,438.38,200.4,475.88,254.59,-85.29,OUTSIDE_TILE_REGION
3_6,3,6,u_core_gen_pd_row[3].gen_pd_col[6].u_pd,37.52,387.52,151.76,427.84,94.64,407.68,30,hier_leaf_aggregate,162.9,475.88,200.4,513.38,-87.01,-86.95,OUTSIDE_TILE_REGION
3_7,3,7,u_core_gen_pd_row[3].gen_pd_col[7].u_pd,120.4,369.6,175.84,418.88,148.12,394.24,25,hier_leaf_aggregate,162.9,513.38,200.4,550.88,-33.53,-137.89,OUTSIDE_TILE_REGION
4_0,4,0,u_core_gen_pd_row[4].gen_pd_col[0].u_pd,204.96,311.36,267.12,347.2,236.04,329.28,31,hier_leaf_aggregate,200.4,250.88,237.9,288.38,16.89,59.65,OUTSIDE_TILE_REGION
4_1,4,1,u_core_gen_pd_row[4].gen_pd_col[1].u_pd,210.0,329.28,257.04,378.56,233.52,353.92,33,hier_leaf_aggregate,200.4,288.38,237.9,325.88,14.37,46.79,OUTSIDE_TILE_REGION
4_2,4,2,u_core_gen_pd_row[4].gen_pd_col[2].u_pd,464.8,311.36,529.2,347.2,497.0,329.28,26,hier_leaf_aggregate,200.4,325.88,237.9,363.38,277.85,-15.35,OUTSIDE_TILE_REGION
4_3,4,3,u_core_gen_pd_row[4].gen_pd_col[3].u_pd,498.96,311.36,605.36,347.2,552.16,329.28,25,hier_leaf_aggregate,200.4,363.38,237.9,400.88,333.01,-52.85,OUTSIDE_TILE_REGION
4_4,4,4,u_core_gen_pd_row[4].gen_pd_col[4].u_pd,362.88,248.64,395.92,333.76,379.4,291.2,31,hier_leaf_aggregate,200.4,400.88,237.9,438.38,160.25,-128.43,OUTSIDE_TILE_REGION
4_5,4,5,u_core_gen_pd_row[4].gen_pd_col[5].u_pd,430.08,271.04,479.92,333.76,455.0,302.4,30,hier_leaf_aggregate,200.4,438.38,237.9,475.88,235.85,-154.73,OUTSIDE_TILE_REGION
4_6,4,6,u_core_gen_pd_row[4].gen_pd_col[6].u_pd,35.84,315.84,155.68,342.72,95.76,329.28,25,hier_leaf_aggregate,200.4,475.88,237.9,513.38,-123.39,-165.35,OUTSIDE_TILE_REGION
4_7,4,7,u_core_gen_pd_row[4].gen_pd_col[7].u_pd,127.68,288.96,170.24,333.76,148.96,311.36,24,hier_leaf_aggregate,200.4,513.38,237.9,550.88,-70.19,-220.77,OUTSIDE_TILE_REGION
5_0,5,0,u_core_gen_pd_row[5].gen_pd_col[0].u_pd,216.16,109.76,272.72,262.08,244.44,185.92,31,hier_leaf_aggregate,237.9,250.88,275.4,288.38,-12.21,-83.71,OUTSIDE_TILE_REGION
5_1,5,1,u_core_gen_pd_row[5].gen_pd_col[1].u_pd,207.76,253.12,258.72,288.96,233.24,271.04,26,hier_leaf_aggregate,237.9,288.38,275.4,325.88,-23.41,-36.09,OUTSIDE_TILE_REGION
5_2,5,2,u_core_gen_pd_row[5].gen_pd_col[2].u_pd,472.64,244.16,511.84,293.44,492.24,268.8,26,hier_leaf_aggregate,237.9,325.88,275.4,363.38,235.59,-75.83,OUTSIDE_TILE_REGION
5_3,5,3,u_core_gen_pd_row[5].gen_pd_col[3].u_pd,484.4,275.52,607.04,324.8,545.72,300.16,25,hier_leaf_aggregate,237.9,363.38,275.4,400.88,289.07,-81.97,OUTSIDE_TILE_REGION
5_4,5,4,u_core_gen_pd_row[5].gen_pd_col[4].u_pd,347.76,136.64,394.24,262.08,371.0,199.36,32,hier_leaf_aggregate,237.9,400.88,275.4,438.38,114.35,-220.27,OUTSIDE_TILE_REGION
5_5,5,5,u_core_gen_pd_row[5].gen_pd_col[5].u_pd,427.28,208.32,478.8,262.08,453.04,235.2,25,hier_leaf_aggregate,237.9,438.38,275.4,475.88,196.39,-221.93,OUTSIDE_TILE_REGION
