idx	marker_handle	box	layer	type	subType	message
1	0x7fdb9bee5580	{1041.04 772.8 1041.04 772.8}	MET1	Connectivity	ConnectivityAntenna	Net VDD
2	0x7fdb9bee55b0	{221.745 681.16 221.745 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
3	0x7fdb59af0740	{48.0 681.16 48.0 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
4	0x7fdb59af03e0	{219.575 669.76 219.575 669.76}	MET1	Connectivity	ConnectivityAntenna	Net VSS
5	0x7fdb59af03b0	{50.17 669.76 50.17 669.76}	MET1	Connectivity	ConnectivityAntenna	Net VSS
6	0x7fdb59af0e60	{331.61 416.22 331.99 416.5}	MET1	Geometry	Minimal_Area	Regular Wire of Net u_core_n_57562 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
7	0x7fdb972c0da0	{219.96 625.61 220.22 626.335}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_gen_pd_row[1].gen_pd_col[1].u_pd/q1 & Special Wire of Net VSS Type: Metal Short # -1 -1 9 2 : 219.9600 625.6100 220.2200 626.3350 2: 219.9600 625.6100 220.2200 626.3350 2
8	0x7fdb59af0e30	{219.96 625.61 220.22 626.335}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_gen_pd_row[1].gen_pd_col[1].u_pd/q1 & Special Wire of Net VSS Type: Metal Short # -1 -1 9 2 : 219.9600 625.6100 220.2200 626.3350 2: 219.9600 625.6100 220.2200 626.3350 2
9	0x7fdb4e1e8d40	{219.575 620.48 219.575 620.48}	MET1	Connectivity	ConnectivityAntenna	Net VDD
10	0x7fdb4e1e8c80	{219.575 629.44 219.575 629.44}	MET1	Connectivity	ConnectivityAntenna	Net VDD
11	0x7fdb4e1e8cb0	{219.575 638.4 219.575 638.4}	MET1	Connectivity	ConnectivityAntenna	Net VDD
12	0x7fdb9bee5640	{219.575 647.36 219.575 647.36}	MET1	Connectivity	ConnectivityAntenna	Net VDD
13	0x7fdb59af0440	{219.575 660.8 219.575 660.8}	MET1	Connectivity	ConnectivityAntenna	Net VSS
14	0x7fdb59af0500	{50.17 624.96 50.17 624.96}	MET1	Connectivity	ConnectivityAntenna	Net VSS
15	0x7fdb59af04d0	{50.17 633.92 50.17 633.92}	MET1	Connectivity	ConnectivityAntenna	Net VSS
16	0x7fdb59af04a0	{50.17 642.88 50.17 642.88}	MET1	Connectivity	ConnectivityAntenna	Net VSS
17	0x7fdb59af0470	{50.4 651.84 50.4 651.84}	MET1	Connectivity	ConnectivityAntenna	Net VSS
18	0x7fdb59af0410	{50.17 660.8 50.17 660.8}	MET1	Connectivity	ConnectivityAntenna	Net VSS
19	0x7fdb972c0dd0	{220.5 183.49 220.76 184.215}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_n_64592 & Special Wire of Net VSS Type: Metal Short # -1 -1 9 2 : 220.5000 183.4900 220.7600 184.2150 2: 220.5000 183.4900 220.7600 184.2150 2
20	0x7fdb59af0e90	{220.5 183.49 220.76 184.215}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_n_64592 & Special Wire of Net VSS Type: Metal Short # -1 -1 9 2 : 220.5000 183.4900 220.7600 184.2150 2: 220.5000 183.4900 220.7600 184.2150 2
21	0x7fdb59af0800	{219.575 154.56 219.575 154.56}	MET1	Connectivity	ConnectivityAntenna	Net VDD
22	0x7fdb59af07d0	{219.575 163.52 219.575 163.52}	MET1	Connectivity	ConnectivityAntenna	Net VDD
23	0x7fdb59af07a0	{219.575 172.48 219.575 172.48}	MET1	Connectivity	ConnectivityAntenna	Net VDD
24	0x7fdb59af0770	{219.575 181.44 219.575 181.44}	MET1	Connectivity	ConnectivityAntenna	Net VDD
25	0x7fdb59af0620	{219.575 141.12 219.575 141.12}	MET1	Connectivity	ConnectivityAntenna	Net VSS
26	0x7fdb972c0d70	{54.46 197.77 54.74 198.15}	MET2	Geometry	Metal_Short	Regular Wire of Net CTS_6 & Special Wire of Net VDD Type: Metal Short # -1 -1 9 2 : 54.4600 197.7700 54.7400 198.1500 2: 54.4600 197.7700 54.7400 198.1500 2
27	0x7fdb972c0e00	{54.46 197.77 54.74 198.15}	MET2	Geometry	Minimal_Area	Regular Wire of Net CTS_6 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0 
28	0x7fdb59af0fb0	{54.46 197.77 54.74 198.15}	MET2	Geometry	Minimal_Area	Regular Wire of Net CTS_6 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
29	0x7fdb59af0f20	{54.46 197.77 54.74 198.15}	MET2	Geometry	Metal_Short	Regular Wire of Net CTS_6 & Special Wire of Net VDD Type: Metal Short # -1 -1 9 2 : 54.4600 197.7700 54.7400 198.1500 2: 54.4600 197.7700 54.7400 198.1500 2
30	0x7fdb59af05f0	{50.17 141.12 50.17 141.12}	MET1	Connectivity	ConnectivityAntenna	Net VSS
31	0x7fdb59af05c0	{50.4 150.08 50.4 150.08}	MET1	Connectivity	ConnectivityAntenna	Net VSS
32	0x7fdb59af0590	{50.17 159.04 50.17 159.04}	MET1	Connectivity	ConnectivityAntenna	Net VSS
33	0x7fdb59af0560	{50.17 168.0 50.17 168.0}	MET1	Connectivity	ConnectivityAntenna	Net VSS
34	0x7fdb59af0530	{50.17 176.96 50.17 176.96}	MET1	Connectivity	ConnectivityAntenna	Net VSS
35	0x7fdb972c0c50	{116.315 120.005 116.325 120.235}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net u_core_ro_fast_code_q[0] & Regular Wire of Net u_core_ro_fast_code_q[1] Actual: 0.010000 Required: 0.230000 Type: ParallelRunLength Spacing # 10 230 3 2 : 116.3250 120.0050 116.5550 120.2350 1: 116.0850 120.0050 116.3150 120.2350 1
