tile,ns,nf,instance,llx,lly,urx,ury,center_x,center_y,leaf_count,bbox_source,expected_llx,expected_lly,expected_urx,expected_ury,dx,dy,status
0_0,0,0,u_core_gen_pd_row[0].gen_pd_col[0].u_pd,222.32,656.32,309.12,719.04,265.72,687.68,25,hier_leaf_aggregate,50.4,250.88,87.9,288.38,196.57,418.05,OUTSIDE_TILE_REGION
0_1,0,1,u_core_gen_pd_row[0].gen_pd_col[1].u_pd,239.68,593.6,290.08,629.44,264.88,611.52,26,hier_leaf_aggregate,50.4,288.38,87.9,325.88,195.73,304.39,OUTSIDE_TILE_REGION
0_2,0,2,u_core_gen_pd_row[0].gen_pd_col[2].u_pd,389.2,553.28,427.84,624.96,408.52,589.12,27,hier_leaf_aggregate,50.4,325.88,87.9,363.38,339.37,244.49,OUTSIDE_TILE_REGION
0_3,0,3,u_core_gen_pd_row[0].gen_pd_col[3].u_pd,511.28,409.92,569.52,459.2,540.4,434.56,25,hier_leaf_aggregate,50.4,363.38,87.9,400.88,471.25,52.43,OUTSIDE_TILE_REGION
0_4,0,4,u_core_gen_pd_row[0].gen_pd_col[4].u_pd,364.56,418.88,414.4,463.68,389.48,441.28,31,hier_leaf_aggregate,50.4,400.88,87.9,438.38,320.33,21.65,OUTSIDE_TILE_REGION
0_5,0,5,u_core_gen_pd_row[0].gen_pd_col[5].u_pd,438.48,405.44,493.36,445.76,465.92,425.6,25,hier_leaf_aggregate,50.4,438.38,87.9,475.88,396.77,-31.53,OUTSIDE_TILE_REGION
0_6,0,6,u_core_gen_pd_row[0].gen_pd_col[6].u_pd,48.72,521.92,120.4,562.24,84.56,542.08,31,hier_leaf_aggregate,50.4,475.88,87.9,513.38,15.41,47.45,OUTSIDE_TILE_REGION
0_7,0,7,u_core_gen_pd_row[0].gen_pd_col[7].u_pd,119.84,526.4,165.2,562.24,142.52,544.32,24,hier_leaf_aggregate,50.4,513.38,87.9,550.88,73.37,12.19,OUTSIDE_TILE_REGION
1_0,1,0,u_core_gen_pd_row[1].gen_pd_col[0].u_pd,217.28,638.4,308.56,719.04,262.92,678.72,25,hier_leaf_aggregate,87.9,250.88,125.4,288.38,156.27,409.09,OUTSIDE_TILE_REGION
1_1,1,1,u_core_gen_pd_row[1].gen_pd_col[1].u_pd,223.44,580.16,288.4,629.44,255.92,604.8,31,hier_leaf_aggregate,87.9,288.38,125.4,325.88,149.27,297.67,OUTSIDE_TILE_REGION
1_2,1,2,u_core_gen_pd_row[1].gen_pd_col[2].u_pd,375.76,566.72,426.72,624.96,401.24,595.84,26,hier_leaf_aggregate,87.9,325.88,125.4,363.38,294.59,251.21,OUTSIDE_TILE_REGION
1_3,1,3,u_core_gen_pd_row[1].gen_pd_col[3].u_pd,485.52,400.96,529.76,454.72,507.64,427.84,25,hier_leaf_aggregate,87.9,363.38,125.4,400.88,400.99,45.71,OUTSIDE_TILE_REGION
1_4,1,4,u_core_gen_pd_row[1].gen_pd_col[4].u_pd,256.48,414.4,306.88,468.16,281.68,441.28,26,hier_leaf_aggregate,87.9,400.88,125.4,438.38,175.03,21.65,OUTSIDE_TILE_REGION
1_5,1,5,u_core_gen_pd_row[1].gen_pd_col[5].u_pd,421.12,396.48,470.4,441.28,445.76,418.88,25,hier_leaf_aggregate,87.9,438.38,125.4,475.88,339.11,-38.25,OUTSIDE_TILE_REGION
1_6,1,6,u_core_gen_pd_row[1].gen_pd_col[6].u_pd,63.28,508.48,121.52,544.32,92.4,526.4,26,hier_leaf_aggregate,87.9,475.88,125.4,513.38,-14.25,31.77,OUTSIDE_TILE_REGION
1_7,1,7,u_core_gen_pd_row[1].gen_pd_col[7].u_pd,120.4,504.0,174.72,544.32,147.56,524.16,30,hier_leaf_aggregate,87.9,513.38,125.4,550.88,40.91,-7.97,OUTSIDE_TILE_REGION
2_0,2,0,u_core_gen_pd_row[2].gen_pd_col[0].u_pd,221.2,584.64,263.76,719.04,242.48,651.84,25,hier_leaf_aggregate,125.4,250.88,162.9,288.38,98.33,382.21,OUTSIDE_TILE_REGION
2_1,2,1,u_core_gen_pd_row[2].gen_pd_col[1].u_pd,142.24,566.72,251.44,602.56,196.84,584.64,26,hier_leaf_aggregate,125.4,288.38,162.9,325.88,52.69,277.51,OUTSIDE_TILE_REGION
