timestamp,stage,status
"2026-06-30 23:57:26 CEST","source_gate","start"
"2026-06-30 23:57:26 CEST","source_gate","done"
"2026-06-30 23:57:26 CEST","import_mmmc","start"
"2026-06-30 23:57:30 CEST","import_mmmc","done"
"2026-06-30 23:57:30 CEST","post_import_gate","start"
"2026-06-30 23:57:30 CEST","post_import_gate","done"
"2026-06-30 23:57:30 CEST","post_import_tc_timing","start"
"2026-06-30 23:57:39 CEST","post_import_tc_timing","done"
"2026-06-30 23:57:39 CEST","floorplan","start"
"2026-06-30 23:57:41 CEST","floorplan","done"
"2026-06-30 23:57:41 CEST","io_placement","start"
"2026-06-30 23:57:41 CEST","io_placement","done"
"2026-06-30 23:57:41 CEST","ro_macro_placement","start"
"2026-06-30 23:57:41 CEST","ro_macro_placement","done"
"2026-06-30 23:57:41 CEST","pg_connectivity","start"
"2026-06-30 23:57:42 CEST","pg_connectivity","done"
"2026-06-30 23:57:42 CEST","pd_matrix_placement","start"
"2026-06-30 23:57:45 CEST","pd_matrix_placement","done"
"2026-06-30 23:57:45 CEST","phase_buffer_placement","start"
"2026-06-30 23:57:48 CEST","phase_buffer_placement","done"
"2026-06-30 23:57:48 CEST","row_infrastructure","start"
"2026-06-30 23:57:48 CEST","row_infrastructure","done"
"2026-06-30 23:57:48 CEST","placement","start"
"2026-07-01 00:01:46 CEST","placement","done"
"2026-07-01 00:01:46 CEST","cts","start"
"2026-07-01 00:10:14 CEST","cts","done"
"2026-07-01 00:10:14 CEST","route","start"
"2026-07-01 00:27:21 CEST","route","fail"
