macro,pin,direction,use,axis_guess,index_guess,shape_id,kind,layer,x1,y1,x2,y2,cx,cy,width,height,source,polygon,ll_x1,ll_y1,ll_x2,ll_y2,ll_cx,ll_cy,side,edge_distance
matrice3,AVDD,INOUT,POWER,other,,0,rect,MET2,-49.605,1627.175,-40.605,1636.175,-45.105,1631.675,9.0,9.0,matrice3.lef:2500,[],1.7900000000000063,1693.0349999999999,10.790000000000006,1702.0349999999999,6.290000000000006,1697.5349999999999,LEFT,1.7900000000000063
matrice3,B[0],INOUT,SIGNAL,other,0,0,rect,MET3,479.72,-65.855,480.0,-65.575,479.86,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:2180,[],531.115,0.0049999999999954525,531.395,0.2849999999999966,531.255,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[1],INOUT,SIGNAL,other,1,0,rect,MET3,481.54,-65.855,481.82,-65.575,481.68,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:4336,[],532.9350000000001,0.0049999999999954525,533.215,0.2849999999999966,533.075,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[2],INOUT,SIGNAL,other,2,0,rect,MET3,508.585,-65.855,508.865,-65.575,508.725,-65.715,0.28000000000002956,0.28000000000000114,matrice3.lef:4328,[],559.98,0.0049999999999954525,560.26,0.2849999999999966,560.12,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[3],INOUT,SIGNAL,other,3,0,rect,MET3,566.32,-65.855,566.6,-65.575,566.46,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:4304,[],617.715,0.0049999999999954525,617.995,0.2849999999999966,617.855,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[4],INOUT,SIGNAL,other,4,0,rect,MET3,568.14,-65.855,568.42,-65.575,568.28,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:4272,[],619.535,0.0049999999999954525,619.8149999999999,0.2849999999999966,619.675,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[5],INOUT,SIGNAL,other,5,0,rect,MET3,595.185,-65.855,595.465,-65.575,595.325,-65.715,0.2800000000000864,0.28000000000000114,matrice3.lef:4288,[],646.5799999999999,0.0049999999999954525,646.86,0.2849999999999966,646.72,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[6],INOUT,SIGNAL,other,6,0,rect,MET3,652.92,-65.855,653.2,-65.575,653.06,-65.715,0.2800000000000864,0.28000000000000114,matrice3.lef:4256,[],704.3149999999999,0.0049999999999954525,704.595,0.2849999999999966,704.4549999999999,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[7],INOUT,SIGNAL,other,7,0,rect,MET3,654.74,-65.855,655.02,-65.575,654.88,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:3408,[],706.135,0.0049999999999954525,706.415,0.2849999999999966,706.275,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[8],INOUT,SIGNAL,other,8,0,rect,MET3,681.785,-65.855,682.065,-65.575,681.925,-65.715,0.2800000000000864,0.28000000000000114,matrice3.lef:3424,[],733.18,0.0049999999999954525,733.46,0.2849999999999966,733.3199999999999,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[9],INOUT,SIGNAL,other,9,0,rect,MET3,739.52,-65.855,739.8,-65.575,739.66,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:3392,[],790.915,0.0049999999999954525,791.1949999999999,0.2849999999999966,791.055,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[10],INOUT,SIGNAL,other,10,0,rect,MET3,741.34,-65.855,741.62,-65.575,741.48,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:3360,[],792.735,0.0049999999999954525,793.015,0.2849999999999966,792.875,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[11],INOUT,SIGNAL,other,11,0,rect,MET3,768.385,-65.855,768.665,-65.575,768.525,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:3376,[],819.78,0.0049999999999954525,820.06,0.2849999999999966,819.92,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[12],INOUT,SIGNAL,other,12,0,rect,MET3,826.12,-65.855,826.4,-65.575,826.26,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:3344,[],877.515,0.0049999999999954525,877.795,0.2849999999999966,877.655,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[13],INOUT,SIGNAL,other,13,0,rect,MET3,827.94,-65.855,828.22,-65.575,828.08,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:3312,[],879.335,0.0049999999999954525,879.615,0.2849999999999966,879.475,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[14],INOUT,SIGNAL,other,14,0,rect,MET3,854.985,-65.855,855.265,-65.575,855.125,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:3328,[],906.38,0.0049999999999954525,906.66,0.2849999999999966,906.52,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[15],INOUT,SIGNAL,other,15,0,rect,MET3,912.72,-65.855,913.0,-65.575,912.86,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:3296,[],964.115,0.0049999999999954525,964.395,0.2849999999999966,964.255,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[16],INOUT,SIGNAL,other,16,0,rect,MET3,914.54,-65.855,914.82,-65.575,914.6800000000001,-65.715,0.2800000000000864,0.28000000000000114,matrice3.lef:3264,[],965.935,0.0049999999999954525,966.215,0.2849999999999966,966.075,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[17],INOUT,SIGNAL,other,17,0,rect,MET3,941.585,-65.855,941.865,-65.575,941.725,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:3280,[],992.98,0.0049999999999954525,993.26,0.2849999999999966,993.12,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[18],INOUT,SIGNAL,other,18,0,rect,MET3,999.32,-65.855,999.6,-65.575,999.46,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:3248,[],1050.7150000000001,0.0049999999999954525,1050.9950000000001,0.2849999999999966,1050.855,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[19],INOUT,SIGNAL,other,19,0,rect,MET3,1001.14,-65.855,1001.42,-65.575,1001.28,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:3216,[],1052.535,0.0049999999999954525,1052.815,0.2849999999999966,1052.675,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[20],INOUT,SIGNAL,other,20,0,rect,MET3,1028.185,-65.855,1028.465,-65.575,1028.3249999999998,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:3232,[],1079.58,0.0049999999999954525,1079.86,0.2849999999999966,1079.7199999999998,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[21],INOUT,SIGNAL,other,21,0,rect,MET3,1085.92,-65.855,1086.2,-65.575,1086.06,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:3200,[],1137.315,0.0049999999999954525,1137.595,0.2849999999999966,1137.455,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[22],INOUT,SIGNAL,other,22,0,rect,MET3,1087.74,-65.855,1088.02,-65.575,1087.88,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:3168,[],1139.135,0.0049999999999954525,1139.415,0.2849999999999966,1139.275,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[23],INOUT,SIGNAL,other,23,0,rect,MET3,1114.785,-65.855,1115.065,-65.575,1114.9250000000002,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:3184,[],1166.18,0.0049999999999954525,1166.46,0.2849999999999966,1166.3200000000002,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[24],INOUT,SIGNAL,other,24,0,rect,MET3,1172.52,-65.855,1172.8,-65.575,1172.6599999999999,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:3136,[],1223.915,0.0049999999999954525,1224.195,0.2849999999999966,1224.0549999999998,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[25],INOUT,SIGNAL,other,25,0,rect,MET3,1174.34,-65.855,1174.62,-65.575,1174.48,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:3104,[],1225.735,0.0049999999999954525,1226.0149999999999,0.2849999999999966,1225.875,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[26],INOUT,SIGNAL,other,26,0,rect,MET3,1201.385,-65.855,1201.665,-65.575,1201.525,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:3120,[],1252.78,0.0049999999999954525,1253.06,0.2849999999999966,1252.92,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[27],INOUT,SIGNAL,other,27,0,rect,MET3,1259.12,-65.855,1259.4,-65.575,1259.26,-65.715,0.2800000000002001,0.28000000000000114,matrice3.lef:3088,[],1310.5149999999999,0.0049999999999954525,1310.795,0.2849999999999966,1310.655,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[28],INOUT,SIGNAL,other,28,0,rect,MET3,1260.94,-65.855,1261.22,-65.575,1261.08,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:3056,[],1312.335,0.0049999999999954525,1312.615,0.2849999999999966,1312.475,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[29],INOUT,SIGNAL,other,29,0,rect,MET3,1287.985,-65.855,1288.265,-65.575,1288.125,-65.715,0.2800000000002001,0.28000000000000114,matrice3.lef:3072,[],1339.3799999999999,0.0049999999999954525,1339.66,0.2849999999999966,1339.52,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[30],INOUT,SIGNAL,other,30,0,rect,MET3,1345.72,-65.855,1346.0,-65.575,1345.8600000000001,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:3040,[],1397.115,0.0049999999999954525,1397.395,0.2849999999999966,1397.255,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[31],INOUT,SIGNAL,other,31,0,rect,MET3,1347.54,-65.855,1347.82,-65.575,1347.6799999999998,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:3008,[],1398.935,0.0049999999999954525,1399.215,0.2849999999999966,1399.0749999999998,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[32],INOUT,SIGNAL,other,32,0,rect,MET3,1374.585,-65.855,1374.865,-65.575,1374.725,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:3024,[],1425.98,0.0049999999999954525,1426.26,0.2849999999999966,1426.12,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[33],INOUT,SIGNAL,other,33,0,rect,MET3,1432.32,-65.855,1432.6,-65.575,1432.46,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:2992,[],1483.715,0.0049999999999954525,1483.995,0.2849999999999966,1483.855,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[34],INOUT,SIGNAL,other,34,0,rect,MET3,1434.14,-65.855,1434.42,-65.575,1434.2800000000002,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:2960,[],1485.535,0.0049999999999954525,1485.815,0.2849999999999966,1485.6750000000002,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[35],INOUT,SIGNAL,other,35,0,rect,MET3,1461.185,-65.855,1461.465,-65.575,1461.3249999999998,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:2976,[],1512.58,0.0049999999999954525,1512.86,0.2849999999999966,1512.7199999999998,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[36],INOUT,SIGNAL,other,36,0,rect,MET3,1518.92,-65.855,1519.2,-65.575,1519.06,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:2936,[],1570.315,0.0049999999999954525,1570.595,0.2849999999999966,1570.455,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[37],INOUT,SIGNAL,other,37,0,rect,MET3,1520.74,-65.855,1521.02,-65.575,1520.88,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:2896,[],1572.135,0.0049999999999954525,1572.415,0.2849999999999966,1572.275,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[38],INOUT,SIGNAL,other,38,0,rect,MET3,1547.785,-65.855,1548.065,-65.575,1547.9250000000002,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:2912,[],1599.18,0.0049999999999954525,1599.46,0.2849999999999966,1599.3200000000002,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[39],INOUT,SIGNAL,other,39,0,rect,MET3,1605.52,-65.855,1605.8,-65.575,1605.6599999999999,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:2880,[],1656.915,0.0049999999999954525,1657.195,0.2849999999999966,1657.0549999999998,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[40],INOUT,SIGNAL,other,40,0,rect,MET3,1607.34,-65.855,1607.62,-65.575,1607.48,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:2848,[],1658.735,0.0049999999999954525,1659.0149999999999,0.2849999999999966,1658.875,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[41],INOUT,SIGNAL,other,41,0,rect,MET3,1634.385,-65.855,1634.665,-65.575,1634.525,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:2864,[],1685.78,0.0049999999999954525,1686.06,0.2849999999999966,1685.92,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[42],INOUT,SIGNAL,other,42,0,rect,MET3,1692.12,-65.855,1692.4,-65.575,1692.26,-65.715,0.2800000000002001,0.28000000000000114,matrice3.lef:2832,[],1743.5149999999999,0.0049999999999954525,1743.795,0.2849999999999966,1743.655,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[43],INOUT,SIGNAL,other,43,0,rect,MET3,1693.94,-65.855,1694.22,-65.575,1694.08,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:2800,[],1745.335,0.0049999999999954525,1745.615,0.2849999999999966,1745.475,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[44],INOUT,SIGNAL,other,44,0,rect,MET3,1720.985,-65.855,1721.265,-65.575,1721.125,-65.715,0.2800000000002001,0.28000000000000114,matrice3.lef:2816,[],1772.3799999999999,0.0049999999999954525,1772.66,0.2849999999999966,1772.52,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[45],INOUT,SIGNAL,other,45,0,rect,MET3,1778.72,-65.855,1779.0,-65.575,1778.8600000000001,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:2784,[],1830.115,0.0049999999999954525,1830.395,0.2849999999999966,1830.255,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[46],INOUT,SIGNAL,other,46,0,rect,MET3,1780.54,-65.855,1780.82,-65.575,1780.6799999999998,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:2752,[],1831.935,0.0049999999999954525,1832.215,0.2849999999999966,1832.0749999999998,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[47],INOUT,SIGNAL,other,47,0,rect,MET3,1807.585,-65.855,1807.865,-65.575,1807.725,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:2768,[],1858.98,0.0049999999999954525,1859.26,0.2849999999999966,1859.12,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[48],INOUT,SIGNAL,other,48,0,rect,MET3,1865.32,-65.855,1865.6,-65.575,1865.46,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:2736,[],1916.715,0.0049999999999954525,1916.995,0.2849999999999966,1916.855,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[49],INOUT,SIGNAL,other,49,0,rect,MET3,1867.14,-65.855,1867.42,-65.575,1867.2800000000002,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:2704,[],1918.535,0.0049999999999954525,1918.815,0.2849999999999966,1918.6750000000002,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,B[50],INOUT,SIGNAL,other,50,0,rect,MET2,1940.105,75.755,1940.385,76.035,1940.245,75.895,0.2799999999999727,0.28000000000000114,matrice3.lef:2720,[],1991.5,141.615,1991.78,141.89499999999998,1991.6399999999999,141.755,INTERNAL_NEAREST_RIGHT,8.13000000000011
matrice3,B[51],INOUT,SIGNAL,other,51,0,rect,MET2,1940.105,125.755,1940.385,126.035,1940.245,125.895,0.2799999999999727,0.28000000000000114,matrice3.lef:2688,[],1991.5,191.615,1991.78,191.89499999999998,1991.6399999999999,191.755,INTERNAL_NEAREST_RIGHT,8.13000000000011
matrice3,B[52],INOUT,SIGNAL,other,52,0,rect,MET2,1940.105,175.755,1940.385,176.035,1940.245,175.89499999999998,0.2799999999999727,0.28000000000000114,matrice3.lef:2672,[],1991.5,241.615,1991.78,241.89499999999998,1991.6399999999999,241.755,INTERNAL_NEAREST_RIGHT,8.13000000000011
matrice3,B[53],INOUT,SIGNAL,other,53,0,rect,MET2,1940.105,225.755,1940.385,226.035,1940.245,225.89499999999998,0.2799999999999727,0.28000000000000114,matrice3.lef:2656,[],1991.5,291.615,1991.78,291.895,1991.6399999999999,291.755,INTERNAL_NEAREST_RIGHT,8.13000000000011
matrice3,B[54],INOUT,SIGNAL,other,54,0,rect,MET2,1940.105,275.755,1940.385,276.035,1940.245,275.895,0.2799999999999727,0.28000000000002956,matrice3.lef:2640,[],1991.5,341.615,1991.78,341.89500000000004,1991.6399999999999,341.755,INTERNAL_NEAREST_RIGHT,8.13000000000011
matrice3,B[55],INOUT,SIGNAL,other,55,0,rect,MET2,1940.105,325.755,1940.385,326.035,1940.245,325.895,0.2799999999999727,0.28000000000002956,matrice3.lef:2624,[],1991.5,391.615,1991.78,391.89500000000004,1991.6399999999999,391.755,INTERNAL_NEAREST_RIGHT,8.13000000000011
matrice3,B[56],INOUT,SIGNAL,other,56,0,rect,MET2,1940.105,375.755,1940.385,376.035,1940.245,375.895,0.2799999999999727,0.28000000000002956,matrice3.lef:828,[],1991.5,441.615,1991.78,441.89500000000004,1991.6399999999999,441.755,INTERNAL_NEAREST_RIGHT,8.13000000000011
matrice3,B[57],INOUT,SIGNAL,other,57,0,rect,MET2,1940.105,425.755,1940.385,426.035,1940.245,425.895,0.2799999999999727,0.28000000000002956,matrice3.lef:812,[],1991.5,491.615,1991.78,491.89500000000004,1991.6399999999999,491.755,INTERNAL_NEAREST_RIGHT,8.13000000000011
matrice3,B[58],INOUT,SIGNAL,other,58,0,rect,MET2,1940.105,475.755,1940.385,476.035,1940.245,475.895,0.2799999999999727,0.28000000000002956,matrice3.lef:796,[],1991.5,541.615,1991.78,541.895,1991.6399999999999,541.755,INTERNAL_NEAREST_RIGHT,8.13000000000011
matrice3,B[59],INOUT,SIGNAL,other,59,0,rect,MET2,1940.105,525.755,1940.385,526.035,1940.245,525.895,0.2799999999999727,0.2799999999999727,matrice3.lef:780,[],1991.5,591.615,1991.78,591.895,1991.6399999999999,591.755,INTERNAL_NEAREST_RIGHT,8.13000000000011
matrice3,B[60],INOUT,SIGNAL,other,60,0,rect,MET2,1940.105,575.755,1940.385,576.035,1940.245,575.895,0.2799999999999727,0.2799999999999727,matrice3.lef:764,[],1991.5,641.615,1991.78,641.895,1991.6399999999999,641.755,INTERNAL_NEAREST_RIGHT,8.13000000000011
matrice3,B[61],INOUT,SIGNAL,other,61,0,rect,MET2,1940.105,625.755,1940.385,626.035,1940.245,625.895,0.2799999999999727,0.2799999999999727,matrice3.lef:748,[],1991.5,691.615,1991.78,691.895,1991.6399999999999,691.755,INTERNAL_NEAREST_RIGHT,8.13000000000011
matrice3,B[62],INOUT,SIGNAL,other,62,0,rect,MET2,1940.105,675.755,1940.385,676.035,1940.245,675.895,0.2799999999999727,0.2799999999999727,matrice3.lef:732,[],1991.5,741.615,1991.78,741.895,1991.6399999999999,741.755,INTERNAL_NEAREST_RIGHT,8.13000000000011
matrice3,B[63],INOUT,SIGNAL,other,63,0,rect,MET2,1940.105,725.755,1940.385,726.035,1940.245,725.895,0.2799999999999727,0.2799999999999727,matrice3.lef:1340,[],1991.5,791.615,1991.78,791.895,1991.6399999999999,791.755,INTERNAL_NEAREST_RIGHT,8.13000000000011
matrice3,Bz[0],INOUT,SIGNAL,other,0,0,rect,MET3,480.28,-65.855,480.56,-65.575,480.41999999999996,-65.715,0.28000000000002956,0.28000000000000114,matrice3.lef:2172,[],531.675,0.0049999999999954525,531.955,0.2849999999999966,531.8149999999999,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,Bz[1],INOUT,SIGNAL,other,1,0,rect,MET3,482.1,-65.855,482.38,-65.575,482.24,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:4320,[],533.495,0.0049999999999954525,533.775,0.2849999999999966,533.635,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,Bz[2],INOUT,SIGNAL,other,2,0,rect,MET3,509.145,-65.855,509.425,-65.575,509.28499999999997,-65.715,0.28000000000002956,0.28000000000000114,matrice3.lef:4312,[],560.54,0.0049999999999954525,560.82,0.2849999999999966,560.68,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,Bz[3],INOUT,SIGNAL,other,3,0,rect,MET3,566.88,-65.855,567.16,-65.575,567.02,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:4296,[],618.275,0.0049999999999954525,618.555,0.2849999999999966,618.415,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,Bz[4],INOUT,SIGNAL,other,4,0,rect,MET3,568.7,-65.855,568.98,-65.575,568.84,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:4264,[],620.095,0.0049999999999954525,620.375,0.2849999999999966,620.235,0.14499999999999602,BOTTOM,0.0049999999999954525
matrice3,Bz[5],INOUT,SIGNAL,other,5,0,rect,MET3,595.745,-65.855,596.025,-65.575,595.885,-65.715,0.2799999999999727,0.28000000000000114,matrice3.lef:4280,[],647.14,0.0049999999999954525,647.42,0.2849999999999966,647.28,0.14499999999999602,BOTTOM,0.0049999999999954525
