pin,direction,use,pin_family,pin_index,is_position_bus,layers,shape_count,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,ll_bbox_x1,ll_bbox_y1,ll_bbox_x2,ll_bbox_y2,ll_center_x,ll_center_y,width,height,side,edge_distance
AVDD,INOUT,POWER,AVDD,,NO,MET2,1,-49.605,1627.175,-40.605,1636.175,-45.105,1631.675,1.7900000000000063,1693.0349999999999,10.790000000000006,1702.0349999999999,6.290000000000006,1697.5349999999999,9.0,9.0,LEFT,1.7900000000000063
B[0],INOUT,SIGNAL,B,0,YES,MET3,1,479.72,-65.855,480.0,-65.575,479.86,-65.715,531.115,0.0049999999999954525,531.395,0.2849999999999966,531.255,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
B[1],INOUT,SIGNAL,B,1,YES,MET3,1,481.54,-65.855,481.82,-65.575,481.68,-65.715,532.9350000000001,0.0049999999999954525,533.215,0.2849999999999966,533.075,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
B[2],INOUT,SIGNAL,B,2,YES,MET3,1,508.585,-65.855,508.865,-65.575,508.725,-65.715,559.98,0.0049999999999954525,560.26,0.2849999999999966,560.12,0.14499999999999602,0.28000000000002956,0.28000000000000114,BOTTOM,0.0049999999999954525
B[3],INOUT,SIGNAL,B,3,YES,MET3,1,566.32,-65.855,566.6,-65.575,566.46,-65.715,617.715,0.0049999999999954525,617.995,0.2849999999999966,617.855,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
B[4],INOUT,SIGNAL,B,4,YES,MET3,1,568.14,-65.855,568.42,-65.575,568.28,-65.715,619.535,0.0049999999999954525,619.8149999999999,0.2849999999999966,619.675,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
B[5],INOUT,SIGNAL,B,5,YES,MET3,1,595.185,-65.855,595.465,-65.575,595.325,-65.715,646.5799999999999,0.0049999999999954525,646.86,0.2849999999999966,646.72,0.14499999999999602,0.2800000000000864,0.28000000000000114,BOTTOM,0.0049999999999954525
B[6],INOUT,SIGNAL,B,6,YES,MET3,1,652.92,-65.855,653.2,-65.575,653.06,-65.715,704.3149999999999,0.0049999999999954525,704.595,0.2849999999999966,704.4549999999999,0.14499999999999602,0.2800000000000864,0.28000000000000114,BOTTOM,0.0049999999999954525
B[7],INOUT,SIGNAL,B,7,YES,MET3,1,654.74,-65.855,655.02,-65.575,654.88,-65.715,706.135,0.0049999999999954525,706.415,0.2849999999999966,706.275,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
B[8],INOUT,SIGNAL,B,8,YES,MET3,1,681.785,-65.855,682.065,-65.575,681.925,-65.715,733.18,0.0049999999999954525,733.46,0.2849999999999966,733.3199999999999,0.14499999999999602,0.2800000000000864,0.28000000000000114,BOTTOM,0.0049999999999954525
B[9],INOUT,SIGNAL,B,9,YES,MET3,1,739.52,-65.855,739.8,-65.575,739.66,-65.715,790.915,0.0049999999999954525,791.1949999999999,0.2849999999999966,791.055,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
B[10],INOUT,SIGNAL,B,10,YES,MET3,1,741.34,-65.855,741.62,-65.575,741.48,-65.715,792.735,0.0049999999999954525,793.015,0.2849999999999966,792.875,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
B[11],INOUT,SIGNAL,B,11,YES,MET3,1,768.385,-65.855,768.665,-65.575,768.525,-65.715,819.78,0.0049999999999954525,820.06,0.2849999999999966,819.92,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
B[12],INOUT,SIGNAL,B,12,YES,MET3,1,826.12,-65.855,826.4,-65.575,826.26,-65.715,877.515,0.0049999999999954525,877.795,0.2849999999999966,877.655,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
B[13],INOUT,SIGNAL,B,13,YES,MET3,1,827.94,-65.855,828.22,-65.575,828.08,-65.715,879.335,0.0049999999999954525,879.615,0.2849999999999966,879.475,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
B[14],INOUT,SIGNAL,B,14,YES,MET3,1,854.985,-65.855,855.265,-65.575,855.125,-65.715,906.38,0.0049999999999954525,906.66,0.2849999999999966,906.52,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
B[15],INOUT,SIGNAL,B,15,YES,MET3,1,912.72,-65.855,913.0,-65.575,912.86,-65.715,964.115,0.0049999999999954525,964.395,0.2849999999999966,964.255,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
B[16],INOUT,SIGNAL,B,16,YES,MET3,1,914.54,-65.855,914.82,-65.575,914.6800000000001,-65.715,965.935,0.0049999999999954525,966.215,0.2849999999999966,966.075,0.14499999999999602,0.2800000000000864,0.28000000000000114,BOTTOM,0.0049999999999954525
B[17],INOUT,SIGNAL,B,17,YES,MET3,1,941.585,-65.855,941.865,-65.575,941.725,-65.715,992.98,0.0049999999999954525,993.26,0.2849999999999966,993.12,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
B[18],INOUT,SIGNAL,B,18,YES,MET3,1,999.32,-65.855,999.6,-65.575,999.46,-65.715,1050.7150000000001,0.0049999999999954525,1050.9950000000001,0.2849999999999966,1050.855,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
B[19],INOUT,SIGNAL,B,19,YES,MET3,1,1001.14,-65.855,1001.42,-65.575,1001.28,-65.715,1052.535,0.0049999999999954525,1052.815,0.2849999999999966,1052.675,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
B[20],INOUT,SIGNAL,B,20,YES,MET3,1,1028.185,-65.855,1028.465,-65.575,1028.3249999999998,-65.715,1079.58,0.0049999999999954525,1079.86,0.2849999999999966,1079.7199999999998,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
B[21],INOUT,SIGNAL,B,21,YES,MET3,1,1085.92,-65.855,1086.2,-65.575,1086.06,-65.715,1137.315,0.0049999999999954525,1137.595,0.2849999999999966,1137.455,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
B[22],INOUT,SIGNAL,B,22,YES,MET3,1,1087.74,-65.855,1088.02,-65.575,1087.88,-65.715,1139.135,0.0049999999999954525,1139.415,0.2849999999999966,1139.275,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
B[23],INOUT,SIGNAL,B,23,YES,MET3,1,1114.785,-65.855,1115.065,-65.575,1114.9250000000002,-65.715,1166.18,0.0049999999999954525,1166.46,0.2849999999999966,1166.3200000000002,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
B[24],INOUT,SIGNAL,B,24,YES,MET3,1,1172.52,-65.855,1172.8,-65.575,1172.6599999999999,-65.715,1223.915,0.0049999999999954525,1224.195,0.2849999999999966,1224.0549999999998,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
