classification,report,path,status,slack_ps,group,start_clock,end_clock,startpoint,endpoint
OSC_FAST_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260528_o1c_macro_binding_genus/timing_violations.rpt,1,VIOLATED,-3045,clk_osc_fast_tap2,clk_osc_fast,clk_osc_fast_tap2,(R) u_core_u_fast_cnt/bin_q_reg[4]/C,(F) u_core_gen_pd_row[7].gen_pd_col[2].u_pd/nfast_hit_latched_reg[4]/D
OSC_FAST_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260528_o1c_macro_binding_genus/timing_violations.rpt,2,VIOLATED,-3045,clk_osc_fast_tap2,clk_osc_fast,clk_osc_fast_tap2,(R) u_core_u_fast_cnt/bin_q_reg[4]/C,(F) u_core_gen_pd_row[6].gen_pd_col[2].u_pd/nfast_hit_latched_reg[4]/D
OSC_FAST_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260528_o1c_macro_binding_genus/timing_violations.rpt,3,VIOLATED,-3045,clk_osc_fast_tap2,clk_osc_fast,clk_osc_fast_tap2,(R) u_core_u_fast_cnt/bin_q_reg[4]/C,(F) u_core_gen_pd_row[5].gen_pd_col[2].u_pd/nfast_hit_latched_reg[4]/D
OSC_FAST_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260528_o1c_macro_binding_genus/timing_violations.rpt,4,VIOLATED,-3045,clk_osc_fast_tap2,clk_osc_fast,clk_osc_fast_tap2,(R) u_core_u_fast_cnt/bin_q_reg[4]/C,(F) u_core_gen_pd_row[2].gen_pd_col[2].u_pd/nfast_hit_latched_reg[4]/D
OSC_FAST_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260528_o1c_macro_binding_genus/timing_violations.rpt,5,VIOLATED,-3045,clk_osc_fast_tap2,clk_osc_fast,clk_osc_fast_tap2,(R) u_core_u_fast_cnt/bin_q_reg[4]/C,(F) u_core_gen_pd_row[0].gen_pd_col[2].u_pd/nfast_hit_latched_reg[4]/D
OSC_FAST_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260528_o1c_macro_binding_genus/timing_violations.rpt,6,VIOLATED,-3043,clk_osc_fast_tap2,clk_osc_fast,clk_osc_fast_tap2,(R) u_core_u_fast_cnt/bin_q_reg[3]/C,(F) u_core_gen_pd_row[6].gen_pd_col[2].u_pd/nfast_hit_latched_reg[3]/D
OSC_FAST_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260528_o1c_macro_binding_genus/timing_violations.rpt,7,VIOLATED,-3042,clk_osc_fast_tap2,clk_osc_fast,clk_osc_fast_tap2,(R) u_core_u_fast_cnt/bin_q_reg[4]/C,(F) u_core_gen_pd_row[4].gen_pd_col[2].u_pd/nfast_hit_latched_reg[4]/D
OSC_FAST_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260528_o1c_macro_binding_genus/timing_violations.rpt,8,VIOLATED,-3040,clk_osc_fast_tap2,clk_osc_fast,clk_osc_fast_tap2,(R) u_core_u_fast_cnt/bin_q_reg[5]/C,(F) u_core_gen_pd_row[4].gen_pd_col[2].u_pd/nfast_hit_latched_reg[5]/D
OSC_FAST_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260528_o1c_macro_binding_genus/timing_violations.rpt,9,VIOLATED,-3038,clk_osc_fast_tap3,clk_osc_fast,clk_osc_fast_tap3,(R) u_core_u_fast_cnt/bin_q_reg[3]/C,(F) u_core_gen_pd_row[7].gen_pd_col[3].u_pd/nfast_hit_latched_reg[3]/D
OSC_FAST_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260528_o1c_macro_binding_genus/timing_violations.rpt,10,VIOLATED,-3038,clk_osc_fast_tap3,clk_osc_fast,clk_osc_fast_tap3,(R) u_core_u_fast_cnt/bin_q_reg[3]/C,(F) u_core_gen_pd_row[4].gen_pd_col[3].u_pd/nfast_hit_latched_reg[3]/D
