macro,pin_name,direction,use,layers,rects
RO_tune4,code[0],INPUT,SIGNAL,MET1,MET1:-2.775 -18.885 -2.545 -18.655 
RO_tune4,code[7],INPUT,SIGNAL,MET1,MET1:-1.805 -18.885 -1.575 -18.655 
RO_tune4,S[0],OUTPUT,SIGNAL,MET2,MET2:23.66 -85.825 23.94 -85.545 
RO_tune4,S[7],OUTPUT,SIGNAL,MET2,MET2:60.87 -85.825 61.15 -85.545 
RO_tune4,rstb,INPUT,SIGNAL,MET2,MET2:-2.505 -85.825 -2.225 -85.545 
RO_tune4,code[1],INPUT,SIGNAL,MET1,MET1:-3.26 -18.885 -3.03 -18.655 
RO_tune4,code[2],INPUT,SIGNAL,MET1,MET1:-3.745 -18.885 -3.515 -18.655 
RO_tune4,code[3],INPUT,SIGNAL,MET1,MET1:-4.23 -18.885 -4 -18.655 
RO_tune4,code[4],INPUT,SIGNAL,MET1,MET1:-4.715 -18.885 -4.485 -18.655 
RO_tune4,code[5],INPUT,SIGNAL,MET1,MET1:-5.2 -18.885 -4.97 -18.655 
RO_tune4,code[6],INPUT,SIGNAL,MET1,MET1:-2.29 -18.885 -2.06 -18.655 
RO_tune4,VDD,INOUT,POWER,MET1,MET1:-76.05 -64.845 -74.06 -62.845 
RO_tune4,VSS,INOUT,GROUND,MET1,MET1:-76.215 -30.69 -75.015 -30.43  | MET1:-76.215 -30.69 -75.185 -29.67 
RO_tune4,S[2],OUTPUT,SIGNAL,MET2,MET2:63.25 -85.825 63.53 -85.545 
RO_tune4,S[6],OUTPUT,SIGNAL,MET2,MET2:79.475 -85.825 79.755 -85.545 
RO_tune4,S[3],OUTPUT,SIGNAL,MET2,MET2:44.645 -85.825 44.925 -85.545 
RO_tune4,S[1],OUTPUT,SIGNAL,MET2,MET2:26.04 -85.825 26.32 -85.545 
RO_tune4,S[5],OUTPUT,SIGNAL,MET2,MET2:42.265 -85.825 42.545 -85.545 
RO_tune4,S[4],OUTPUT,SIGNAL,MET2,MET2:7.435 -85.825 7.715 -85.545 
RO_tune4,vdd!,INOUT,POWER,MET1,MET1:-76.05 -64.845 -74.06 -62.845 
