slack_ps,group,start_clock,end_clock,pd_row_ns,pd_col_nf,start_bit,end_bit,startpoint,endpoint,report,path
-3051,clk_osc_fast_tap1,clk_osc_fast,clk_osc_fast_tap1,3,1,4,4,(R) u_core_u_fast_cnt_bin_q_reg[4]/C,(F) u_core_gen_pd_row[3].gen_pd_col[1].u_pd/nfast_hit_latched_reg[4]/D,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260601_o2_raw_tag_genus/timing_fast_count_to_nfast_hit.rpt,1
-3051,clk_osc_fast_tap1,clk_osc_fast,clk_osc_fast_tap1,0,1,4,4,(R) u_core_u_fast_cnt_bin_q_reg[4]/C,(F) u_core_gen_pd_row[0].gen_pd_col[1].u_pd/nfast_hit_latched_reg[4]/D,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260601_o2_raw_tag_genus/timing_fast_count_to_nfast_hit.rpt,2
-3051,clk_osc_fast_tap1,clk_osc_fast,clk_osc_fast_tap1,5,1,4,4,(R) u_core_u_fast_cnt_bin_q_reg[4]/C,(F) u_core_gen_pd_row[5].gen_pd_col[1].u_pd/nfast_hit_latched_reg[4]/D,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260601_o2_raw_tag_genus/timing_fast_count_to_nfast_hit.rpt,3
-3051,clk_osc_fast_tap1,clk_osc_fast,clk_osc_fast_tap1,4,1,4,4,(R) u_core_u_fast_cnt_bin_q_reg[4]/C,(F) u_core_gen_pd_row[4].gen_pd_col[1].u_pd/nfast_hit_latched_reg[4]/D,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260601_o2_raw_tag_genus/timing_fast_count_to_nfast_hit.rpt,4
-3051,clk_osc_fast_tap1,clk_osc_fast,clk_osc_fast_tap1,2,1,4,4,(R) u_core_u_fast_cnt_bin_q_reg[4]/C,(F) u_core_gen_pd_row[2].gen_pd_col[1].u_pd/nfast_hit_latched_reg[4]/D,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260601_o2_raw_tag_genus/timing_fast_count_to_nfast_hit.rpt,5
-3051,clk_osc_fast_tap1,clk_osc_fast,clk_osc_fast_tap1,1,1,4,4,(R) u_core_u_fast_cnt_bin_q_reg[4]/C,(F) u_core_gen_pd_row[1].gen_pd_col[1].u_pd/nfast_hit_latched_reg[4]/D,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260601_o2_raw_tag_genus/timing_fast_count_to_nfast_hit.rpt,6
-3050,clk_osc_fast_tap1,clk_osc_fast,clk_osc_fast_tap1,6,1,0,0,(R) u_core_u_fast_cnt_bin_q_reg[0]/C,(F) u_core_gen_pd_row[6].gen_pd_col[1].u_pd/nfast_hit_latched_reg[0]/D,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260601_o2_raw_tag_genus/timing_fast_count_to_nfast_hit.rpt,7
-3048,clk_osc_fast_tap1,clk_osc_fast,clk_osc_fast_tap1,7,1,4,4,(R) u_core_u_fast_cnt_bin_q_reg[4]/C,(F) u_core_gen_pd_row[7].gen_pd_col[1].u_pd/nfast_hit_latched_reg[4]/D,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260601_o2_raw_tag_genus/timing_fast_count_to_nfast_hit.rpt,8
-3048,clk_osc_fast_tap1,clk_osc_fast,clk_osc_fast_tap1,3,1,0,0,(R) u_core_u_fast_cnt_bin_q_reg[0]/C,(F) u_core_gen_pd_row[3].gen_pd_col[1].u_pd/nfast_hit_latched_reg[0]/D,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260601_o2_raw_tag_genus/timing_fast_count_to_nfast_hit.rpt,9
-3043,clk_osc_fast_tap1,clk_osc_fast,clk_osc_fast_tap1,3,1,5,5,(R) u_core_u_fast_cnt_bin_q_reg[5]/C,(F) u_core_gen_pd_row[3].gen_pd_col[1].u_pd/nfast_hit_latched_reg[5]/D,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260601_o2_raw_tag_genus/timing_fast_count_to_nfast_hit.rpt,10
