classification,report,path,status,slack_ps,group,start_clock,end_clock,startpoint,endpoint
OSC_SLOW_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260601_o2_raw_tag_genus/timing_violations.rpt,1,VIOLATED,-2814,clk_osc_slow,clk_osc_slow,clk_osc_slow,(R) u_core_u_slow_cnt_bin_q_reg[1]/C,(F) u_core_u_slow_cnt_gray_src_cont_q_reg[5]/D
OSC_SLOW_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260601_o2_raw_tag_genus/timing_violations.rpt,2,VIOLATED,-2811,clk_osc_slow,clk_osc_slow,clk_osc_slow,(R) u_core_u_slow_cnt_bin_q_reg[1]/C,(F) u_core_u_slow_cnt_gray_src_cont_q_reg[3]/D
OSC_SLOW_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260601_o2_raw_tag_genus/timing_violations.rpt,3,VIOLATED,-2806,clk_osc_slow,clk_osc_slow,clk_osc_slow,(R) u_core_u_slow_cnt_bin_q_reg[1]/C,(R) u_core_u_slow_cnt_gray_src_cont_q_reg[2]/D
OSC_SLOW_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260601_o2_raw_tag_genus/timing_violations.rpt,4,VIOLATED,-2802,clk_osc_slow,clk_osc_slow,clk_osc_slow,(R) u_core_u_slow_cnt_bin_q_reg[1]/C,(F) u_core_u_slow_cnt_gray_src_cont_q_reg[4]/D
OSC_SLOW_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260601_o2_raw_tag_genus/timing_violations.rpt,5,VIOLATED,-2766,clk_osc_slow,clk_osc_slow,clk_osc_slow,(R) u_core_u_slow_cnt_bin_q_reg[1]/C,(F) u_core_u_slow_cnt_bin_q_reg[6]/D
OSC_SLOW_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260601_o2_raw_tag_genus/timing_violations.rpt,6,VIOLATED,-2700,clk_osc_slow,clk_osc_slow,clk_osc_slow,(R) u_core_start_wdt_cnt_reg[1]/C,(R) u_core_start_wdt_cnt_reg[4]/D
OSC_SLOW_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260601_o2_raw_tag_genus/timing_violations.rpt,7,VIOLATED,-2636,clk_osc_slow,clk_osc_slow,clk_osc_slow,(R) u_core_start_wdt_cnt_reg[1]/C,(F) u_core_start_wdt_cnt_reg[5]/D
OSC_SLOW_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260601_o2_raw_tag_genus/timing_violations.rpt,8,VIOLATED,-2583,clk_osc_slow,clk_osc_slow,clk_osc_slow,(R) u_core_u_slow_cnt_bin_q_reg[1]/C,(F) u_core_u_slow_cnt_gray_src_cont_q_reg[1]/D
OSC_SLOW_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260601_o2_raw_tag_genus/timing_violations.rpt,9,VIOLATED,-2582,clk_osc_fast,clk_osc_fast,clk_osc_fast,(R) u_core_u_slow_cnt_gray_snap_ff2_async_reg[5]/C,(F) u_core_u_slow_cnt_dst_count_latched_reg[0]/D
OSC_SLOW_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260601_o2_raw_tag_genus/timing_violations.rpt,10,VIOLATED,-2570,clk_osc_fast,clk_osc_fast,clk_osc_fast,(R) u_core_u_slow_cnt_gray_snap_ff2_async_reg[3]/C,(F) u_core_u_slow_cnt_dst_count_latched_reg[2]/D
