classification,report,path,status,slack_ps,group,start_clock,end_clock,startpoint,endpoint
OSC_FAST_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260602_o4_muxless_tags_r600_o4_nominal_fast/timing_violations.rpt,1,VIOLATED,-1999,clk_osc_fast_tap7,clk_osc_fast_tap7,clk_osc_fast_tap7,(R) u_core_gen_pd_row[7].gen_pd_col[7].u_pd/hit_latched_reg/C,(F) u_core_gen_pd_row[7].gen_pd_col[7].u_pd/nfast_hit_latched_reg[0]/D
OSC_FAST_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260602_o4_muxless_tags_r600_o4_nominal_fast/timing_violations.rpt,2,VIOLATED,-1999,clk_osc_fast_tap6,clk_osc_fast_tap6,clk_osc_fast_tap6,(R) u_core_gen_pd_row[7].gen_pd_col[6].u_pd/hit_latched_reg/C,(F) u_core_gen_pd_row[7].gen_pd_col[6].u_pd/nfast_hit_latched_reg[0]/D
OSC_FAST_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260602_o4_muxless_tags_r600_o4_nominal_fast/timing_violations.rpt,3,VIOLATED,-1999,clk_osc_fast_tap5,clk_osc_fast_tap5,clk_osc_fast_tap5,(R) u_core_gen_pd_row[7].gen_pd_col[5].u_pd/hit_latched_reg/C,(F) u_core_gen_pd_row[7].gen_pd_col[5].u_pd/nfast_hit_latched_reg[0]/D
OSC_FAST_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260602_o4_muxless_tags_r600_o4_nominal_fast/timing_violations.rpt,4,VIOLATED,-1999,clk_osc_fast_tap4,clk_osc_fast_tap4,clk_osc_fast_tap4,(R) u_core_gen_pd_row[7].gen_pd_col[4].u_pd/hit_latched_reg/C,(F) u_core_gen_pd_row[7].gen_pd_col[4].u_pd/nfast_hit_latched_reg[0]/D
OSC_FAST_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260602_o4_muxless_tags_r600_o4_nominal_fast/timing_violations.rpt,5,VIOLATED,-1999,clk_osc_fast_tap3,clk_osc_fast_tap3,clk_osc_fast_tap3,(R) u_core_gen_pd_row[7].gen_pd_col[3].u_pd/hit_latched_reg/C,(F) u_core_gen_pd_row[7].gen_pd_col[3].u_pd/nfast_hit_latched_reg[0]/D
OSC_FAST_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260602_o4_muxless_tags_r600_o4_nominal_fast/timing_violations.rpt,6,VIOLATED,-1999,clk_osc_fast_tap2,clk_osc_fast_tap2,clk_osc_fast_tap2,(R) u_core_gen_pd_row[7].gen_pd_col[2].u_pd/hit_latched_reg/C,(F) u_core_gen_pd_row[7].gen_pd_col[2].u_pd/nfast_hit_latched_reg[0]/D
OSC_FAST_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260602_o4_muxless_tags_r600_o4_nominal_fast/timing_violations.rpt,7,VIOLATED,-1999,clk_osc_fast_tap1,clk_osc_fast_tap1,clk_osc_fast_tap1,(R) u_core_gen_pd_row[7].gen_pd_col[1].u_pd/hit_latched_reg/C,(F) u_core_gen_pd_row[7].gen_pd_col[1].u_pd/nfast_hit_latched_reg[0]/D
OSC_FAST_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260602_o4_muxless_tags_r600_o4_nominal_fast/timing_violations.rpt,8,VIOLATED,-1999,clk_osc_fast_tap7,clk_osc_fast_tap7,clk_osc_fast_tap7,(R) u_core_gen_pd_row[6].gen_pd_col[7].u_pd/hit_latched_reg/C,(F) u_core_gen_pd_row[6].gen_pd_col[7].u_pd/nfast_hit_latched_reg[0]/D
OSC_FAST_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260602_o4_muxless_tags_r600_o4_nominal_fast/timing_violations.rpt,9,VIOLATED,-1999,clk_osc_fast_tap6,clk_osc_fast_tap6,clk_osc_fast_tap6,(R) u_core_gen_pd_row[6].gen_pd_col[6].u_pd/hit_latched_reg/C,(F) u_core_gen_pd_row[6].gen_pd_col[6].u_pd/nfast_hit_latched_reg[0]/D
OSC_FAST_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260602_o4_muxless_tags_r600_o4_nominal_fast/timing_violations.rpt,10,VIOLATED,-1999,clk_osc_fast_tap5,clk_osc_fast_tap5,clk_osc_fast_tap5,(R) u_core_gen_pd_row[6].gen_pd_col[5].u_pd/hit_latched_reg/C,(F) u_core_gen_pd_row[6].gen_pd_col[5].u_pd/nfast_hit_latched_reg[0]/D
OSC_FAST_REAL,/home/validmgr/ksabra/2026_SPAD/SPADMIC/results/genus_osc_pd/20260602_o4_muxless_tags_r600_o4_nominal_fast/timing_violations.rpt,11,VIOLATED,-1999,clk_osc_fast_tap4,clk_osc_fast_tap4,clk_osc_fast_tap4,(R) u_core_gen_pd_row[6].gen_pd_col[4].u_pd/hit_latched_reg/C,(F) u_core_gen_pd_row[6].gen_pd_col[4].u_pd/nfast_hit_latched_reg[0]/D
