## Classes
OSC_FAST_REAL: WNS=-424.0 TNS=-137826.0 count=344
OSC_SLOW_REAL: WNS=0.0 TNS=0.0 count=0
CLK_SYS_REAL: WNS=0.0 TNS=0.0 count=0
PD_INTENTIONAL_VERNIER: WNS=0.0 TNS=0.0 count=0
UNKNOWN_REVIEW_REQUIRED: WNS=0.0 TNS=0.0 count=0

## Families
PD_HIT_TO_TS_FREEZE: WNS=-422.0 TNS=-25377.0 count=62
FAST_TAG_TO_PD_TS: WNS=-424.0 TNS=-104155.0 count=249
LOCAL_FAST_TAG_SELF: WNS=-416.0 TNS=-1503.0 count=8
SLOW_JOHNSON_SELF: WNS=0.0 TNS=0.0 count=0
CLK_SYS_DRAIN: WNS=0.0 TNS=0.0 count=0
CLK_SYS_WATCHDOG: WNS=0.0 TNS=0.0 count=0
OTHER: WNS=-334.0 TNS=-6791.0 count=25
