instance,ns,nf,x_um,y_um,orientation,width_um,height_um,master,parent,placement_status,row,col,expected_x_um,expected_y_um,dx_um,dy_um
u_core_gen_pd_row[0].gen_pd_col[0].u_pd,0,0,,,r0,,,,u_core,,0,0,294.56,292.32,,
u_core_gen_pd_row[0].gen_pd_col[1].u_pd,0,1,,,r0,,,,u_core,,1,0,294.56,329.84,,
u_core_gen_pd_row[0].gen_pd_col[2].u_pd,0,2,,,r0,,,,u_core,,2,0,294.56,367.36,,
u_core_gen_pd_row[0].gen_pd_col[3].u_pd,0,3,,,r0,,,,u_core,,3,0,294.56,404.88,,
u_core_gen_pd_row[0].gen_pd_col[4].u_pd,0,4,,,r0,,,,u_core,,4,0,294.56,441.84,,
u_core_gen_pd_row[0].gen_pd_col[5].u_pd,0,5,,,r0,,,,u_core,,5,0,294.56,479.92,,
u_core_gen_pd_row[0].gen_pd_col[6].u_pd,0,6,,,r0,,,,u_core,,6,0,294.56,517.44,,
u_core_gen_pd_row[0].gen_pd_col[7].u_pd,0,7,,,r0,,,,u_core,,7,0,294.56,554.96,,
u_core_gen_pd_row[1].gen_pd_col[0].u_pd,1,0,,,r0,,,,u_core,,0,1,332.08,292.32,,
u_core_gen_pd_row[1].gen_pd_col[1].u_pd,1,1,,,r0,,,,u_core,,1,1,332.08,329.84,,
u_core_gen_pd_row[1].gen_pd_col[2].u_pd,1,2,,,r0,,,,u_core,,2,1,332.08,367.36,,
u_core_gen_pd_row[1].gen_pd_col[3].u_pd,1,3,,,r0,,,,u_core,,3,1,332.08,404.88,,
u_core_gen_pd_row[1].gen_pd_col[4].u_pd,1,4,,,r0,,,,u_core,,4,1,332.08,441.84,,
u_core_gen_pd_row[1].gen_pd_col[5].u_pd,1,5,,,r0,,,,u_core,,5,1,332.08,479.92,,
u_core_gen_pd_row[1].gen_pd_col[6].u_pd,1,6,,,r0,,,,u_core,,6,1,332.08,517.44,,
u_core_gen_pd_row[1].gen_pd_col[7].u_pd,1,7,,,r0,,,,u_core,,7,1,332.08,554.96,,
u_core_gen_pd_row[2].gen_pd_col[0].u_pd,2,0,,,r0,,,,u_core,,0,2,369.6,292.32,,
u_core_gen_pd_row[2].gen_pd_col[1].u_pd,2,1,,,r0,,,,u_core,,1,2,369.6,329.84,,
u_core_gen_pd_row[2].gen_pd_col[2].u_pd,2,2,,,r0,,,,u_core,,2,2,369.6,367.36,,
u_core_gen_pd_row[2].gen_pd_col[3].u_pd,2,3,,,r0,,,,u_core,,3,2,369.6,404.88,,
u_core_gen_pd_row[2].gen_pd_col[4].u_pd,2,4,,,r0,,,,u_core,,4,2,369.6,441.84,,
u_core_gen_pd_row[2].gen_pd_col[5].u_pd,2,5,,,r0,,,,u_core,,5,2,369.6,479.92,,
u_core_gen_pd_row[2].gen_pd_col[6].u_pd,2,6,,,r0,,,,u_core,,6,2,369.6,517.44,,
u_core_gen_pd_row[2].gen_pd_col[7].u_pd,2,7,,,r0,,,,u_core,,7,2,369.6,554.96,,
u_core_gen_pd_row[3].gen_pd_col[0].u_pd,3,0,,,r0,,,,u_core,,0,3,407.12,292.32,,
u_core_gen_pd_row[3].gen_pd_col[1].u_pd,3,1,,,r0,,,,u_core,,1,3,407.12,329.84,,
u_core_gen_pd_row[3].gen_pd_col[2].u_pd,3,2,,,r0,,,,u_core,,2,3,407.12,367.36,,
u_core_gen_pd_row[3].gen_pd_col[3].u_pd,3,3,,,r0,,,,u_core,,3,3,407.12,404.88,,
u_core_gen_pd_row[3].gen_pd_col[4].u_pd,3,4,,,r0,,,,u_core,,4,3,407.12,441.84,,
