schema_version,test_name,seed,attempt_id,event_id,label,source,stop_model,accepted,rejected,reject_reason,start_time_ps,stop_time_ps,true_dt_ps,start_phase_sys_ps,start_phase_ref_ps,ref_phase_offset_ps,max_hits,out_mode,bp_mode,start_only,expect_packet
1,multi_conv_rearm_stress,7002,0,0,stress_conv_0,0,qualified_ref,1,0,none,359375,379920,20545,3125,14295,4920,15,0,always_ready,0,1
1,multi_conv_rearm_stress,7002,1,1,stress_conv_1,0,qualified_ref,1,0,none,565625,579920,14295,3125,20545,4920,15,0,always_ready,0,1
1,multi_conv_rearm_stress,7002,2,2,stress_conv_2,0,qualified_ref,1,0,none,765625,779920,14295,3125,20545,4920,15,0,always_ready,0,1
1,multi_conv_rearm_stress,7002,3,3,stress_conv_3,0,qualified_ref,1,0,none,965625,979920,14295,3125,20545,4920,15,0,always_ready,0,1
1,multi_conv_rearm_stress,7002,4,4,stress_conv_4,0,qualified_ref,1,0,none,1165625,1179920,14295,3125,20545,4920,15,0,always_ready,0,1
1,multi_conv_rearm_stress,7002,5,5,stress_conv_5,0,qualified_ref,1,0,none,1365625,1379920,14295,3125,20545,4920,15,0,always_ready,0,1
1,multi_conv_rearm_stress,7002,6,6,stress_conv_6,0,qualified_ref,1,0,none,1565625,1579920,14295,3125,20545,4920,15,0,always_ready,0,1
1,multi_conv_rearm_stress,7002,7,7,stress_conv_7,0,qualified_ref,1,0,none,1765625,1779920,14295,3125,20545,4920,15,0,always_ready,0,1
1,multi_conv_rearm_stress,7002,8,8,rearm_conv_0,0,qualified_ref,1,0,none,4890625,4904920,14295,3125,20545,4920,1,0,always_ready,0,1
1,multi_conv_rearm_stress,7002,9,9,rearm_conv_1,0,qualified_ref,1,0,none,5165625,5179920,14295,3125,20545,4920,1,0,always_ready,0,1
1,multi_conv_rearm_stress,7002,10,10,rearm_conv_2,0,qualified_ref,1,0,none,5440625,5454920,14295,3125,20545,4920,1,0,always_ready,0,1
1,multi_conv_rearm_stress,7002,11,11,rearm_conv_3,0,qualified_ref,1,0,none,5715625,5729920,14295,3125,20545,4920,1,0,always_ready,0,1
